"","species","clust","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass_merge.Seed_weight","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_mode_abiotic","Dispersal_mode_autonomous","Dispersal_mode_biotic","Dispersal_dist_long","Dispersal_dist_short","FlowerSex_bisexual","FlowerSex_unisexual","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"76","Centroplacus glaucinus",2,0.520246776691936,-2.31335832504655,-4.04508055897337,-0.685545722654928,1.07870894414484,-3.43690610473286,NA,"0","1","0","1","0","1","1","0","1","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,"1","0","0","1","0"
"77","Ceratophyllum demersum",6,-1.37687320819395,-3.92279623748065,-4.73822773953331,-1.78415801132304,NA,-3.90690973397859,NA,"1","0","0","1","1","0","0","1","1","0","1","0","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1",NA,NA,NA,"0","1"
"78","Cercidiphyllum japonicum",2,0.9257118848001,-0.572892150206041,-1.71780285338895,-1.78415801132304,0,NA,-8.60342194120219,"0","1","0","1","0","1","1","0","1","0","0","1","0","1","0","0","1","0","0","1","0","0","1","0","1","0","0",NA,NA,NA,"0","1"
"79","Chimaphila umbellata",5,-3.76646967817762,-1.6202111444866,NA,-0.174720098888937,1.07870894414484,-1.49099595567754,-14.2201930388688,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","1","0","0","1","1","0","0","1","0"
"80","Chimonanthus praecox",5,-0.396043955182219,-1.97688608842533,-4.04508055897337,0.413066566013182,0,-0.815867280620276,-3.30874756593265,"0","1","0","1","0","1","0","1","1","0","1","1","0","0","0","1","0","1","0","0","1","1","0","1","0","0","1","1","0","0","1","0"
"81","Chloranthus spicatus",5,-2.98631112062805,-3.07549837709344,-4.73822773953331,-1.78415801132304,NA,NA,-7.22626006364557,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","0",NA,NA,NA,"0","1"
"82","Chorispora tenella",3,-3.66292899923678,-2.13103676825259,-1.99095682527782,-1.09101083076309,1.07870894414484,0.270549734954016,-7.82326338365261,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","1","1","0","0","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"83","Cinnamomum camphora",5,0.63802981234832,-1.72557166014443,-4.73822773953331,-1.78415801132304,NA,-3.03144099662469,-3.32123395658403,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","1"
"84","Clarkia xantiana",4,-3.27399319307983,-1.84335469580081,1.47638035888888,-0.397863650203147,1.07870894414484,-0.574705223803388,-9.56623268871123,"1","0","0","1","0","1","0","1","0","1","1","0","0","0","0","1","0","1","0","0","1","1","0",NA,NA,NA,NA,"0","0","1","1","0"
"85","Claytonia virginica",4,-3.96714037363977,-2.31335832504655,-4.04508055897337,-0.685545722654928,1.07870894414484,-1.98998712179653,-7.8067340817014,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1","0","1","1","0","1","1","0","1","0","0","0","1","0","0","1","0"
"86","Cleistesiopsis bifaria",1,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"1","0","0","0","0","1","0","0","1","1","1"
"87","Clethra alnifolia",5,-1.78233831630211,-1.6202111444866,-1.04934828541938,-0.685545722654928,1.07870894414484,-2.42530519305438,-9.90270492533245,"0","1","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1","1","0","0","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"88","Clutia pulchella",2,-2.64983888400683,-2.31335832504655,-4.73822773953331,-0.685545722654928,1.07870894414484,NA,-6.88065534346108,"0","1","0","1","0","1","1","0","1","0","0","1","0",NA,NA,NA,"0","1","1","0","1","0","1",NA,NA,NA,NA,"1","0","0","1","0"
"89","Cobaea scandens",5,0.743390328006146,-2.31335832504655,NA,-0.685545722654928,1.07870894414484,-0.0782683374894964,-3.72476081128185,"0","1","1","0","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"90","Cochlospermum vitifolium",5,0.00942115292594548,1.24198973644287,0.0492640032487326,-0.174720098888937,1.07870894414484,0.570427080499615,-4.67552558661775,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0"
"91","Coffea arabica",5,-0.866047584427954,-2.31335832504655,NA,NA,NA,-0.728855903630646,-2.7674422969346,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","1","0","0","1","0"
"92","Combretum leprosum",5,NA,-1.84335469580081,-3.35193337841342,-1.09101083076309,NA,-1.87876148668631,NA,"0","1","1","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","1","0","1","0","0","1","0"
"93","Commelina communis",4,NA,-2.82418394881254,NA,NA,NA,-1.60432464098455,NA,"1","0","0","1","0","1","0","1","0","1",NA,NA,NA,"0","0","1","0","1","0","0","1","1","1","0","0","0","1","0","0","1","1","0"
"94","Cordyline australis",5,0.00942115292594548,-2.13103676825259,NA,-0.685545722654928,1.07870894414484,-2.42530519305438,-6.64204756644929,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"95","Coriaria myrtifolia",2,-1.37687320819395,-1.6202111444866,-4.73822773953331,-0.174720098888937,NA,-2.18414313623749,-5.71305018330602,"0","1","0","1","0","1","0","1","1","0",NA,NA,NA,"1","0","0","0","0","1","1","0","1","1","0","1","0","0","1","0","0","0","1"
"96","Coriaria ruscifolia",5,NA,-1.6202111444866,-4.73822773953331,0.230745009219227,NA,-3.21376255341865,-8.64046321288254,"0","1","0","1","0","1","0","1","1","0",NA,NA,NA,"1","0","0","1","0","0","1","0","1","0","0","1","0","0","1","0","0","1","1"
"97","Cornus florida",5,NA,-2.53650187636076,NA,NA,NA,-1.42200308419059,-3.38188744984459,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","1"
"98","Corokia cotoneaster",5,NA,-2.31335832504655,-4.73822773953331,-1.09101083076309,NA,-2.25825110839121,-4.73487596693835,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","1","0","1","0","0","1","0"
"99","Corrigiola litoralis",3,-4.37260548174794,-2.31335832504655,NA,-0.685545722654928,0.53935447207242,-3.43690610473286,-8.80409263666434,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","1","1","1","0","1","1","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"100","Costus woodsonii",1,0.00942115292594548,-3.92279623748065,-2.54100316219709,-0.685545722654928,NA,NA,NA,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","1","1","0"
"101","Cucurbita pepo",3,NA,-3.00650550560649,NA,-0.397863650203147,1.07870894414484,-1.82746819229876,-3.03057682399346,"1","0","1","0","0","1","0","1","0","1",NA,NA,NA,"0","0","1","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0"
"102","Cupaniopsis anacardioides",5,-1.08919113574216,-1.84335469580081,-4.73822773953331,-0.685545722654928,1.07870894414484,-2.05061174361296,-2.82026831298577,"0","1","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1","0","0","1","1","0","0","1","1","0","0","1","0","1","0","1","1"
"103","Curculigo latifolia",5,NA,-2.13103676825259,NA,NA,NA,-1.56510392783126,-3.40041475445848,"1","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,"1","0","0","1","0"
"104","Cuscuta cuspidata",6,NA,-2.31335832504655,-4.04508055897337,-1.09101083076309,1.07870894414484,-3.57043749735738,NA,"1","0","1","0","0","1","0","1","0","1","1","0","0","1","0","0",NA,NA,NA,NA,NA,"1","0","0","1","0","0","1","0","0","1","0"
"105","Cuttsia viburnea",5,NA,-2.31335832504655,1.47737985922196,-0.174720098888937,NA,-1.82746819229876,-11.5121428377665,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","1","0","1","1","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"106","Cyclanthus bipartitus",5,-1.78233831630211,-2.13103676825259,NA,NA,NA,NA,NA,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,"1","0"
"107","Cymodocea nodosa",6,NA,-3.2296490569207,-4.73822773953331,-1.09101083076309,0,NA,NA,"1","0","0","1","1","0","1","1","1","0","0","1","0","1","0","0","0","1","1","1","1","0","1","0","1","0","0",NA,NA,NA,NA,NA
"108","Cypripedium calceolus",1,-3.27399319307983,-3.2296490569207,NA,-0.685545722654928,1.07870894414484,0.2202246510665,-13.8147279307606,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","0","1","0","0","1","1","1"
"109","Cyrilla racemiflora",5,-0.172900403868009,-2.31335832504655,-4.04508055897337,-1.09101083076309,1.07870894414484,-2.5206153728587,NA,"0","1","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"110","Dalechampia spathulata",5,NA,-0.927063963926655,NA,-0.685545722654928,NA,NA,NA,"0","1","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1","0","1","0","0","1","0","1","0","0","1","0","0","0","1","1","0"
"111","Dalzellia ceylanica",3,-7.08065568285015,-2.82418394881254,NA,-0.685545722654928,1.07870894414484,-3.43690610473286,NA,"1","0","0","1","1","1","0","1",NA,NA,"0","0","1","0","1","0",NA,NA,NA,NA,NA,"1","0","0","0","0","1","1","0","0","1","1"
"112","Daphniphyllum macropodum",2,0.520246776691936,-1.72557166014443,-4.04508055897337,-1.09101083076309,1.07870894414484,NA,-4.26221730104856,"0","1","0","1","0","1","1","0","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","1"
"113","Datisca glomerata",6,-2.07002038875389,-1.87510339411539,NA,NA,NA,-2.25825110839121,-10.6648449773793,"1","0","0","1","0","1","1","0","1","0","1","0","0","1","0","0","1","0","0","1","0","1","1","0","1","0","0",NA,NA,NA,"0","1"
"114","Davidsonia jerseyana",5,NA,-1.72557166014443,-2.94646827030526,-1.09101083076309,NA,-2.5206153728587,-2.67630199464165,"0","1","0","1","0","1","0","1","1","0","0","0","1",NA,NA,NA,"0","0","1","1","0","1","0","1","0","0","0","1","0","0","1","0"
"115","Davilla kunthii",5,NA,0.325699004568713,-4.04508055897337,-1.78415801132304,NA,-1.23968152739664,NA,"1","0","1","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0"
"116","Denhamia celastroides",5,-0.529575347806742,-2.31335832504655,-3.35193337841342,-0.685545722654928,1.07870894414484,-0.9111774604246,NA,"0","1","0","1","0","1","0","1","1","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,"1","0","0",NA,NA
"117","Diapensia lapponica",5,-6.3875085022902,-2.31335832504655,-0.356201104859432,-0.685545722654928,1.07870894414484,-1.73215801249443,NA,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","1","0","0","1","0"
"118","Diospyros australis",2,NA,-1.28373890786539,-4.33276263142515,NA,NA,-3.66004965604707,-3.13682047753578,"0","1","0","1","0","1","1","0","1","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,"1","0","0","1","0"
"119","Dipterocarpus tempehes",5,NA,-0.521598855818491,NA,NA,NA,-0.141069238728527,NA,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,"1","0","0","1","0"
"120","Discaria americana",5,NA,-2.41871884070437,-4.73822773953331,-0.53139504282767,NA,-2.33829381606475,NA,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","1","0","1","1","1","0","0","1","0"
"121","Drosophyllum lusitanicum",5,-2.58084601251988,-1.6202111444866,-1.68895469905129,-0.174720098888937,1.07870894414484,-0.834216419288472,-6.69186127216151,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","1","0","0","1","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"122","Dryas octopetala",5,-3.168632677422,1.17707019034355,-4.73822773953331,NA,0,-0.728855903630646,-8.34807524939334,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","1","1","0","0","1","0"
"123","Durio zibethinus",5,0.743390328006146,0.171548324741455,-2.94646827030526,-0.174720098888937,1.07870894414484,-0.12272010006033,1.79776896806278,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","1","0","0","1","0"
"124","Eichhornia crassipes",1,NA,-2.13103676825259,NA,-0.685545722654928,1.07870894414484,-0.0357087230707004,NA,"1","0","0","1","1","0","0","1","1","1","0","1","0","0","0","1","1","0","1","1","0","1","0",NA,NA,NA,NA,"0","0","1","1","0"
"125","Eriocaulon parkeri",4,NA,-2.53650187636076,NA,NA,NA,-3.43690610473286,NA,"1","0","0","1","0","1","0","1","1","1",NA,NA,NA,"0","0","1",NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,"1","0"
"126","Eriogonum arborescens",5,-1.78233831630211,-1.72557166014443,-4.73822773953331,-0.685545722654928,NA,-3.11845237361432,-8.46762040004313,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,"1","0"
"127","Eryngium alpinum",1,NA,NA,NA,NA,NA,NA,-6.39215500674293,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1","0","0","1","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"128","Erythroxylum laurifolium",5,-0.971408100085781,-1.6202111444866,NA,NA,NA,NA,NA,"0","1","0","1","0","1","0","1","1","0","0","1","0",NA,NA,NA,"0","0","1","1","0","1","0","1","0","1","0",NA,NA,NA,"1","0"
"129","Eschscholzia californica",4,-3.59941559351445,-0.952381771910945,NA,-1.09101083076309,1.07870894414484,-0.441173831178865,-7.6001198323384,"1","0","0","1","0","1","0","1","1","1","0","1","0","0","0","1","0","1","0","0","1","1","0","0","0","0","1","0","1","0","1","0"
"130","Eucalyptus cladocalyx",5,NA,NA,NA,NA,NA,NA,-6.4411443939432,"0","1","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1","1","0","0","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,"1","0"
"131","Eupomatia bennettii",5,-2.07002038875389,-1.78273007398437,NA,NA,1.07870894414484,-0.574705223803388,NA,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,NA,NA,NA,"1","0"
"132","Eupomatia laurina",5,-0.529575347806742,0.171548324741455,-3.6396154508652,1.92941405538127,1.07870894414484,-0.846638939287028,-5.25001522337638,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","0",NA,NA,NA,"1","0"
"133","Fagus grandifolia",2,0.743390328006146,-1.52490096468228,-4.04508055897337,-0.685545722654928,NA,NA,-2.4230665532834,"0","1","0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","1","0","0","0","1"
"134","Ficaria verna",4,-4.01260274771653,-0.703920412612445,-4.73822773953331,0.923892189779172,NA,-0.668231281814211,NA,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","0","1","1","0","1","0","0","1","1","0","0","1","0"
"135","Filipendula vulgaris",1,-2.74992234256382,-0.703920412612445,-4.04508055897337,0.413066566013182,0,-1.6451466355048,-8.01563527630007,"1","0","0","1","0","1","0","1","1","0","0","1","0","1","0","1","0","0","1","1","0","1","0","0","1","0","1","1","0","0","1","0"
"136","Floerkea proserpinacoides",4,-4.21845480192068,-2.13103676825259,-4.73822773953331,-0.867867279448883,NA,-0.815867280620276,-6.71360125879792,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","1","1","0",NA,NA,NA,NA,"1","0","0","1","1"
"137","Fumana ericoides",5,NA,-0.555500407494172,-2.4109500339489,-1.09101083076309,NA,-1.26785240436333,-7.11358690114146,"0","1","0","1","0","1","0","1","1","0","0","0","1","0","0","1","0","1","0","0","1","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"138","Galium aparine",3,-2.5426942465555,-2.53650187636076,-4.73822773953331,-1.09101083076309,1.07870894414484,-1.26785240436333,-5.80282018273473,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","1","0","0","1","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"139","Gelsemium sempervirens",5,NA,-2.31335832504655,-3.35193337841342,-1.09101083076309,1.07870894414484,-0.815867280620276,NA,"1","0","1","0","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","0","1","0","0","1","0"
"140","Gentiana saponaria",1,-3.20945467194226,-2.31335832504655,NA,-1.09101083076309,1.07870894414484,-0.505712352316436,NA,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"141","Geranium sanguineum",4,-3.67945830118799,-1.6202111444866,-4.04508055897337,-0.174720098888937,1.07870894414484,-0.696066080807655,-5.82291014412508,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","1","0","0","1","0"
"142","Gerbera jamesonii",1,NA,NA,NA,NA,NA,NA,-7.28287895764508,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0",NA,NA,NA,NA,"0","0","1","1","0"
"143","Gesneria cuneifolia",5,NA,NA,NA,NA,NA,NA,-11.9176079458747,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","0","1","1","0","1","0","0","0","0","0","1","1","0"
"144","Gomortega keule",5,0.520246776691936,-1.84335469580081,-4.73822773953331,-1.09101083076309,1.07870894414484,-2.33829381606475,NA,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","1"
"145","Gonocaryum litorale",2,NA,-2.31335832504655,-4.04508055897337,-1.09101083076309,1.07870894414484,-2.42530519305438,NA,"0","1","0","1","0","1","1","0","1","0","0","1","0",NA,NA,NA,"0","0","1","1","0","0","1",NA,NA,NA,NA,"1","0","0","1","1"
"146","Gossypium hirsutum",5,-2.07002038875389,0.459230397193236,-2.43564264653927,-0.53139504282767,1.07870894414484,0.118441956756558,-3.46794441125207,"0","1","0","1","0","1","0","1","1","1","1","0","1","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"147","Grewia occidentalis",5,-1.37687320819395,0.414494503351844,-4.73822773953331,-0.397863650203147,1.07870894414484,-0.728855903630646,-3.84186980029979,"0","1","0","1","0","1","0","1",NA,NA,"0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","1","0","0","1","0"
"148","Griselinia racemosa",2,-1.78233831630211,-2.31335832504655,NA,-0.685545722654928,1.07870894414484,NA,-5.50332965232395,"0","1","0","1","0","1","1","0",NA,NA,"0","1","0",NA,NA,NA,"0","0","1","1","0","0","1",NA,NA,NA,NA,"1","0","0",NA,NA
"149","Gyrocarpus americanus",5,0.743390328006146,-2.53650187636076,-4.73822773953331,-1.78415801132304,NA,-3.72458817718464,-2.11806524485525,"0","1","0","1","0","1","0","1","1","0",NA,NA,NA,"1","0","0","1","0","0","1","0","1","1","0","1","0","0","1","0","0","1","1"
"150","Hamamelis virginiana",5,-0.866047584427954,-2.53650187636076,-4.73822773953331,-1.09101083076309,1.07870894414484,-1.13432101173881,-3.3204951312826,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","1","0","0","1","1","0","0","1","0"
"151","Hanguana malayana",2,NA,-2.13103676825259,-4.73822773953331,-0.685545722654928,1.07870894414484,NA,-5.17237159639035,"1","0","0","1","0","1","1","0","1","0","0","1","0",NA,NA,NA,"0","0","1","1","0","0","1",NA,NA,NA,NA,"1","0","0",NA,NA
"152","Haumania danckelmaniana",5,NA,NA,NA,NA,NA,NA,NA,"0","1","1","0","0","1","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,"0","0","1","1","0"
"153","Hedychium gardnerianum",1,NA,-3.92279623748065,NA,-0.685545722654928,NA,0.251973349381081,NA,"1","0","0","1","0","1","0","1","1","0","0","0","1","0","0","1","0","0","1","1","0","1","0",NA,NA,NA,NA,"0","0","1","1","0"
"154","Helianthus annuus",4,-1.78233831630211,-2.31335832504655,-4.73822773953331,-1.09101083076309,1.07870894414484,-1.03901083193449,-4.34690699506575,"1","0","0","1","0","1","0","1","0","1","1","1","0","0","0","1","0","1","0","0","1","1","0","1","0","0","1","1","0","1","1","0"
"155","Heliconia irrasa",1,-2.07002038875389,-2.31335832504655,NA,NA,NA,NA,NA,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1","0","0","1","1","0","1","0","1","0","0","0",NA,NA,NA,"1","0"
"156","Herniaria glabra",4,-4.08492340929616,-2.31335832504655,NA,NA,NA,-3.72458817718464,-10.2128598536363,"1","0","0","1","0","1","0","1","1","1","0","0","1","0","0","1","1","1","0","1","1","1","0","1","0","0","0","1","0","0","0","1"
"157","Hevea brasiliensis",5,0.520246776691936,-1.6202111444866,-4.73822773953331,-0.685545722654928,1.07870894414484,-2.51562783134766,0.239655160298331,"0","1","0","1","0","1","0","1","1","0","1","1","0","0","0","1","0","0","1","1","0","0","1",NA,NA,NA,NA,"1","0","0",NA,NA
"158","Hirtella physophora",5,NA,-2.13103676825259,NA,NA,NA,-1.13432101173881,NA,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"1","0","1","0","0","1","0","0","1","1","0"
"159","Hordeum bulbosum",6,-2.52677879124961,-2.82418394881254,-4.73822773953331,-1.09101083076309,NA,-1.26785240436333,-5.57548652715356,"1","0","0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","1","0","0","0","0","1","0","1"
"160","Hydnocarpus heterophylla",2,NA,-0.664699699459164,NA,-0.397863650203147,1.07870894414484,-1.35746456305302,NA,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Hydrastis canadensis",1,-3.59941559351445,0.0615474295271263,-4.04508055897337,0.590747743250634,0,-1.56510392783126,NA,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"162","Hydrocotyle vulgaris",1,-4.55492703854189,-2.31335832504655,NA,-1.09101083076309,1.07870894414484,-3.72458817718464,-8.69873212100651,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","1","1","1","0","0","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"163","Hydrophyllum capitatum",4,-3.76646967817762,-2.31335832504655,NA,NA,NA,-2.18414313623749,-6.12611989079941,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"1","0","1","0","0","1","1","0","0","1","0"
"164","Hypericum perforatum",1,-2.98631112062805,-0.0107732320524998,-1.33703035787116,-0.685545722654928,1.07870894414484,-1.19885953287638,-9.90270492533245,"1","0","0","1","0","1","0","1","1","0","0","0","1","0","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0"
"165","Ilex opaca",2,0.0502431474462006,-2.53650187636076,NA,-0.397863650203147,1.07870894414484,-2.11515026475054,-5.16067555662716,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1",NA,NA,NA,NA,"1","0","0","1","1"
"166","Impatiens capensis",4,NA,-2.31335832504655,-4.73822773953331,-0.174720098888937,1.07870894414484,-0.633545723826321,-6.05539823462399,"1","0","0","1","0","1","0","1","0","1","1","0","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","1","1","0"
"167","Ipomoea alba",5,-0.172900403868009,-2.31335832504655,-3.12878982709921,-1.09101083076309,NA,0.369756385037464,-3.40061477446114,"1","0","1","0","0","1","0","1","1","1","0","0","1","0","0","1",NA,NA,NA,NA,NA,"1","0","1","0","0","0","1","0","0","1","0"
"168","Iris versicolor",1,NA,-2.82418394881254,NA,NA,NA,0.678057744691981,-5.29620229411058,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","1","1","1","0","0","1","0","1","0",NA,NA,NA,NA,"1","0","0","1","0"
"169","Irvingbaileya australis",2,NA,-2.31335832504655,-4.73822773953331,-1.09101083076309,1.07870894414484,-2.71906631158254,-2.61195739409421,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1",NA,NA,NA,NA,"1","0","0","1","0"
"170","Juglans mandshurica",2,0.232564704240155,-0.664699699459164,-4.73822773953331,-1.09101083076309,NA,NA,1.12776639000148,"0","1","0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0",NA,NA,NA,"0","1"
"171","Jumellea fragrans",1,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1",NA,NA,NA,NA,NA,"1","0","1","0","0","0","0","0","1","1","0"
"172","Juncus effusus",6,-2.60048198703674,-2.82418394881254,NA,-0.685545722654928,NA,NA,-11.9176079458747,"1","0","0","1","0","1","0","1","0","1","1","0","1","1","0","0","0","0","1","1","0","1","0","0","1","0","0","1","0","0","0","1"
"173","Kalanchoe daigremontiana",3,-2.07002038875389,-1.84335469580081,0.129306710922269,-0.397863650203147,0.215741788828968,-0.728855903630646,-11.9176079458747,"1","0","0","1","0","1","0","1","1","1","0","0","1","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"174","Kalmia latifolia",5,-0.866047584427954,-1.6202111444866,NA,NA,1.07870894414484,-0.797848775117597,-11.9176079458747,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"175","Kielmeyera regalis",5,NA,NA,NA,NA,NA,NA,NA,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0"
