"","species","clust","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass_merge.Seed_weight","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_mode_abiotic","Dispersal_mode_autonomous","Dispersal_mode_biotic","Dispersal_dist_long","Dispersal_dist_short","FlowerSex_bisexual","FlowerSex_unisexual","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"21","Alphitonia excelsa",5,0.569036940861368,-2.31335832504655,-4.73822773953331,-0.685545722654928,NA,-1.82746819229876,-4.91181892662121,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","1","0","0","1","1"
"22","Alseuosmia macrophylla",5,-1.61048805937545,-2.31335832504655,-0.796645931863623,-1.09101083076309,NA,-0.505712352316436,-6.5945979667363,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","1","0","0","1","0"
"23","Alstroemeria aurea",4,-2.76316756931384,-2.13103676825259,-1.6701748043997,-0.685545722654928,NA,-0.218030279864655,-5.0658940577762,"1","0","0","1","0","1","0","1","1","0","1","1","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","1","1","0"
"24","Alyssum simplex",3,-4.37260548174794,-2.13103676825259,-4.04508055897337,-1.09101083076309,1.07870894414484,-3.21376255341865,-8.19191451863806,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"25","Amborella trichopoda",2,-0.396043955182219,-1.11943585657411,-4.73822773953331,-0.174720098888937,0,-2.74375892417291,-6.70539327838009,"0","1","0","1","0","1","1","0","1","0","0","1","0","1","0","1","0","1","1","1","1","0","1","0","1","1","0","1","0","0","1","0"
"26","Amsonia tabernaemontana",1,-2.90626841295451,-2.31335832504655,NA,-1.09101083076309,0,-1.18561430612636,-3.57227126140467,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1",NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,"1","0","0","1","0"
"27","Anarthria polyphylla",6,-4.7780705898561,-2.82418394881254,-4.73822773953331,-0.685545722654928,1.07870894414484,NA,NA,"1","0","0","1","0","1","1","0","1","0","0","1","0","1","0","0",NA,NA,NA,NA,NA,"0","1","0","1","0","0","1","0","0","0","1"
"28","Angelonia pubescens",3,-2.83216044080079,-2.53650187636076,NA,-1.09101083076309,1.07870894414484,-1.49099595567754,NA,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","1","0","0","0","1","1","0"
"29","Anigozanthos humilis",4,NA,-2.13103676825259,NA,NA,NA,-0.505712352316436,-8.65951140785323,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"0","1","1","0","0","0","0","0","1","1","0"
"30","Annona crassiflora",5,NA,NA,NA,NA,NA,-0.648813195957109,0.683251328541433,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","0","1","0","0","1","1"
