"","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_bisexual","SexualSystem_dioecious","SexualSystem_monoecious","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"Aloe_thraskii",0.216950718180477,-0.191851995287345,0.115454059753016,-0.33742958227436,0.261983261604312,0.51507428576064,0.0898338140854611,"0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","1","0"
"Alphitonia_excelsa",1.3921733179754,-0.366300791570949,-0.784439733353737,0.0384931216028799,0.261983261604312,-0.222604777099855,0.399474280971767,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1"
"Alseuosmia_macrophylla",0.132199922898212,-0.366300791570949,1.571537147645,-0.570138569082411,0.0155892207059904,0.918563431425594,-0.0923469747530817,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Alstroemeria_aurea",-0.534158809126048,-0.191851995287345,1.04940823367059,0.0384931216028799,0.00074620619404334,1.16694034440302,0.354443161214395,"1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0"
"Alyssum_simplex",-1.46456747637015,-0.191851995287345,-0.370129232592074,-0.570138569082411,0.410413406723782,-1.41949379753292,-0.55919034136209,"1","0","0","1","0","1","1","0","0","0","1","0","0","1","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Amborella_trichopoda",0.834264483261393,0.776067347136558,-0.784439733353737,0.805278368522632,-2.55818949566563,-1.01370538838619,-0.124728819310252,"0","1","0","1","0","1","0","1","0","1","0","0","1","0","1","0","1","0","1","1","1","1","0","0","1","0","1","1","0","1","0","0","1","0"
"Amsonia_tabernaemontana",-0.616884749769426,-0.366300791570949,0.149683103109938,-0.570138569082411,-2.55818949566563,0.331554491398817,0.790980235767252,"1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Anarthria_polyphylla",-1.69896499362408,-0.855068640769968,-0.784439733353737,0.0384931216028799,0.410413406723782,-0.821049287316386,-0.361587894341734,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","1"
"Angelonia_pubescens",-0.574043271343317,-0.579808862748757,0.0506072202745273,-0.570138569082411,0.410413406723782,0.0678962427320051,-0.232289939196837,"1","0","0","1","0","1","1","0","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0","0","0","1","1","0"
"Anigozanthos_humilis",-0.713457949063626,-0.191851995287345,1.56570565061162,0.0384931216028799,0.22339142387325,0.918563431425594,-0.69585361309568,"1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","1","0"
"Annona_crassiflora",0.75707059831113,0.533618701987133,-0.118663102988858,-0.0853508677399891,0.158082160020682,0.795014037175827,2.03473025526452,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","1","1"
"Antirrhinum_majus",-0.768556326379979,-0.579808862748757,1.14635857791914,-0.570138569082411,0.410413406723782,0.883318826525087,-1.12441596222058,"1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","1","0"
"Apium_graveolens",-0.367851123969636,-0.366300791570949,-0.784439733353737,-0.570138569082411,0.410413406723782,-1.86052681158015,-0.820033069228012,"1","0","0","1","0","1","1","0","0","0","1","1","0","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Aquilegia_canadensis",-0.740350956499728,1.62334914487692,1.79622525745921,0.805278368522632,-2.55818949566563,0.725907330355786,-0.461353990604168,"1","0","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0","1","1","0","0","1","0"
"Arabidopsis_thaliana",-1.375453676164,-0.191851995287345,1.61083830463997,-0.570138569082411,0.410413406723782,-1.41949379753292,-1.64808863171875,"1","0","0","1","0","1","1","0","0","0","1","0","0","1","0","1","1","1","1","0","1","1","0","0","1","1","0","0","0","1","1","0","1","0"
"Aralidium_pinnatifidum",0.96326274568481,-0.366300791570949,-1.1987502341154,0.0384931216028799,0.410413406723782,-1.41949379753292,0.697682647052319,"0","1","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","1","0"
"Arctostaphylos_uva-ursi",-1.67075962374383,0.296915853911674,-0.784439733353737,0.805278368522632,0.410413406723782,-1.61214989860273,0.347878593360815,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Arum_maculatum",-1.00876389664345,-0.707574285110451,-0.370129232592074,-1.61060131658324,0.000746206194043368,-1.86052681158015,0.846221255497522,"1","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","1","0","0","0","1"
"Asparagus_officinalis",-0.0443398065095567,-0.191851995287345,-0.103559094466283,0.0384931216028799,0.410413406723782,-0.821049287316386,0.400003750829762,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","1","1","0","0","1","1"
