"","species","outcrossing_rate"
"188","Mazus pumilus",NA
"189","Medicago sativa","outcrossing"
"190","Melocactus curvispinus",NA
"191","Menispermum canadense",NA
"192","Menyanthes trifoliata",NA
"193","Miconia affinis","outcrossing"
"194","Mirabilis jalapa",NA
"195","Misodendrum linearifolium",NA
"196","Mollugo verticillata",NA
"197","Monotropa hypopitys",NA
"198","Montinia caryophyllacea",NA
"199","Moringa oleifera","mixed"
"200","Myriophyllum sibiricum",NA
"201","Myristica fragrans","outcrossing"
"202","Myrothamnus moschata",NA
"203","Myrtus communis","mixed"
"204","Narthecium ossifragum",NA
"205","Nelumbo lutea","mixed"
"206","Nelumbo nucifera","outcrossing"
"207","Nemesia strumosa",NA
"208","Nepenthes macfarlanei",NA
"209","Nicotiana tabacum",NA
"210","Nolana humifusa",NA
"211","Nothapodytes nimmoniana","mixed"
"212","Nothofagus dombeyi","outcrossing"
"213","Nuphar advena",NA
"214","Nymphaea odorata",NA
"215","Nymphoides peltata","mixed"
"216","Nyssa ogeche",NA
"217","Ochroma pyramidale",NA
"218","Octoknema borealis",NA
"219","Octomeles sumatrana",NA
"220","Olea europaea","outcrossing"
"221","Oryza sativa","selfing"
"222","Ottelia acuminata",NA
"223","Oxalis corniculata",NA
"224","Paeonia californica",NA
"225","Panax quinquefolius","mixed"
"226","Pandanus tectorius","outcrossing"
"227","Pennantia corymbosa",NA
"228","Peritoma arborea","outcrossing"
"229","Perrottetia ovata",NA
"230","Petrosavia sakuraii",NA
"231","Petunia axillaris","mixed"
"232","Peumus boldus",NA
"233","Phelline comosa",NA
"234","Phoenix dactylifera",NA
"235","Phormium tenax",NA
"236","Phragmites australis",NA
"237","Phryma leptostachya",NA
"238","Phyllanthus niruri",NA
"239","Physena madagascariensis",NA
"240","Picramnia polyantha",NA
"241","Pinguicula alpina",NA
"242","Piper amalago",NA
"243","Pittosporum dasycaulon",NA
"244","Plantago lanceolata","outcrossing"
"245","Platea latifolia",NA
"246","Plocosperma buxifolium",NA
"247","Plumbago auriculata",NA
"248","Podophyllum peltatum",NA
"249","Poeppigia procera",NA
"250","Polycarpon tetraphyllum",NA
"251","Polygala lewtonii",NA
"252","Populus alba",NA
"253","Portulaca oleracea",NA
"254","Posidonia australis","mixed"
"255","Posoqueria latifolia",NA
"256","Potamogeton berchtoldii",NA
"257","Primula sieboldii",NA
"258","Prionotes cerinthoides",NA
"259","Prunus persica","mixed"
"260","Putranjiva roxburghii",NA
"261","Qualea grandiflora","outcrossing"
"262","Quercus rubra","outcrossing"
"263","Quinchamalium chilense",NA
"264","Quintinia hyehenensis",NA
"265","Rafflesia keithii",NA
"266","Ranunculus acris",NA
"267","Ravenala madagascariensis",NA
"268","Rhizophora stylosa","mixed"
"269","Ribes aureum",NA
"270","Roridula dentata","selfing"
"271","Roridula gorgonias","selfing"
"272","Roupala montana",NA
"273","Rourea induta",NA
"274","Ruta graveolens",NA
"275","Sagina procumbens",NA
"276","Sagittaria latifolia",NA
"277","Salpiglossis sinuata",NA
"278","Santalum spicatum","outcrossing"
"279","Sarracenia purpurea","outcrossing"
"280","Sauvagesia rhodoleuca",NA
"281","Saxifraga cernua",NA
"282","Schinus molle",NA
"283","Schisandra chinensis","mixed"
"284","Schizanthus grahamii","mixed"
"285","Scleranthus annuus",NA
"286","Sesamum indicum",NA
"287","Sextonia rubra","outcrossing"
"288","Silene vulgaris","mixed"
"289","Simmondsia chinensis",NA
"290","Sinojackia xylocarpa","outcrossing"
"291","Solanum dulcamara","mixed"
"292","Spergularia marina","selfing"
"293","Spigelia marilandica",NA
"294","Spiranthes cernua",NA
"295","Spondias tuberosa","outcrossing"
"296","Staphylea trifolia",NA
"297","Stellaria media",NA
"298","Sterculia apetala",NA
"299","Stylidium graminifolium",NA
"300","Swietenia macrophylla","outcrossing"
