"","Species","Cluster"
"184","Lepidobotrys_staudtii","2"
"185","Limnanthes_douglasii","3"
"186","Linum_perenne","3"
"187","Liparis_loeselii","5"
"188","Liriodendron_chinense","4"
"189","Loasa_heterophylla","3"
"190","Lobelia_angulata","1"
"191","Ludwigia_adscendens","3"
"192","Lythrum_salicaria","3"
"193","Malesherbia_linearifolia","3"
"194","Malpighia_emarginata","4"
"195","Manihot_esculenta","3"
"196","Manilkara_zapota","4"
"197","Marathrum_rubrum","5"
"198","Mayaca_fluviatilis","3"
"199","Mazus_pumilus","1"
"200","Medicago_sativa","1"
"201","Melocactus_curvispinus","3"
"202","Menispermum_canadense","2"
"203","Menyanthes_trifoliata","3"
"204","Miconia_affinis","4"
"205","Mirabilis_jalapa","3"
"206","Misodendrum_linearifolium","2"
"207","Mollugo_verticillata","3"
"208","Monotropa_hypopitys","3"
"209","Montinia_caryophyllacea","2"
"210","Moringa_oleifera","1"
"211","Myriophyllum_sibiricum","3"
"212","Myristica_fragrans","2"
"213","Myrtus_communis","4"
"214","Narthecium_ossifragum","3"
"215","Nelumbo_lutea","3"
"216","Nelumbo_nucifera","3"
"217","Nemesia_strumosa","3"
"218","Nepenthes_macfarlanei","2"
"219","Nicotiana_tabacum","1"
"220","Nolana_humifusa","3"
"221","Nothapodytes_nimmoniana","2"
"222","Nothofagus_dombeyi","5"
"223","Nuphar_advena","3"
"224","Nymphaea_odorata","3"
"225","Nymphoides_peltata","3"
"226","Nyssa_ogeche","2"
"227","Ochroma_pyramidale","4"
"228","Octoknema_borealis","2"
"229","Octomeles_sumatrana","2"
"230","Olea_europaea","2"
"231","Oryza_sativa","1"
"232","Ottelia_acuminata","2"
"233","Oxalis_corniculata","3"
"234","Paeonia_californica","3"
"235","Panax_quinquefolius","3"
"236","Pandanus_tectorius","2"
"237","Pennantia_corymbosa","2"
"238","Peritoma_arborea","4"
"239","Perrottetia_ovata","2"
"240","Petrosavia_sakuraii","3"
"241","Petunia_axillaris","3"
"242","Peumus_boldus","2"
"243","Phelline_comosa","2"
"244","Phoenix_dactylifera","2"
"245","Phormium_tenax","1"
"246","Phragmites_australis","5"
"247","Phryma_leptostachya","1"
"248","Phyllanthus_niruri","5"
"249","Physena_madagascariensis","2"
"250","Picramnia_polyantha","2"
"251","Pinguicula_alpina","3"
"252","Piper_amalago","4"
"253","Piper_arboreum","2"
"254","Pitcairnia_albiflos","3"
"255","Pittosporum_dasycaulon","4"
"256","Plantago_lanceolata","2"
"257","Platea_latifolia","2"
"258","Plocosperma_buxifolium","2"
"259","Plumbago_auriculata","4"
"260","Podophyllum_peltatum","3"
"261","Poeppigia_procera","4"
"262","Polycarpon_tetraphyllum","3"
"263","Polygala_lewtonii","1"
"264","Populus_alba","2"
"265","Portulaca_oleracea","3"
"266","Posidonia_australis","5"
"267","Posoqueria_latifolia","4"
"268","Potamogeton_berchtoldii","5"
"269","Primula_sieboldii","3"
"270","Prionotes_cerinthoides","3"
"271","Prunus_persica","4"
"272","Putranjiva_roxburghii","2"
