"Leaf_area_mm2"	"Nmass_mg_g"	"LMA_g_m2"	"Plant_height_m"	"Diaspore_mass_mg"	"SSD_combined_mg_mm3"
"Abies yuanbaoshanensis"	NA	NA	NA	1.47958601958199	NA	NA
"Abies ziyuanensis"	NA	NA	NA	1.5783189985037	NA	NA
"Abrahamia ditimena"	NA	NA	NA	NA	NA	0.699604833911743
"Abronia ameliae"	NA	NA	NA	NA	-0.516863952480393	NA
"Abronia fragrans"	-0.707393791258291	NA	NA	-0.759739486759544	NA	NA
"Abronia latifolia"	NA	NA	NA	-0.0439662464284405	0.221987179780255	NA
"Abronia maritima"	NA	NA	NA	NA	0.193648901647981	NA
"Abronia pogonantha"	NA	NA	NA	NA	0.0544836707413975	NA
"Abronia turbinata"	NA	NA	NA	NA	-0.253747038179959	NA
"Abronia umbellata"	NA	NA	NA	NA	-0.015922867428547	NA
"Abronia villosa"	NA	2.16320656231846	-0.0234336905446596	NA	-0.303450980371988	NA
"Abrophyllum ornans"	NA	NA	NA	0.862545758172596	-0.946951481779566	NA
"Abrus canescens"	NA	NA	NA	NA	0.758694164143166	NA
"Abrus laevigatus"	NA	NA	NA	NA	1.03755241346648	NA
"Abrus precatorius"	-1.00754394095842	NA	-0.432614470567586	0.600608320612709	1.27764283163646	NA
"Abrus schimperi"	NA	NA	NA	NA	1.13651246520925	NA
"Abuta grandifolia"	0.76502501625095	0.551861218881466	0.214625557570557	0.3313952147794	2.38436776824431	NA
"Abuta imene"	0.77911712965529	NA	NA	NA	NA	NA
"Abuta panamensis"	0.500865344427678	0.829155184660156	-0.19985435329562	NA	NA	NA
"Abuta racemosa"	0.365424394041389	0.27668492495993	-0.00868779543187985	NA	1.98714600235316	0.0331966185197912
"Abuta rufescens"	1.74906823977848	-0.198002595325256	1.38629813244922	NA	NA	-0.0693391160065477
"Abutilon abutiloides"	NA	NA	NA	NA	0.0354289656430325	NA
"Abutilon angulatum"	NA	NA	NA	0.0339124092561141	-0.0391831977315805	NA
"Abutilon auritum"	NA	NA	NA	NA	-0.162137848498356	NA
"Abutilon austroafricanum"	NA	NA	NA	-0.529443349023009	NA	NA
"Abutilon bidentatum"	NA	NA	NA	NA	-0.311490393513431	NA
"Abutilon cryptopetalum"	-0.357630743100907	NA	NA	-0.540167107737058	-0.241203233948829	NA
"Abutilon dugesii"	NA	NA	NA	NA	-0.0407721311480122	NA
"Abutilon englerianum"	NA	NA	NA	0.111822835756914	-0.258851934285577	NA
"Abutilon fraseri"	-0.498962449752091	NA	0.360278177005554	-0.838275600353203	-0.571964497274971	NA
"Abutilon fruticosum"	NA	NA	NA	-0.223368098799268	-0.257570928382451	NA
"Abutilon glabriflorum"	NA	NA	NA	NA	-0.139296826342969	NA
"Abutilon grandifolium"	NA	NA	NA	NA	-0.232601996337621	NA
"Abutilon greveanum"	NA	NA	NA	NA	-0.283820866330407	NA
"Abutilon hirtum"	NA	NA	NA	-0.0439662464284405	-0.109706990748835	NA
"Abutilon incanum"	-0.671161173605538	1.35365826553777	-0.0564862857932747	NA	-0.180513522752265	NA
"Abutilon indicum"	NA	1.18387168794942	NA	-0.231473501656744	-0.079019992612196	NA
"Abutilon indicum subsp. guineense"	NA	NA	NA	-0.0439662464284405	-0.0853773612119894	NA
"Abutilon lauraster"	NA	NA	NA	-0.0759396785468788	NA	NA
"Abutilon lepidum"	NA	NA	NA	NA	-0.39299164273402	NA
"Abutilon leucopetalum"	NA	NA	NA	NA	-0.328839905539355	NA
"Abutilon longicuspe"	NA	NA	NA	0.608023697065532	-0.143374629520697	NA
"Abutilon mauritianum"	NA	NA	NA	-0.0439662464284405	-0.209959257348354	NA
"Abutilon otocarpum"	-0.495337010378171	NA	0.149074802980173	-0.728185001493179	-0.449883234352159	NA
"Abutilon palmeri"	NA	NA	NA	-0.384378025551703	NA	NA
"Abutilon pannosum"	NA	NA	NA	NA	-0.291555445663216	NA
"Abutilon pictum"	NA	NA	NA	-0.263538625450926	NA	NA
"Abutilon pseudocleistogamum"	NA	NA	NA	NA	-0.307243384980851	NA
"Abutilon pycnodon"	NA	NA	NA	NA	-0.19843260811588	NA
"Abutilon ramosum"	NA	NA	NA	-0.14269922535015	-0.238730950922871	NA
"Abutilon rehmannii"	NA	NA	NA	0.172226072730414	NA	NA
"Abutilon sinense"	NA	NA	NA	0.414872759013799	NA	NA
"Abutilon sonneratianum"	NA	NA	NA	-0.190212665501256	-0.26530550771526	NA
"Abutilon sylvaticum"	NA	NA	NA	NA	0.185639949599436	NA
"Abutilon theophrasti"	1.16703197409933	1.61928060591543	-0.881442380714102	-0.0439662464284405	0.184616479942944	-1.49672299595513
"Abutilon trisulcatum"	NA	NA	NA	NA	-0.361476237501348	NA
"Acacia abyssinica"	NA	NA	NA	1.08946895917184	1.213406484236	NA
"Acacia acatlensis"	NA	NA	NA	NA	0.699163178806104	NA
"Acacia acinacea"	NA	NA	NA	NA	0.288364855695516	NA
"Acacia acradenia"	NA	NA	NA	NA	0.175586438675247	1.24517924879516
"Acacia acrionastes"	NA	NA	NA	NA	0.601180734541036	NA
"Acacia acuifera"	NA	NA	NA	NA	0.461701828116764	NA
"Acacia acuminata"	NA	NA	NA	NA	0.553068405686245	1.33368941080074
