"Leaf_area_mm2"	"Nmass_mg_g"	"LMA_g_m2"	"Plant_height_m"	"Diaspore_mass_mg"	"SSD_combined_mg_mm3"
"Citrus lucida"	NA	NA	NA	NA	NA	0.899415691751931
"Citrus maxima"	0.38341288388103	NA	NA	0.608023697065532	1.64578648634431	NA
"Citrus medica"	0.899973648882254	NA	NA	1.30169051621757	NA	0.768574220916346
"Citrus nobilis"	NA	NA	NA	NA	1.83220458270278	NA
"Citrus paradisi"	NA	0.615494804856907	-0.567096123679175	0.714819337854374	NA	NA
"Citrus reticulata"	NA	NA	NA	NA	1.09582240311982	NA
"Citrus sinensis"	NA	0.125299696438391	0.32304029028901	0.922948995146096	1.13751871477038	0.973795778934799
"Citrus trifoliata"	NA	NA	NA	0.5086838622682	1.56863792485631	NA
"Cladanthus mixtus"	NA	0.274705357227663	-0.581405757543332	-1.17731962669078	-0.921514118039707	-2.4241849005869
"Cladium mariscoides"	NA	NA	NA	NA	-0.243687518395721	NA
"Cladium mariscus"	1.13176157399926	-0.482311823017845	1.13507502678408	-0.0490442807315092	-0.43158448159126	-0.551370325344168
"Cladium mariscus subsp. californicum"	NA	NA	NA	NA	-0.285169382502227	NA
"Cladium mariscus subsp. intermedium"	NA	NA	NA	NA	-0.512634493770043	NA
"Cladium mariscus subsp. jamaicense"	NA	-2.01848707471021	NA	NA	-0.340741874324272	NA
"Cladochaeta candidissima"	NA	NA	NA	-0.915528568944899	-0.752743269174197	NA
"Cladogynos orientalis"	NA	NA	NA	-0.0439662464284405	NA	NA
"Cladoraphis cyperoides"	NA	NA	NA	NA	-0.607204835215211	NA
"Cladostemon kirkii"	0.00819696648642709	2.53784325947917	-0.182840831374128	0.706756675987241	NA	NA
"Cladrastis kentukea"	NA	NA	NA	1.06001171601601	0.946868073164136	NA
"Cladrastis lichuanensis"	NA	NA	NA	1.20295753729586	NA	NA
"Cladrastis lutea"	NA	0.349441428714248	NA	1.35874661948121	0.907453186479672	NA
"Cladrastis platycarpa"	NA	NA	NA	1.23790721938044	NA	NA
"Cladrastis sinensis"	NA	NA	NA	1.47958601958199	NA	NA
"Cladrastis wilsonii"	NA	NA	NA	1.23790721938044	NA	NA
"Claoxylon australe"	0.307383516111736	NA	-0.423938219176937	0.18491226715134	0.259662114314891	NA
"Claoxylon hainanense"	NA	NA	NA	0.706756675987241	NA	NA
"Claoxylon indicum"	1.17970857172077	NA	-0.519866146384627	0.926329055009727	NA	-0.492519508881611
"Claoxylon longifolium"	NA	NA	NA	NA	NA	-0.545944143885359
"Claoxylon parviflorum"	NA	NA	NA	NA	NA	0.795474659550278
"Claoxylon sandwicense"	0.929619024513551	-0.00229294528084644	-0.0562414903690439	0.487184296964755	0.157432009330359	NA
"Clappertonia ficifolia"	NA	NA	NA	0.111822835756914	-0.476064540664986	NA
"Clarisia biflora"	0.629562271470879	0.20365904720051	0.205210856169213	1.56065069930441	2.5777791490755	0.17914931772283
"Clarisia ilicifolia"	0.922806835647284	0.787760216407099	NA	NA	2.3501417031534	NA
"Clarisia racemosa"	0.20133209163155	0.353974730776899	0.269045707614557	1.68589954370811	2.95690516868816	0.538419529713088
"Clarkia amoena"	NA	NA	NA	NA	-0.803678693249414	NA
"Clarkia biloba"	NA	NA	NA	NA	-0.893721390588607	NA
"Clarkia bottae"	NA	NA	NA	NA	-0.899967904299829	NA
"Clarkia breweri"	NA	NA	NA	NA	-0.822620958864982	NA
"Clarkia concinna"	NA	NA	NA	NA	-0.845510026082796	NA
"Clarkia cylindrica"	NA	NA	NA	NA	-0.880155303948014	NA
"Clarkia davyi"	NA	NA	NA	NA	-0.840689630087994	NA
"Clarkia delicata"	NA	NA	NA	NA	-0.925273632402283	NA
"Clarkia dudleyana"	NA	NA	NA	NA	-0.873291675955638	NA
"Clarkia epilobioides"	NA	NA	NA	NA	-0.911315632891698	NA
"Clarkia gracilis"	NA	NA	NA	-0.412154991932669	-0.809664277168062	NA
"Clarkia lewisii"	NA	NA	NA	NA	-0.878000515117884	NA
"Clarkia mildrediae"	NA	NA	NA	NA	-0.681218475170632	NA
"Clarkia pulchella"	NA	NA	NA	-0.540167107737058	-0.869470957819293	NA
"Clarkia purpurea"	NA	NA	NA	-0.759739486759544	-0.824167067566918	NA
"Clarkia rhomboidea"	NA	NA	NA	NA	-0.826884048645417	NA
"Clarkia rubicunda"	NA	NA	NA	NA	-0.807786250872983	NA
"Clarkia speciosa"	NA	NA	NA	NA	-0.879292299374042	NA
"Clarkia tenella"	NA	NA	NA	-1.13510094796739	-0.716359107173411	NA
"Clarkia unguiculata"	NA	NA	NA	NA	-0.835122627036941	NA
"Clarkia virgata"	NA	NA	NA	NA	-0.773353903876377	NA
"Clarkia williamsonii"	NA	NA	NA	NA	-0.758158786282268	NA
"Clarkia xantiana"	NA	NA	NA	NA	-0.909025868037816	NA
"Clathrotropis brachypetala"	NA	NA	NA	NA	NA	1.07094933110042
"Clathrotropis brunnea"	NA	NA	NA	NA	NA	0.932005837638286
"Clathrotropis macrocarpa"	NA	0.185515633033048	0.624921859373012	NA	4.24651387601711	0.604546483645223
"Clathrotropis nitida"	NA	NA	NA	NA	1.61069574170328	NA
"Clausena anisata"	-0.324916991258115	0.928855520954066	0.330798976261464	0.414872759013799	1.27412050337843	0.0530549060018032
"Clausena brevistyla"	NA	NA	NA	NA	1.22866921375731	NA
"Clausena engleri"	NA	NA	NA	0.862545758172596	NA	NA
"Clausena excavata"	NA	NA	NA	0.111822835756914	NA	NA
"Clausena heptaphylla"	0.641693241940885	NA	NA	1.23790721938044	NA	NA
"Clausena indica"	NA	NA	NA	0.706756675987241	NA	NA
"Clausena lansium"	NA	NA	NA	1.08211813719508	NA	NA
"Clausena lenis"	NA	NA	NA	0.3313952147794	NA	NA
"Clausena sanki"	NA	NA	NA	1.20295753729586	NA	NA
"Clavija elliptica"	NA	NA	NA	NA	1.86874257242769	NA
"Clavija procera"	1.88105286697888	0.201399074105926	0.219703060144965	0.79023422022164	NA	NA
"Clavija tarapotana"	NA	NA	NA	NA	1.82267486354494	NA
"Clavija weberbaueri"	1.52576308509959	-0.259746235488054	0.213802638018854	NA	NA	NA
"Claytonia caroliniana"	-0.507104324046523	NA	-1.41204018627514	NA	NA	NA
"Claytonia exigua"	NA	NA	NA	NA	-0.776871179516043	NA
"Claytonia gypsophiloides"	NA	NA	NA	NA	-0.716359107173411	NA
"Claytonia lanceolata"	-1.34459894710472	NA	NA	NA	-0.584896924293287	NA
"Claytonia megarhiza"	-0.487990068735106	NA	NA	-1.13510094796739	NA	NA
"Claytonia nevadensis"	NA	NA	NA	NA	-0.646691889042693	NA
"Claytonia parviflora"	NA	NA	NA	NA	-0.870741363745387	NA
"Claytonia perfoliata"	-0.461929504267986	NA	-1.87997602838226	-1.3055269243746	-0.646144842928509	-2.49856498776977
"Claytonia rubra"	NA	NA	NA	NA	-0.840689630087994	NA
"Claytonia sibirica"	-0.678533244964107	NA	-1.57107617189693	-0.821327265996451	-0.568194597419804	-2.33861629053195
"Claytonia virginica"	-0.387939515859781	NA	-1.44721190398451	-1.39397268803083	-0.574334865528827	-2.45358780159326
"Cleidiocarpon cavaleriei"	NA	NA	NA	1.5783189985037	NA	NA
"Cleidion brevipetiolatum"	NA	NA	NA	0.983385158273373	NA	NA
"Cleidion javanicum"	NA	NA	NA	NA	NA	-0.0693391160065477
"Cleistachne sorghoides"	NA	NA	NA	-0.0439662464284405	NA	NA
"Cleistanthus baramicus"	0.290469904830848	-0.123309719783248	-0.908293718232827	1.20295753729586	NA	-0.776098835088617
"Cleistanthus brideliifolius"	0.077635447280064	0.367520303590584	-0.0983055463204936	NA	NA	NA
"Cleistanthus caudatus"	NA	NA	NA	NA	NA	1.28686112723366
"Cleistanthus glandulosus"	NA	NA	NA	1.39284949589109	NA	NA
"Cleistanthus monoicus"	0.030995773077763	0.542622584654746	NA	0.221500742323101	NA	NA
"Cleistanthus oblongifolius"	0.38341288388103	NA	0.113588963119833	1.50082529546989	NA	0.25168011258358
"Cleistanthus pallidus"	NA	NA	NA	NA	NA	0.240975761721643
"Cleistanthus paxii"	0.816077983462767	-0.239369513426503	-0.93698744629209	0.487184296964755	NA	NA
"Cleistanthus polystachyus"	NA	NA	NA	1.28086745836645	NA	NA
"Cleistanthus schlechteri"	-0.61719474833577	0.228264257172621	0.580037685184397	1.35874661948121	NA	0.568763363076158
"Cleistanthus sumatranus"	NA	NA	NA	1.30169051621757	NA	0.589718815255279
"Cleistocalyx sp"	1.14587989351319	NA	NA	NA	NA	NA
"Cleistochlamys kirkii"	NA	NA	NA	0.573939773948128	NA	NA
"Cleistogenes serotina"	NA	NA	NA	-0.629239197998629	NA	NA
"Cleistogenes songorica"	-1.33081942345726	-0.159652498004231	-0.291344801212103	-1.51046240917523	NA	NA
"Cleistogenes squarrosa"	-0.81756213269479	0.238243651814762	0.651752248522513	-1.40277828234848	NA	-0.450837630443104
"Cleistopholis glauca"	NA	NA	NA	NA	NA	-0.806936085685134
"Cleistopholis patens"	0.899973648882254	NA	NA	1.35874661948121	NA	-0.663287699190943
"Clematicissus opaca"	-0.32141864787534	NA	NA	1.08211813719508	NA	NA
"Clematis acerifolia"	NA	NA	NA	-0.649840501554392	NA	NA
"Clematis aethusifolia"	NA	NA	NA	0.0395112978059584	NA	NA
"Clematis afoliata"	NA	NA	NA	NA	-0.462519965059545	NA
"Clematis alpina"	NA	0.962928531924358	-0.610108220227804	-0.0479521147439137	-0.201863424927625	NA
"Clematis alpina subsp. sibirica"	-1.35526778052569	NA	NA	0.608023697065532	NA	NA
"Clematis apiifolia"	NA	NA	NA	0.414872759013799	-0.389668503842272	NA
"Clematis aristata"	0.440295505919146	NA	-1.24901879659072	0.862545758172596	-0.500151884910256	NA
"Clematis armandii"	0.922806835647284	-0.159399845141195	-0.0333132476256144	0.706756675987241	NA	NA
"Clematis barbellata"	NA	NA	NA	NA	-0.462519965059545	NA
"Clematis brachiata"	NA	NA	NA	0.487184296964755	-0.460613960654895	NA
"Clematis campaniflora"	NA	NA	NA	0.373072090437464	NA	NA
"Clematis campestris"	NA	NA	NA	0.3313952147794	NA	NA
"Clematis chiupehensis"	NA	NA	NA	0.487184296964755	NA	NA
"Clematis chrysocarpa"	NA	NA	NA	NA	-0.0890459187932672	NA
"Clematis cirrhosa"	NA	NA	NA	0.409273870463955	-0.222945830788577	NA
"Clematis clarkeana"	NA	NA	NA	0.111822835756914	NA	NA
"Clematis columbiana"	NA	NA	NA	-0.0439662464284405	-0.0226693514548454	NA
"Clematis courtoisii"	NA	NA	NA	0.487184296964755	NA	NA
"Clematis decipiens"	NA	NA	NA	NA	-0.20647392089556	NA
"Clematis delavayi"	NA	NA	NA	-0.0439662464284405	NA	NA
"Clematis dioica"	NA	NA	NA	NA	-0.40650428493221	NA
"Clematis drummondii"	NA	NA	NA	0.3313952147794	-0.39299164273402	NA
"Clematis flammula"	NA	0.613073318557893	-0.14424371145986	0.475552711434621	0.232308104620107	NA
"Clematis florida"	NA	NA	NA	0.487184296964755	NA	NA
"Clematis foetida"	NA	NA	NA	NA	-0.51622730103056	NA
"Clematis fruticosa"	NA	NA	NA	-0.263538625450926	NA	NA
"Clematis fulvicoma"	NA	NA	NA	0.608023697065532	NA	NA
"Clematis fusca"	-0.304306761466269	NA	-1.81277970015949	0.111822835756914	NA	NA
"Clematis glauca"	NA	NA	NA	-0.0439662464284405	-0.547491305439042	NA
"Clematis glycinoides"	-0.317019824073489	NA	0.450640346143871	0.111822835756914	-0.334905079937444	NA
"Clematis gouriana"	0.030995773077763	NA	NA	1.22043470691625	NA	NA
"Clematis hancockiana"	NA	NA	NA	0.111822835756914	NA	NA
"Clematis heracleifolia"	NA	NA	NA	-0.324217030639333	NA	NA
"Clematis hexapetala"	-0.304306761466269	0.321027935588959	0.345324737505502	-0.638900086658767	NA	NA
"Clematis hirsuta"	NA	NA	NA	NA	-0.404795563508082	NA
"Clematis hirsutissima"	NA	NA	NA	-0.759739486759544	NA	NA
"Clematis ibarensis"	NA	NA	NA	NA	-0.328839905539355	NA
"Clematis integrifolia"	NA	NA	NA	-0.245956599189952	NA	NA
"Clematis kweichouwensis"	NA	NA	NA	0.3313952147794	NA	NA
"Clematis ladakhiana"	NA	NA	NA	NA	-0.716986650588758	NA
"Clematis lanuginosa"	NA	NA	NA	0.111822835756914	NA	NA
"Clematis lasiantha"	-0.41059711108744	-0.586699376573887	-0.0143311074758175	NA	-0.151317073028212	0.411942730829548
"Clematis ligusticifolia"	0.412716913492119	NA	NA	-0.915528568944899	-0.277929249714607	NA
"Clematis macropetala"	NA	NA	NA	0.18491226715134	NA	NA
"Clematis marata"	-0.434223978765467	NA	-1.09603112002669	-0.214392222835657	NA	NA
"Clematis microphylla"	NA	NA	NA	NA	-0.30163498264706	NA
"Clematis montana"	NA	NA	NA	0.862545758172596	NA	NA
"Clematis nannophylla"	NA	NA	NA	-0.263538625450926	NA	NA
"Clematis occidentalis"	NA	NA	NA	NA	-0.0275433082103862	NA
"Clematis orientalis"	NA	NA	NA	0.608023697065532	-0.576716263921299	NA
"Clematis paniculata"	-0.067458901922561	NA	-0.984455223104131	0.0481072262042447	0.057257453093315	NA
"Clematis pauciflora"	NA	NA	NA	NA	-0.0226693514548454	NA
"Clematis pickeringii"	NA	NA	NA	NA	-0.510532800503698	NA
"Clematis pimpinellifolia"	NA	NA	NA	NA	-0.42746673448664	NA
"Clematis pitcheri"	NA	NA	NA	NA	0.57167621956381	NA
"Clematis pseudoflammula"	NA	NA	NA	-0.456689563502659	NA	NA
"Clematis recta"	NA	0.454073590263464	-0.87811830464347	-0.420050232251304	0.255923200214781	NA
"Clematis rehderiana"	NA	NA	NA	0.3313952147794	NA	NA
"Clematis simensis"	0.293524818066164	NA	NA	1.35874661948121	-0.404795563508082	NA
"Clematis tangutica"	-0.44598424051061	NA	0.195852407122681	0.487184296964755	NA	NA
"Clematis terniflora"	0.380442289089018	NA	-0.546896790312141	0.750102373054204	-0.0299978049590871	NA
"Clematis texensis"	NA	NA	NA	NA	0.632908304414486	NA
"Clematis tsugetorum"	NA	NA	NA	-0.915528568944899	NA	NA
"Clematis uhehensis"	NA	NA	NA	-0.263538625450926	NA	NA
"Clematis urophylla"	NA	NA	NA	0.3313952147794	NA	NA
"Clematis villosa"	NA	NA	NA	-0.250166782640467	0.231914971056631	NA
"Clematis virginiana"	0.599626138247879	NA	NA	0.559326579681133	-0.359754976896294	NA
"Clematis vitalba"	0.372567613258583	0.989669754832429	-0.810915771782765	0.873800170646526	-0.408562310190024	NA
"Clematis viticella"	0.0718477996107597	NA	0.801486650420729	0.132280491900805	0.551964847892196	NA
"Clematopsis uhehensis"	NA	NA	NA	-0.540167107737058	NA	NA
"Cleome amblyocarpa"	NA	NA	NA	-1.7437451943944	-0.278462057249553	NA
"Cleome angustifolia"	NA	NA	NA	-0.419327707636281	-0.573148309024425	NA
"Cleome angustifolia subsp. diandra"	NA	NA	NA	-0.419327707636281	-0.638546970312444	NA
"Cleome arabica"	NA	NA	NA	-0.759739486759544	-0.458715028639062	NA
"Cleome bororensis"	NA	NA	NA	-0.121459949462255	NA	NA
"Cleome brachycarpa"	NA	NA	NA	-0.638900086658767	-0.573148309024425	NA
"Cleome carnosa"	NA	NA	NA	NA	-0.891067478377797	NA
"Cleome chilensis"	NA	NA	NA	-1.25594034806816	-0.573148309024425	NA
"Cleome densifolia"	NA	NA	NA	-0.0759396785468788	-0.404795563508082	NA
"Cleome droserifolia"	NA	NA	NA	-0.972584672208545	-0.899967904299829	NA
"Cleome foliosa"	NA	NA	NA	-0.164805646529217	-0.573148309024425	NA
"Cleome gynandra"	NA	NA	NA	-0.540167107737058	-0.646144842928509	NA
"Cleome hirta"	NA	NA	NA	-0.00901656434386224	-0.144399177592805	NA
"Cleome iberidella"	NA	NA	NA	-0.638900086658767	NA	NA
"Cleome isomeris"	NA	NA	NA	-0.0367935307248282	1.3446570439219	NA
"Cleome kalachariensis"	NA	NA	NA	-0.947119157555964	-0.773353903876377	NA
"Cleome laburnifolia"	NA	NA	NA	-0.320594728714572	-0.573148309024425	NA
"Cleome lutea"	NA	NA	NA	-0.371006182741243	-0.210192459262204	NA
"Cleome macrophylla"	NA	NA	NA	-0.540167107737058	-0.337740331461387	NA
"Cleome maculata"	NA	NA	NA	-0.915528568944899	NA	NA
"Cleome monophylla"	NA	NA	NA	-0.540167107737058	-0.441934456739651	NA
"Cleome multicaulis"	NA	NA	NA	NA	0.028818937649764	NA
"Cleome oxyphylla"	NA	NA	NA	-0.728185001493179	NA	NA
"Cleome paradoxa"	NA	NA	NA	NA	-0.609744600185177	NA
"Cleome pilosa"	NA	NA	NA	NA	-0.422145075534007	NA
"Cleome platycarpa"	NA	NA	NA	-0.540167107737058	-0.362260546606721	NA
"Cleome polyanthera"	NA	NA	NA	-0.695956189922413	-0.573148309024425	NA
"Cleome quinquenervia"	NA	NA	NA	-0.695956189922413	NA	NA
"Cleome rubella"	NA	NA	NA	-0.915528568944899	-0.527593099981044	NA
"Cleome rutidosperma"	-1.35526778052569	NA	NA	-0.263538625450926	NA	NA
"Cleome schweinfurthii"	NA	NA	NA	NA	-0.458715028639062	NA
"Cleome serrulata"	NA	NA	NA	-0.314610887513988	0.0153371029143666	NA
"Cleome spinosa"	NA	NA	NA	NA	-0.427823487091598	NA
"Cleome stricta"	NA	NA	NA	-0.0439662464284405	NA	NA
"Cleome suffruticosa"	NA	NA	NA	-0.759739486759544	-0.573148309024425	NA
"Cleome tenuis"	NA	NA	NA	NA	-0.537445499076668	NA
"Cleome tetrandra"	NA	NA	NA	NA	-0.638546970312444	NA
"Cleome usambarica"	NA	NA	NA	NA	-0.649435925596056	NA
"Cleome viscosa"	NA	NA	NA	-0.320594728714572	-0.591733535769196	NA
"Cleomella obtusifolia"	NA	NA	NA	NA	-0.436461018564109	NA
"Cleomella palmeriana"	NA	NA	NA	NA	-0.310070804278363	NA
"Cleonia lusitanica"	NA	NA	NA	-1.13510094796739	-0.666216497495468	NA
"Cleretum herrei"	NA	NA	NA	NA	-0.680633270314309	NA
"Cleretum papulosum"	NA	NA	NA	NA	-0.739450012923161	NA
"Clermontia fauriei"	0.312513989995862	0.170611469346858	0.273246907364218	0.3313952147794	-0.937203347213994	NA
"Clermontia kakeana"	NA	NA	NA	0.111822835756914	NA	NA
"Clermontia montis-loa"	NA	0.893468224068187	-1.25732553392817	NA	NA	NA
"Clermontia oblongifolia"	NA	0.0821271857123876	0.271913849304934	NA	NA	NA
"Clermontia parviflora"	0.526138750093024	NA	-0.308808648438097	-0.0262095042057552	-0.937203347213994	NA
"Clermontia pyrularia"	0.38341288388103	NA	NA	1.30169051621757	NA	NA
"Clerodendrum bracteatum"	NA	NA	NA	0.983385158273373	NA	NA
"Clerodendrum bungei"	NA	1.16918793362225	NA	-0.0439662464284405	1.22852898589205	NA
"Clerodendrum capitatum"	NA	NA	NA	NA	1.65158694508392	NA
"Clerodendrum cephalanthum"	NA	NA	NA	NA	1.39481828241848	NA
"Clerodendrum cordatum"	1.41543219365254	NA	NA	1.15999679287964	NA	NA
"Clerodendrum coulteri"	NA	NA	NA	NA	-0.0170411232621675	NA
"Clerodendrum cyrtophyllum"	NA	1.46466785925944	NA	0.608023697065532	0.884077333828107	NA
"Clerodendrum deflexum"	0.899973648882254	NA	NA	1.08211813719508	NA	NA
"Clerodendrum disparifolium"	NA	NA	NA	0.706756675987241	NA	0.276424441036679
"Clerodendrum floribundum"	NA	NA	NA	0.52634825805036	0.977657348937361	NA
"Clerodendrum fragrans"	0.899973648882254	NA	NA	1.10031142286634	NA	NA
"Clerodendrum fuscum"	0.392825241044978	NA	NA	NA	NA	NA
"Clerodendrum globosum"	NA	NA	NA	NA	0.61555104904283	NA
"Clerodendrum humbertii"	NA	NA	NA	NA	0.445119939701098	NA
"Clerodendrum infortunatum"	1.14587989351319	NA	NA	0.69100589974367	0.986060102106618	NA
"Clerodendrum involucratum"	NA	NA	NA	NA	0.714133151200403	NA
"Clerodendrum johnstonii"	0.797571456397168	NA	NA	NA	NA	NA
"Clerodendrum laevifolium"	0.289277775023401	NA	NA	1.16559568142948	2.01751031927067	NA
"Clerodendrum lindleyi"	NA	NA	NA	0.3313952147794	NA	NA
"Clerodendrum macrostegium"	NA	0.804557741024771	-0.514509927646147	NA	NA	NA
"Clerodendrum mandarinorum"	0.922806835647284	1.15412564041402	-1.56660638210405	1.03499868186938	1.02913238996737	NA
"Clerodendrum polycephalum"	NA	NA	NA	NA	1.17591682231592	NA
"Clerodendrum scandens"	-0.32141864787534	NA	NA	0.678219130662955	NA	NA
"Clerodendrum splendens"	0.643576235710531	NA	NA	NA	NA	NA
"Clerodendrum tatei"	NA	NA	NA	NA	0.923356114604724	NA
"Clerodendrum tomentosum"	NA	NA	NA	0.3313952147794	0.667002168456933	NA
"Clerodendrum trichotomum"	0.922806835647284	0.37530976918716	-1.67771856934864	0.706756675987241	0.911429882623116	NA
"Clerodendrum villosum"	NA	NA	NA	0.366344896863979	0.719659582168801	NA
"Clethra acuminata"	NA	NA	NA	0.715352604385528	NA	NA
"Clethra alnifolia"	NA	-0.972193705937996	-0.391419224397209	0.462533475872447	-0.899967904299829	NA
"Clethra arborea"	NA	NA	NA	0.3313952147794	NA	NA
"Clethra barbinervis"	NA	NA	NA	0.898552088628761	-0.918247047082908	NA
"Clethra bodinieri"	NA	NA	NA	0.608023697065532	NA	NA
"Clethra conzattiana"	NA	NA	0.593815242265529	NA	NA	NA
"Clethra delavayi"	NA	NA	NA	0.839521904371399	NA	NA
"Clethra fabri"	NA	NA	NA	1.08211813719508	NA	NA
"Clethra fargesii"	NA	NA	NA	0.79023422022164	NA	NA
"Clethra gelida"	0.274039868271424	NA	1.67397275982216	NA	NA	NA
"Clethra hartwegii"	NA	NA	0.803639594441005	NA	NA	NA
"Clethra kaipoensis"	NA	NA	NA	1.35874661948121	NA	NA
"Clethra lanata"	1.28154145557447	-0.0379221211733689	-0.656697646698557	NA	NA	0.153093669626196
"Clethra mexicana"	1.03904154266848	-0.712222941398744	0.461782845631152	1.47958601958199	NA	0.311222649027877
"Clethra occidentalis"	NA	-1.20902024963753	1.30877286635571	NA	NA	NA
"Clethra ovalifolia"	NA	NA	NA	NA	NA	0.0921583351973473
"Clethra petelotii"	NA	NA	NA	0.983385158273373	NA	NA
"Clethra revoluta"	0.380442289089018	NA	NA	NA	NA	NA
"Clethra scabra"	0.380442289089018	NA	1.74293508173967	NA	NA	0.064870826631251
"Clethra sleumeriana"	NA	NA	NA	0.706756675987241	NA	NA
"Clethra sumatrana"	NA	NA	NA	NA	NA	0.538419529713088
"Cleyera incornuta"	NA	NA	NA	1.20295753729586	NA	NA
"Cleyera integrifolia"	NA	NA	0.695219463642175	NA	NA	NA
"Cleyera japonica"	-0.083158295601522	-1.16246092991148	0.589897523824787	0.947221083615044	NA	0.276424441036679
"Cleyera obovata"	NA	NA	NA	0.608023697065532	NA	NA
"Cleyera obscurinervia"	NA	NA	NA	1.23790721938044	NA	NA
"Cleyera pachyphylla"	NA	NA	NA	0.862545758172596	NA	NA
"Cleyera theoides"	0.57520114279003	NA	0.817942320082066	NA	NA	NA
"Clianthus puniceus"	NA	NA	NA	0.111822835756914	NA	NA
"Clibadium arboreum"	NA	NA	NA	0.608023697065532	NA	NA
"Clibadium surinamense"	0.192241608903012	NA	NA	0.160721906959515	NA	NA
"Clidemia capitata"	NA	NA	NA	NA	-0.895498342342959	NA
"Clidemia capitellata"	NA	NA	NA	NA	-0.954386405639138	NA
"Clidemia dentata"	0.785257570031712	0.160218421475233	-0.993694151702176	0.396140380641394	-0.956888912293694	0.583755133843746
"Clidemia dimorphica"	0.384113707371335	-0.162054110690809	-0.919568292434553	NA	NA	NA
"Clidemia hirsuta"	0.289277775023401	NA	NA	-0.14269922535015	-0.899967904299829	NA
"Clidemia hirta"	0.191794503066575	0.082808141227651	-0.409044658085225	0.562869877722374	-0.951896076680714	NA
"Clidemia octona"	0.90577074077003	0.218668025474625	-1.04228051815295	0.505159354900386	-0.961930939197247	NA
"Clidemia quinquenervia"	NA	NA	NA	NA	-0.961930939197247	NA
"Clidemia septuplinervia"	0.760636990547307	-0.0416360433819972	-1.19281975638668	0.273134367707135	-0.956888912293694	NA
"Clidemia sericea"	0.811580001717424	-0.173846351204007	0.0919712572979828	0.983385158273373	NA	NA
"Cliffortia burgersii"	NA	NA	NA	NA	0.193648901647981	NA
"Cliffortia hirta"	NA	NA	NA	NA	-0.496057770346175	NA
"Cliffortia linearifolia"	NA	NA	NA	0.111822835756914	NA	NA
"Cliffortia nitidula"	NA	NA	NA	0.111822835756914	NA	NA
"Cliffortia ruscifolia"	NA	-1.67588099007003	NA	-0.0439662464284405	NA	0.523063582443938
"Cliffortia serpyllifolia"	NA	NA	NA	0.0547667324932686	NA	NA
"Cliftonia monophylla"	NA	NA	NA	0.857444946972356	NA	NA
"Clinopodium acinos"	-1.58518011367692	NA	-0.41674010074312	-0.993022271978713	-0.735528448974578	-1.4351159829368
"Clinopodium alpinum"	NA	-0.371408651756079	-0.313658233286513	-1.36838373318655	NA	NA
"Clinopodium carolinianum"	NA	NA	NA	-0.841414925774716	NA	NA
"Clinopodium chilense"	NA	-0.247235486272415	NA	NA	NA	NA
"Clinopodium chinense"	NA	NA	NA	NA	-0.813441132621099	NA
"Clinopodium gilliesii"	NA	NA	0.302925082526595	NA	-0.802193172348308	0.204851829016509
"Clinopodium grandiflorum"	NA	NA	NA	-0.540167107737058	NA	NA
"Clinopodium graveolens"	NA	NA	NA	NA	-0.716986650588758	NA
"Clinopodium menthifolium"	NA	NA	NA	-0.592232096235095	-0.801081854667101	NA
"Clinopodium menthifolium subsp. ascendens"	NA	NA	NA	-0.703225186561229	-0.573148309024425	NA
"Clinopodium nepeta"	-1.18369407313215	0.739321904773175	-0.938320406331652	-0.894289293057004	-0.856112637479288	-1.50568967519405
"Clinopodium nepeta subsp. glandulosum"	NA	NA	NA	-0.384378025551703	-0.832755182917812	NA
"Clinopodium obovatum"	-1.97507435747573	NA	0.838364136364037	-1.01426154786661	NA	NA
"Clinopodium odorum"	NA	NA	NA	-0.638900086658767	-0.573148309024425	-0.0153292475076276
"Clinopodium thymifolium"	NA	NA	NA	-1.09342407230932	NA	NA
"Clinopodium vulgare"	-0.639585491503497	-0.396943609060361	-1.04753073283049	-0.821327265996451	-0.813441132621099	-1.27733341857418
"Clintonia andrewsiana"	NA	NA	NA	NA	0.0139842296577648	NA
"Clintonia borealis"	0.587442825038679	-0.0090193847741491	-1.42185550194631	-0.863915045348897	NA	NA
"Clintonia udensis"	0.922806835647284	NA	-1.80304159220906	-0.759739486759544	-0.271841504488089	NA
"Clintonia uniflora"	NA	NA	NA	NA	-0.0532350934385446	NA
"Cliococca selaginoides"	NA	NA	NA	-1.53823937555619	NA	NA
"Clitoria amazonum"	NA	0.746100133174052	NA	NA	1.30049871845228	NA
"Clitoria arborea"	0.737304393970888	NA	NA	NA	NA	NA
"Clitoria arborescens"	0.922806835647284	NA	NA	NA	NA	NA
"Clitoria australis"	NA	NA	NA	NA	1.1257399249028	NA
"Clitoria falcata"	-0.0015914255051275	NA	NA	NA	NA	NA
"Clitoria glaberrima"	NA	NA	NA	NA	NA	0.685504775456837
"Clitoria javitensis"	NA	NA	0.0930835640177871	NA	2.19673047176051	-0.0483836638274267
"Clitoria lasciva"	NA	NA	NA	NA	1.07019869551994	NA
"Clitoria nana"	NA	NA	NA	-1.01861122682299	NA	NA
"Clitoria ternatea"	NA	NA	NA	NA	1.01719144272313	NA
"Clivia nobilis"	NA	0.246279989375248	-0.3154971592834	NA	NA	NA
"Clusia alata"	NA	NA	2.67021569845502	NA	NA	0.345393828041283
