"","sp_richn","fdis","fric","fdiv","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4"
"cluster1",90,0.305133304985453,0.0736649123836097,0.799360802459147,0.389252544276125,0.14191777093371,0.00822561360601034,0.0310634206826316,-0.00210756552388619
"cluster2",73,0.388348138641663,0.148534356482018,0.74652251153964,0.606160855340104,-0.245323982438042,0.0118921759962485,0.051146469966355,0.0215323427793011
"cluster3",39,0.352952104682808,0.034256935361907,0.792661245276577,0.561669731276779,0.195145864797388,0.127787844069666,-0.0204625915319851,0.0380607422824194
"cluster4",100,0.268891854563184,0.0533161663827634,0.765483692159462,0.354765461932583,0.00620664465632043,-0.124480240442131,-0.0431855191749106,-0.00703710771905371
"cluster5",29,0.491548646178264,0.116256259348663,0.807978988056922,0.644334442038975,-0.106734546854725,0.20192634666307,-0.0487174890255957,-0.0745806311326969
