"","sp_richn","fdis","fmpd","fnnd","feve","fric","fdiv","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4"
"mixed",76,0.502970874891457,0.536332255563203,0.300250890864206,0.790694,0.266473231275099,0.79084607173236,0.238810808989396,0.47237144952536,0.0851624854640821,0.00184110834161812,0.0314305164296794,0.0145550882617166
"outcrossing",192,0.504769770352882,0.530151794803649,0.224394868483453,0.780681,0.525581840776084,0.802973464662652,0.218601471299854,0.438331656733374,-0.0840596567318989,-0.0221927240497377,-0.0147824232573568,-0.0162497921074297
"selfing",39,0.46813970128119,0.503713795278008,0.411107238876406,0.835334,0.146955731858894,0.771582428943075,0.299508876012846,0.541749887233778,0.14836111155786,0.0869826202829136,-0.00315863752404701,0.044880018091046
