"","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","FlowerSex_bisexual","FlowerSex_unisexual","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"Phryma leptostachya",-2.84647516917758,-2.53002410770886,-4.55965000646592,-1.47040975498863,1.07822440599821,NA,-6.22523641640088,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1",NA,NA,NA,NA,NA,"1","0","0","0","1",NA,NA,NA,NA,"0","0","1","1","0"
"Octoknema borealis",0.729075599629356,-2.30688055639465,-4.55965000646592,-1.06494464688047,NA,-0.879325813268716,-2.16838208350127,"0","1","0","1","0","1","1","0","1","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA
"Rhexia virginica",-2.77748229769063,-1.83687692714892,NA,-0.77726257442869,NA,-0.502031582127248,-11.9155958707249,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"0","0","1",NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0"
"Rourea induta",-1.10350586411895,-1.61373337583471,NA,NA,NA,-1.65948437081829,NA,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1",NA,NA,NA,NA,NA,"1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Typha latifolia",-1.67887000902252,-3.22317128826881,-4.55965000646592,-2.16355693554858,NA,-2.35263155137824,-10.0437936938233,"1","0","0","1","0","1","0","1","1","0",NA,NA,NA,"1","0","0","1","0","0","1","0","0","1","0","0","1","0","1","0","0",NA,NA,NA,"0","1"
