"","species","RS"
"138","Galium aparine","Monocliny: selfing"
"139","Gelsemium sempervirens","Monocliny: outcrossing"
"140","Gentiana saponaria","unknown"
"141","Geranium sanguineum","Monocliny: mixed"
"142","Gerbera jamesonii","Monocliny: outcrossing"
"143","Gesneria cuneifolia","Monocliny: mixed"
"144","Gomortega keule","Monocliny: mixed"
"145","Gonocaryum litorale","Dioecy"
"146","Gossypium hirsutum","Monocliny: mixed"
"147","Grewia occidentalis","Monocliny: outcrossing"
"148","Griselinia racemosa","Dioecy"
"149","Gyrocarpus americanus","unknown"
"150","Hamamelis virginiana","Monocliny: outcrossing"
"151","Hanguana malayana","Dioecy"
"152","Haumania danckelmaniana","Monocliny: outcrossing"
"153","Hedychium gardnerianum","Monocliny: selfing"
"154","Helianthus annuus","Monocliny: mixed"
"155","Heliconia irrasa","unknown"
"156","Herniaria glabra","Monocliny: selfing"
"157","Hevea brasiliensis","Monoecy"
"158","Hirtella physophora","Monocliny: outcrossing"
"159","Hordeum bulbosum","Monocliny: outcrossing"
"160","Hydnocarpus heterophyllus","Dioecy"
"161","Hydrastis canadensis","Monocliny: mixed"
"162","Hydrocotyle vulgaris","unknown"
"163","Hydrophyllum capitatum","Monocliny: outcrossing"
"164","Hypericum perforatum","Monocliny: selfing"
"165","Ilex opaca","Dioecy"
"166","Impatiens capensis","Monocliny: mixed"
"167","Ipomoea alba","Monocliny: selfing"
"168","Iris versicolor","Monocliny: mixed"
"169","Irvingbaileya australis","Dioecy"
"170","Juglans mandshurica","Monoecy"
"171","Jumellea fragrans","Monocliny: mixed"
"172","Juncus effusus","Monocliny: mixed"
"173","Kalanchoe daigremontiana","Monocliny: selfing"
"174","Kalmia latifolia","Monocliny: outcrossing"
"175","Kielmeyera regalis","Monocliny: outcrossing"
"176","Kirengeshoma palmata","Monocliny: outcrossing"
"177","Kirkia wilmsii","Dioecy"
"178","Lactoris fernandeziana","Monocliny: mixed"
"179","Lantana camara","Monocliny: selfing"
"180","Lapageria rosea","unknown"
"181","Larrea tridentata","Monocliny: mixed"
"182","Lemna minor","unknown"
"183","Lepidobotrys staudtii","Dioecy"
"184","Limnanthes douglasii","Monocliny: outcrossing"
"185","Linum perenne","Monocliny: outcrossing"
"186","Liparis loeselii","Monocliny: selfing"
"187","Liriodendron chinense","Monocliny: mixed"
"188","Loasa heterophylla","Monocliny: outcrossing"
"189","Lobelia angulata","unknown"
"190","Ludwigia adscendens","unknown"
"191","Lythrum salicaria","Monocliny: outcrossing"
"192","Malesherbia linearifolia","unknown"
"193","Malpighia emarginata","Monocliny: outcrossing"
"194","Manihot esculenta","Monoecy"
"195","Manilkara zapota","Monocliny: outcrossing"
"196","Mappia nimmoniana","unknown"
"197","Marathrum rubrum","Monocliny: selfing"
"198","Mayaca fluviatilis","Monocliny: selfing"
"199","Mazus pumilus","Monocliny: selfing"
"200","Medicago sativa","Monocliny: outcrossing"
"201","Melocactus curvispinus","unknown"
"202","Menispermum canadense","Dioecy"
"203","Menyanthes trifoliata","Monocliny: outcrossing"
"204","Miconia affinis","Monocliny: outcrossing"
"205","Mirabilis jalapa","Monocliny: selfing"
"206","Misodendrum linearifolium","Dioecy"
"207","Mollugo verticillata","unknown"
"208","Monotropa hypopitys","Monocliny: mixed"
"209","Montinia caryophyllacea","Dioecy"
"210","Moringa oleifera","Monocliny: mixed"
"211","Myriophyllum sibiricum","Monoecy"
"212","Myristica fragrans","Dioecy"
"213","Myrtus communis","Monocliny: mixed"
"214","Narthecium ossifragum","unknown"
"215","Nelumbo lutea","Monocliny: mixed"
"216","Nelumbo nucifera","Monocliny: outcrossing"
"217","Nemesia strumosa","Monocliny: outcrossing"
"218","Nepenthes macfarlanei","Dioecy"
"219","Nicotiana tabacum","unknown"
"220","Nolana humifusa","Monocliny: outcrossing"
"221","Nothofagus dombeyi","Monoecy"
"222","Nuphar advena","unknown"
"223","Nymphaea odorata","unknown"
"224","Nymphoides peltata","Monocliny: mixed"
"225","Nyssa ogeche","Dioecy"
"226","Ochroma pyramidale","Monocliny: outcrossing"
"227","Octoknema borealis","Dioecy"
"228","Octomeles sumatrana","Dioecy"
"229","Olea europaea","Monocliny: outcrossing"
"230","Oryza sativa","Monocliny: selfing"
"231","Ottelia acuminata","Dioecy"
"232","Oxalis corniculata","Monocliny: selfing"
"233","Paeonia californica","Monocliny: outcrossing"
"234","Panax quinquefolius","Monocliny: mixed"
"235","Pandanus tectorius","Dioecy"
"236","Pennantia corymbosa","Dioecy"
"237","Perrottetia ovata","Dioecy"
"238","Petrosavia sakuraii","Monocliny: selfing"
"239","Petunia axillaris","Monocliny: mixed"
"240","Peumus boldus","Dioecy"
"241","Phelline comosa","Dioecy"
"242","Phoenix dactylifera","Dioecy"
"243","Phormium tenax","Monocliny: outcrossing"
"244","Phragmites australis","Monocliny: outcrossing"
"245","Phryma leptostachya","unknown"
"246","Phyllanthus niruri","Monoecy"
"247","Physena madagascariensis","Dioecy"
"248","Picramnia polyantha","Dioecy"
"249","Pinguicula alpina","Monocliny: outcrossing"
"250","Piper amalago","Monocliny: outcrossing"
"251","Piper arboreum","Monoecy"
"252","Pitcairnia albiflos","Monocliny: mixed"
"253","Pittosporum dasycaulon","Monocliny: outcrossing"
"254","Plantago lanceolata","Monocliny: outcrossing"
"255","Platea latifolia","Dioecy"
"256","Plocosperma buxifolium","Dioecy"
"257","Plumbago auriculata","Monocliny: outcrossing"
"258","Podophyllum peltatum","Monocliny: outcrossing"
"259","Poeppigia procera","Monocliny: outcrossing"
"260","Polycarpon tetraphyllum","unknown"
"261","Polygala lewtonii","Monocliny: mixed"
"262","Pontederia crassipes","Monocliny: outcrossing"
"263","Populus alba","Dioecy"
"264","Portulaca oleracea","Monocliny: selfing"
"265","Posidonia australis","Monocliny: mixed"
"266","Posoqueria latifolia","Monocliny: outcrossing"
"267","Potamogeton berchtoldii","Monoecy"
"268","Primula sieboldii","Monocliny: outcrossing"
"269","Prionotes cerinthoides","unknown"
"270","Prunus persica","Monocliny: mixed"
"271","Putranjiva roxburghii","Dioecy"
"272","Qualea grandiflora","Monocliny: outcrossing"
"273","Quercus rubra","Monoecy"
"274","Quinchamalium chilense","unknown"
"275","Quintinia hyehenensis","Dioecy"
"276","Rafflesia keithii","Dioecy"
"277","Ranunculus acris","Monocliny: outcrossing"
"278","Ranunculus ficaria","Monocliny: outcrossing"
"279","Ravenala madagascariensis","Monocliny: mixed"
"280","Reseda lutea","Monocliny: outcrossing"
"281","Rhexia virginica","unknown"
"282","Rhizophora stylosa","Monocliny: mixed"
"283","Ribes aureum","Monocliny: outcrossing"
"284","Roridula dentata","Monocliny: selfing"
"285","Roridula gorgonias","Monocliny: selfing"
"286","Roupala montana","Monocliny: outcrossing"
"287","Rourea induta","Monocliny: outcrossing"
"288","Ruellia ciliatiflora","Monocliny: mixed"
"289","Ruta graveolens","unknown"
"290","Sagina procumbens","Monocliny: selfing"
"291","Sagittaria latifolia","unknown"
"292","Salpiglossis sinuata","Monocliny: outcrossing"
"293","Santalum spicatum","Monocliny: outcrossing"
"294","Sarracenia purpurea","Monocliny: outcrossing"
"295","Saxifraga cernua","Monocliny: outcrossing"
"296","Scaevola montana","Monocliny: outcrossing"
"297","Schinus molle","Dioecy"
"298","Schisandra chinensis","Monoecy"
"299","Schizanthus grahamii","Monocliny: mixed"
"300","Scleranthus annuus","Monocliny: selfing"
"301","Senecio vulgaris","unknown"
"302","Sesamum indicum","Monocliny: mixed"
"303","Sextonia rubra","Monocliny: outcrossing"
"304","Silene vulgaris","Monocliny: mixed"
"305","Simmondsia chinensis","Dioecy"
"306","Sinia rhodoleuca","unknown"
"307","Sinojackia xylocarpa","Monocliny: outcrossing"
"308","Solanum dulcamara","Monocliny: mixed"
"309","Souroubea guianensis","Monocliny: outcrossing"
"310","Spergularia marina","Monocliny: selfing"
"311","Spigelia marilandica","unknown"
"312","Spiranthes cernua","Monocliny: mixed"
"313","Spondias tuberosa","Monocliny: outcrossing"
"314","Staphylea trifolia","Monocliny: outcrossing"
"315","Stellaria media","Monocliny: selfing"
"316","Sterculia apetala","Monoecy"
"317","Stylidium graminifolium","Monocliny: outcrossing"
"318","Swietenia macrophylla","Monoecy"
"319","Syringa vulgaris","unknown"
"320","Tacca chantrieri","Monocliny: selfing"
"321","Tacca leontopetaloides","unknown"
"322","Talinum paniculatum","unknown"
"323","Tectona grandis","Monocliny: outcrossing"
"324","Ternstroemia crassifolia","unknown"
"325","Tetracentron sinense","Monocliny: mixed"
"326","Tetratheca aphylla","Monocliny: outcrossing"
"327","Tetroncium magellanicum","Dioecy"
"328","Thalictrum minus","unknown"
"329","Theobroma cacao","Monocliny: mixed"
"330","Thymelaea hirsuta","unknown"
"331","Titanotrichum oldhamii","Monocliny: mixed"
"332","Trachelium caeruleum","unknown"
"333","Tragopogon dubius","Monocliny: selfing"
"334","Tribulus terrestris","unknown"
"335","Trichilia emetica","Dioecy"
"336","Trillium erectum","Monocliny: mixed"
"337","Trithuria submersa","Monoecy"
"338","Trochocarpa laurina","Monocliny: outcrossing"
"339","Tropaeolum majus","unknown"
"340","Tropaeolum tricolor","unknown"
