"","Species richness","FDis","FMPD","FNND","FEve","FRic","FDiv","FOri","FSpe"
"monocliny",240,0.432,0.436,0.195,0.793,0.286,0.761,0.19,0.373
"monoecy",29,0.562,0.566,0.417,0.811,0.093,0.785,0.299,0.487
"dioecy",65,0.406,0.417,0.305,0.749,0.175,0.739,0.275,0.557
