"","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"Alstroemeria_aurea",-0.534158809126048,-0.191851995287345,1.04940823367059,0.0384931216028799,-0.221899011485162,1.16694034440302,0.354443161214395,"herbaceous","non-climbing","non-aquatic","bisexual","long","mixed","biotic","autonomous","short","inferior","nectar","zygomorphic","bright"
"Alyssum_simplex",-1.46456747637015,-0.191851995287345,-0.370129232592074,-0.570138569082411,0.410413406723782,-1.41949379753292,-0.55919034136209,"herbaceous","non-climbing","non-aquatic","bisexual","short","selfing","biotic","abiotic","long","superior","nectar","actinomorphic","bright"
"Amborella_trichopoda",0.834264483261393,0.776067347136558,-0.784439733353737,0.805278368522632,-2.55818949566563,-1.01370538838619,-0.124728819310252,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","abiotic_biotic","autonomous_biotic","long_short","superior","none_other","actinomorphic","bright"
"Amsonia_tabernaemontana",-0.616884749769426,-0.366300791570949,-0.108928490998748,-0.570138569082411,-2.55818949566563,0.331554491398817,0.790980235767252,"herbaceous","non-climbing","non-aquatic","bisexual","long","mixed","biotic","biotic","long","superior","nectar","actinomorphic","bright"
"Anarthria_polyphylla",-1.69896499362408,-0.855068640769968,-0.784439733353737,0.0384931216028799,0.410413406723782,-0.821049287316386,-0.487561397267816,"herbaceous","non-climbing","non-aquatic","dioecious","long","outcrossing","abiotic","abiotic","long","superior","none","actinomorphic","dull"
"Angelonia_pubescens",-0.574043271343317,-0.579808862748757,-0.172925939613101,-0.570138569082411,0.410413406723782,0.0678962427320051,-0.0203801364050619,"herbaceous","non-climbing","non-aquatic","bisexual","short","selfing","biotic","biotic","long","superior","other","zygomorphic","bright"
"Anigozanthos_humilis",-0.713457949063626,-0.191851995287345,1.56570565061162,0.0384931216028799,0.291669290628207,0.918563431425594,-0.69585361309568,"herbaceous","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","superior","nectar","zygomorphic","bright"
"Annona_crassiflora",0.75707059831113,0.64361752082525,-0.151509452882664,-0.0738472821897033,0.152144954215903,0.795014037175827,2.03473025526452,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","biotic","long","superior","other","actinomorphic","bright_dull"
"Antirrhinum_majus",-0.768556326379979,-0.579808862748757,0.954503346954879,-0.570138569082411,0.410413406723782,0.883318826525087,-1.12441596222058,"herbaceous","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","autonomous","short","superior","pollen","zygomorphic","bright"
"Apium_graveolens",-0.367851123969636,-0.366300791570949,-0.784439733353737,-0.570138569082411,0.410413406723782,-1.86052681158015,-0.820033069228012,"herbaceous","non-climbing","non-aquatic","bisexual","short","mixed","biotic","abiotic","long","inferior","nectar","actinomorphic","bright"
"Aquilegia_canadensis",-0.740350956499728,1.62334914487692,1.79622525745921,0.805278368522632,-2.55818949566563,0.725907330355786,-0.461353990604168,"herbaceous","non-climbing","non-aquatic","bisexual","long","mixed","biotic","autonomous","short","superior","nectar_pollen","actinomorphic","bright"
"Arabidopsis_thaliana",-1.375453676164,-0.191851995287345,1.61083830463997,-0.570138569082411,0.410413406723782,-1.41949379753292,-1.64808863171875,"herbaceous","non-climbing","non-aquatic","bisexual","short","selfing","autonomous_biotic","abiotic_autonomous","long_short","superior","nectar","actinomorphic_other","bright"
"Aralidium_pinnatifidum",0.96326274568481,-0.366300791570949,-1.1987502341154,0.0384931216028799,0.410413406723782,-1.41949379753292,0.875838607355347,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","biotic","long","inferior","nectar","actinomorphic","bright"
"Arctostaphylos_uva-ursi",-1.67075962374383,0.296915853911674,-0.784439733353737,0.805278368522632,0.410413406723782,-1.61214989860273,0.347878593360815,"woody","non-climbing","non-aquatic","bisexual","long","mixed","autonomous_biotic","biotic","long","superior","nectar","actinomorphic","bright"
"Arum_maculatum",-1.00876389664345,-0.707574285110451,-0.370129232592074,-1.61060131658324,-0.495010478504988,-1.86052681158015,0.846221255497522,"herbaceous","non-climbing","non-aquatic","monoecious","long","mixed","biotic","biotic","long","superior","none","actinomorphic","dull"
"Asparagus_officinalis",-0.0443398065095567,-0.191851995287345,-0.121475355936672,0.0384931216028799,0.410413406723782,-0.821049287316386,0.400003750829762,"herbaceous","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","biotic","long","superior","nectar_pollen","actinomorphic","bright_dull"
"Astelia_alpina",-1.06386227395981,-0.191851995287345,0.700847875531827,0.0384931216028799,0.410413406723782,-1.01370538838619,-0.463884459066725,"herbaceous","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","biotic","long","superior","nectar","actinomorphic","dull"
"Audouinia_capitata",-0.897554588803396,-0.366300791570949,-0.370129232592074,0.0384931216028799,0.371821568992721,-0.222604777099855,0.17305661959121,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","intermediate","nectar","actinomorphic","bright"
"Avicennia_marina",0.447833966810347,-0.579808862748757,-0.370129232592074,-0.570138569082411,0.410413406723782,-0.670862711360129,1.87184807464978,"woody","non-climbing","non-aquatic","bisexual","long","mixed","biotic","abiotic","long","superior","nectar","actinomorphic","bright"
"Azima_tetracantha",-0.428759554295533,-0.579808862748757,-0.784439733353737,-0.570138569082411,0.410413406723782,0.858996854018345,0.532704722596073,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","biotic","long","superior","nectar","actinomorphic","bright_dull"
"Bagassa_guianensis",1.7273637277725,-1.24302550823138,-0.376280269839983,-0.377335642218787,0.000746206194043379,-2.21059440881926,0.664728136360425,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","abiotic_biotic","biotic","long","superior","none","actinomorphic","dull"
"Balanophora_laxiflora",-0.428189963467351,-0.366300791570949,-0.354784808201197,-0.1182547410601,0.410413406723783,0.127462820139255,-0.177668237251311,"herbaceous","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","abiotic","long","inferior","nectar","zygomorphic","bright"
"Balanops_pancheri",0.43355928085105,-0.366300791570949,-0.370129232592074,-0.570138569082411,0.410413406723782,-1.16699165971387,0.780553351554035,"woody","non-climbing","non-aquatic","dioecious","long","outcrossing","abiotic","biotic","long","superior","none","actinomorphic","dull"
"Bdallophytum_americanum",-1.4094690990538,0.196104872174067,-0.105421586423064,1.76874626773781,-0.643440623624458,-0.357855435625835,0.122010968973335,"herbaceous","non-climbing","non-aquatic","dioecious","long","outcrossing","biotic","biotic","long_short","inferior","nectar","actinomorphic","bright"
"Begonia_heracleifolia",-0.462871536491572,1.0728295888345,0.982431160250013,0.0384931216028799,-0.165495556339763,-0.0651932809305539,-1.94668386466132,"herbaceous","non-climbing","non-aquatic","monoecious","long_short","mixed","biotic","autonomous","short","inferior","nectar_pollen","zygomorphic","bright"
