"","NTaxDat","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non-climbing","Aquatic_aquatic","Aquatic_non-aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_abiotic","Dispersal_autonomous","Dispersal_biotic","FlowerSex_bisexual","FlowerSex_unisexual","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"32","Aquilegia canadensis",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"33","Arabidopsis thaliana",1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0
"34","Aralidium pinnatifidum",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"35","Arctostaphylos uva-ursi",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"36","Arum maculatum",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,NA,NA,NA,0,1
"37","Asparagus officinalis",1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1
"38","Astelia alpina",1,0,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,1,NA,NA,NA,NA,1,0,0,0,1
"39","Audouinia capitata",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"40","Avicennia marina",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"41","Azima tetracantha",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,1
"42","Bagassa guianensis",0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA
"43","Balanophora laxiflora",1,0,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,0,0,1,NA,NA
"44","Balanops pancheri",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Bdallophytum americanum",1,0,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"46","Begonia heracleifolia",1,0,0,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"47","Bergeranthus multiceps",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,1,0,0,1,1,0,0,1,0
"48","Berteroa incana",1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"49","Bertholletia excelsa",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
"50","Beta vulgaris",1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
"51","Bixa orellana",0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0
"52","Borago officinalis",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"53","Brasenia schreberi",1,0,0,1,1,1,0,1,1,0,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0,0,1,0,1,0,0,1,0,0,1,1
"54","Bretschneidera sinensis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
"55","Bruguiera gymnorhiza",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1
"56","Buddleja davidii",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"57","Bursera simaruba",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1
"58","Butomus umbellatus",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"59","Buxus balearica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,1,0,1,1,0,1,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA
"60","Byrsonima crassifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0
"61","Cabomba caroliniana",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"62","Calceolaria purpurea",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,0,0,1,0,0,0,1,1,0
"63","Camellia sinensis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"64","Canacomyrica monticola",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA
"65","Canna indica",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
"66","Cannabis sativa",1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
"67","Capparis zeylanica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"68","Cardiocrinum cordatum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,NA,NA,NA,1,0,0,0,NA,NA,NA,1,1
"69","Carex laxiflora",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,NA,NA,NA,0,1,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA
"70","Carica papaya",0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0
"71","Caryocar brasiliense",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0
"72","Catalpa speciosa",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
"73","Catharanthus roseus",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,1,1,0,NA,NA,NA,1,0,0,0,1,0,0,1,0
"74","Caulophyllum thalictroides",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"75","Centroplacus glaucinus",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"76","Ceratophyllum demersum",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,NA,NA,NA,0,1,0,1,NA,NA,NA,0,1
"77","Cercidiphyllum japonicum",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,0,0,1,NA,NA
"78","Chimaphila umbellata",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"79","Chimonanthus praecox",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"80","Chloranthus spicatus",0,1,0,1,0,1,0,1,NA,NA,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA
"81","Chorispora tenella",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"82","Cinnamomum camphora",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"83","Clarkia xantiana",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,1,0,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"84","Claytonia virginica",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"85","Clethra alnifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"86","Clutia pulchella",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"87","Cobaea scandens",0,1,1,0,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"88","Cochlospermum vitifolium",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0
"89","Coffea arabica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0
"90","Combretum leprosum",0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0
"91","Commelina communis",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"92","Cordyline australis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"93","Coriaria myrtifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1
"94","Coriaria ruscifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1
"95","Cornus florida",0,1,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,1
"96","Corokia cotoneaster",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0
"97","Corrigiola litoralis",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,1,1,0,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0
"98","Costus woodsonii",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,1,0,0,1,0,0,1,NA,NA,NA,1,0
"99","Cucurbita pepo",1,0,1,0,0,1,0,1,0,1,NA,NA,NA,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
"100","Cupaniopsis anacardioides",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1
"101","Curculigo latifolia",1,1,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0
"102","Cuscuta cuspidata",1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,NA,NA,NA,1,0,0,0,1,0,1,0,0,1,0,0,1,0
"103","Cuttsia viburnea",0,1,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"104","Cyclanthus bipartitus",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,0,1,NA,NA,NA,0,0,0,1,NA,NA,NA,1,0
"105","Cymodocea nodosa",1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,NA,NA,NA,0,1,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA
"106","Cypripedium calceolus",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1
"107","Cyrilla racemiflora",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"108","Dalechampia spathulata",0,1,0,1,0,1,0,1,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,NA,NA,NA,0,0,1,0,0,0,1,1,0
"109","Dalzellia ceylanica",1,0,0,1,1,1,0,1,NA,NA,0,0,1,0,1,0,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,0,0,1,1
"110","Daphniphyllum macropodum",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1,0,0,1,0,1,0,0,1,0,0,0,1
"111","Datisca glomerata",1,0,0,1,0,1,1,0,1,0,NA,NA,NA,1,0,0,NA,NA,NA,1,1,1,0,0,0,1,0,0,NA,NA,NA,0,1
"112","Davidsonia jerseyana",0,1,0,1,0,1,0,1,1,0,0,0,1,NA,NA,NA,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"113","Davilla kunthii",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,1,0,1,0,0,0,1,1,0,0,1,0
"114","Denhamia celastroides",0,1,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"115","Diapensia lapponica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"116","Diospyros australis",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,0
"117","Dipterocarpus tempehes",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Discaria americana",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,1,0,1,0,1,1,NA,NA,NA,1,0
"119","Drosophyllum lusitanicum",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"120","Dryas octopetala",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"121","Durio zibethinus",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"122","Eichhornia crassipes",1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"123","Eriocaulon parkeri",1,0,0,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,0
"124","Eriogonum arborescens",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"125","Erythroxylum laurifolium",0,1,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,0,0,1,1,0,0,0,1,1,0,1,0,NA,NA,NA,1,0
"126","Eschscholzia californica",1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
"127","Eupomatia bennettii",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0
"128","Eupomatia laurina",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,0,0,1,0,NA,NA,NA,1,0
"129","Fagus grandifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1
"130","Ficaria verna",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"131","Filipendula vulgaris",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0
"132","Floerkea proserpinacoides",1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"133","Fumana ericoides",0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"134","Galium aparine",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"135","Gelsemium sempervirens",1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,0,0,1,0,1,0,0,1,0
"136","Gentiana saponaria",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"137","Geranium sanguineum",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"138","Gomortega keule",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,1
"139","Gonocaryum litorale",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"140","Gossypium hirsutum",0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"141","Grewia occidentalis",0,1,0,1,0,1,0,1,NA,NA,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"142","Griselinia racemosa",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,1,0,0,NA,NA
"143","Gyrocarpus americanus",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1
"144","Hamamelis virginiana",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0
"145","Hanguana malayana",1,0,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"146","Hedychium gardnerianum",1,0,0,1,0,1,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"147","Helianthus annuus",1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0
"148","Heliconia irrasa",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,1,0,0,1,0,0,0,NA,NA,NA,1,0
"149","Herniaria glabra",1,0,0,1,0,1,0,1,1,1,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,NA,NA
"150","Hevea brasiliensis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,NA,NA,NA,NA,1,0,0,NA,NA
"151","Hirtella physophora",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,1,0,0,1,0,0,1,1,0
"152","Hordeum bulbosum",1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,NA,NA,NA,0,1
"153","Hydnocarpus heterophylla",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Hydrastis canadensis",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"155","Hydrocotyle vulgaris",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,1,0,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"156","Hydrophyllum capitatum",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,1,1,0,0,1,0
