"","sp_richn","fdis","fric","fdiv","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4"
"monocots",52,0.545866226321202,0.302996592349474,0.818385914025711,0.459980749685279,0.05523379556813,-0.0722278259490921,-0.0555586028824768,-0.00210923759117554
"mag",14,0.377472303668429,0.0130253088343103,0.759338198092453,0.389857469386881,-0.0828869540860116,0.0964248613963547,0.0517035748087056,0.0376028213146384
"dicots",254,0.523278382607447,0.852740298674687,0.797196205313519,0.405853245147011,-0.00744524928890533,0.0113774664482829,0.00696640306702857,-0.00233910905260576
"other",8,0.417234028252296,0.00413063947707934,0.712032025478125,0.345004562682254,0.0224191633804187,-0.0604971985075049,0.0494663654427072,0.0221718194622572
