"","family","order","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","groups_pam","groups_pam_one_hot","groups_kpro","groups_kpro_one_hot"
"Veronica anagallis-aquatica","Plantaginaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","abiotic_biotic","abiotic","long","bisexual","superior","none","zygomorphic","bright",0.55,2,NA,2,NA,0.625,0.06,5,4,4,NA
"Viburnum rufidulum","Adoxaceae","Dipsacales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","pollen","actinomorphic","bright",6,5,NA,NA,NA,0.63,81.11,4,2,1,1
"Viola pubescens","Violaceae","Malpighiales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","autonomous_biotic","autonomous_biotic","short","bisexual","superior",NA,"zygomorphic","bright",0.275,5,9,3,1,2.6,1.98,5,4,3,5
"Vitex negundo","Lamiaceae","Lamiales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"nectar","zygomorphic","bright",1.5,4,2,2,NA,0.55,22.2,6,2,1,1
"Vitis labrusca","Vitaceae","Vitales","woody","climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","superior",NA,"actinomorphic","dull",16,5,NA,NA,NA,0.2,54.65,NA,2,1,14
"Viviania marifolia","Francoaceae","Geraniales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_biotic","long","bisexual","superior","nectar","actinomorphic","bright",4,10,2,3,1,0.7,1.56,3,1,NA,19
"Vriesea carinata","Bromeliaceae","Poales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior",NA,"actinomorphic_zygomorphic","bright",0.3,6,NA,3,NA,4,0.24,3,4,7,3
"Warburgia ugandensis","Canellaceae","Canellales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright_dull",23.5,10,5.5,5,1,2,5780,NA,2,6,1
"Wurmbea biglandulosa","Colchicaceae","Liliales","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","autonomous","short","bisexual_unisexual","superior","nectar","actinomorphic","bright",0.1675,6,21.5,3,NA,1.6375,0.87,3,1,3,4
"Xanthosoma sagittifolium","Araceae","Alismatales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous_biotic","long_short","unisexual","superior","other",NA,"bright",2,5,35,4.25,1,NA,NA,3,1,7,5
"Ximenia americana","Ximeniaceae","Santalales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_biotic","long","bisexual","superior",NA,"actinomorphic","bright_dull",5,7.33333333333333,1,4,NA,1.2,866.86,NA,2,1,1
"Zea mays","Poaceae","Poales","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing","abiotic","biotic","long","unisexual","superior","none",NA,"dull",3.25,3,1,1,NA,0.745,305.7,NA,NA,NA,6
"Zelkova serrata","Ulmaceae","Rosales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","abiotic","long","bisexual_unisexual","superior","none",NA,"dull",30,7,1,2,NA,0.9,19.1,NA,NA,2,7
"Zostera marina","Zosteraceae","Alismatales","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","abiotic","abiotic","long","unisexual",NA,"none",NA,"dull",0.7,1,1,2,NA,0.6,3.55,NA,NA,NA,7
