"","family","order","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","groups_pam","groups_pam_one_hot","groups_kpro","groups_kpro_one_hot"
"Portulaca oleracea","Portulacaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","long","bisexual","intermediate",NA,"actinomorphic","bright",0.3,9.5,60,4.5,1,0.75,0.14,2,1,5,3
"Posidonia australis","Posidoniaceae","Alismatales","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","abiotic","abiotic","long","bisexual","superior","none",NA,"dull",0.3,3,1,1,NA,NA,NA,NA,NA,NA,NA
"Posoqueria latifolia","Rubiaceae","Gentianales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","zygomorphic","bright",14,5,NA,2,1,NA,26.63,6,2,1,1
"Potamogeton berchtoldii","Potamogetonaceae","Alismatales","herbaceous","non-climbing","aquatic","monomorphic","long_short",NA,"abiotic","abiotic","long","unisexual",NA,"none",NA,"dull",NA,4,1,4,0,NA,1.11,NA,NA,NA,7
"Primula sieboldii","Primulaceae","Ericales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",0.185,5,13,5,1,1.5,0.24,3,1,3,4
"Prionotes cerinthoides","Ericaceae","Ericales","herbaceous","climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior","nectar","actinomorphic","bright",1,5,NA,5,1,2.225,NA,3,1,3,15
"Prunus persica","Rosaceae","Rosales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",7,46,2,1,NA,1.3,2792.31,6,2,1,1
"Putranjiva roxburghii","Putranjivaceae","Malpighiales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic",NA,NA,"unisexual","superior","none","actinomorphic","bright_dull",12,3.16666666666667,2,3,1,0.625,568.18,1,3,2,8
"Qualea grandiflora","Vochysiaceae","Myrtales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior",NA,"zygomorphic","bright",12,1,56,3,1,2,NA,4,2,NA,NA
"Quercus rubra","Fagaceae","Fagales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","unisexual","inferior","none","actinomorphic","dull",30,6,2,3,NA,NA,3143.26,1,3,2,6
"Quinchamalium chilense","Schoepfiaceae","Santalales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","inferior","nectar","actinomorphic","bright",0.2125,5,1,1,NA,1.2025,2.63,2,1,NA,10
"Quintinia hyehenensis","Paracryphiaceae","Paracryphiales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","inferior",NA,NA,"bright",6.25,5,NA,4.5,NA,0.5,NA,1,3,2,2
