"","Species richness","FDis","FMPD","FNND","FEve","FRic","FDiv","FOri","FSpe"
"Cluster 1",136,0.316,0.315,0.166,0.806,0.174,0.757,0.155,0.337
"Cluster 2",74,0.327,0.334,0.234,0.765,0.215,0.74,0.223,0.522
"Cluster 3",96,0.254,0.265,0.168,0.756,0.13,0.676,0.146,0.294
