"","Species","Cluster"
"184","Lepidobotrys_staudtii","2"
"185","Limnanthes_douglasii","1"
"186","Linum_perenne","1"
"187","Liparis_loeselii","1"
"188","Liriodendron_chinense","3"
"189","Loasa_heterophylla","1"
"190","Lobelia_angulata","1"
"191","Ludwigia_adscendens","1"
"192","Lythrum_salicaria","1"
"193","Malesherbia_linearifolia","1"
"194","Malpighia_emarginata","3"
"195","Manihot_esculenta","1"
"196","Manilkara_zapota","3"
"197","Marathrum_rubrum","1"
"198","Mayaca_fluviatilis","1"
"199","Mazus_pumilus","1"
"200","Medicago_sativa","1"
"201","Melocactus_curvispinus","1"
"202","Menispermum_canadense","2"
"203","Menyanthes_trifoliata","1"
"204","Miconia_affinis","3"
"205","Mirabilis_jalapa","1"
"206","Misodendrum_linearifolium","2"
"207","Mollugo_verticillata","1"
"208","Monotropa_hypopitys","1"
"209","Montinia_caryophyllacea","2"
"210","Moringa_oleifera","3"
"211","Myriophyllum_sibiricum","1"
"212","Myristica_fragrans","2"
"213","Myrtus_communis","3"
"214","Narthecium_ossifragum","1"
"215","Nelumbo_lutea","1"
"216","Nelumbo_nucifera","1"
"217","Nemesia_strumosa","1"
"218","Nepenthes_macfarlanei","2"
"219","Nicotiana_tabacum","1"
"220","Nolana_humifusa","1"
"221","Nothapodytes_nimmoniana","2"
"222","Nothofagus_dombeyi","2"
"223","Nuphar_advena","1"
"224","Nymphaea_odorata","1"
"225","Nymphoides_peltata","1"
"226","Nyssa_ogeche","2"
"227","Ochroma_pyramidale","3"
"228","Octoknema_borealis","2"
"229","Octomeles_sumatrana","2"
"230","Olea_europaea","2"
"231","Oryza_sativa","1"
"232","Ottelia_acuminata","2"
"233","Oxalis_corniculata","1"
"234","Paeonia_californica","1"
"235","Panax_quinquefolius","1"
"236","Pandanus_tectorius","2"
"237","Pennantia_corymbosa","2"
"238","Peritoma_arborea","3"
"239","Perrottetia_ovata","2"
"240","Petrosavia_sakuraii","1"
"241","Petunia_axillaris","1"
"242","Peumus_boldus","2"
"243","Phelline_comosa","2"
"244","Phoenix_dactylifera","2"
"245","Phormium_tenax","3"
"246","Phragmites_australis","1"
"247","Phryma_leptostachya","1"
"248","Phyllanthus_niruri","1"
"249","Physena_madagascariensis","2"
"250","Picramnia_polyantha","2"
"251","Pinguicula_alpina","1"
"252","Piper_amalago","3"
"253","Piper_arboreum","2"
"254","Pitcairnia_albiflos","1"
"255","Pittosporum_dasycaulon","3"
"256","Plantago_lanceolata","2"
"257","Platea_latifolia","2"
"258","Plocosperma_buxifolium","2"
"259","Plumbago_auriculata","3"
"260","Podophyllum_peltatum","1"
"261","Poeppigia_procera","3"
"262","Polycarpon_tetraphyllum","1"
"263","Polygala_lewtonii","1"
"264","Populus_alba","2"
"265","Portulaca_oleracea","1"
"266","Posidonia_australis","1"
"267","Posoqueria_latifolia","3"
"268","Potamogeton_berchtoldii","2"
"269","Primula_sieboldii","1"
"270","Prionotes_cerinthoides","1"
"271","Prunus_persica","3"
"272","Putranjiva_roxburghii","2"
"273","Qualea_grandiflora","3"
"274","Quercus_rubra","2"
"275","Quinchamalium_chilense","1"
"276","Quintinia_hyehenensis","2"
"277","Rafflesia_keithii","2"
"278","Ranunculus_acris","1"
"279","Ravenala_madagascariensis","3"
"280","Reseda_lutea","3"
"281","Rhexia_virginica","1"
"282","Rhizophora_stylosa","3"
"283","Ribes_aureum","3"
"284","Roridula_dentata","3"
"285","Roridula_gorgonias","1"
"286","Roupala_montana","3"
"287","Rourea_induta","3"
"288","Ruellia_ciliatiflora","1"
"289","Ruta_graveolens","3"
"290","Sagina_procumbens","1"
"291","Sagittaria_latifolia","1"
"292","Salpiglossis_sinuata","1"
"293","Santalum_spicatum","3"
"294","Sarracenia_purpurea","1"
"295","Sauvagesia_rhodoleuca","3"
"296","Saxifraga_cernua","1"
"297","Scaevola_montana","3"
"298","Schinus_molle","2"
"299","Schisandra_chinensis","1"
"300","Schizanthus_grahamii","1"
"301","Scleranthus_annuus","1"
"302","Senecio_vulgaris","1"
"303","Sesamum_indicum","1"
"304","Sextonia_rubra","3"
"305","Silene_vulgaris","1"
"306","Simmondsia_chinensis","2"
"307","Sinojackia_xylocarpa","3"
"308","Solanum_dulcamara","1"
"309","Souroubea_guianensis","3"
"310","Spergularia_marina","1"
"311","Spigelia_marilandica","1"
"312","Spiranthes_cernua","1"
"313","Spondias_tuberosa","3"
"314","Staphylea_trifolia","3"
"315","Stellaria_media","1"
"316","Sterculia_apetala","3"
"317","Stylidium_graminifolium","3"
"318","Swietenia_macrophylla","3"
"319","Syringa_vulgaris","3"
"320","Tacca_chantrieri","1"
"321","Tacca_leontopetaloides","1"
"322","Talinum_paniculatum","1"
"323","Tectona_grandis","3"
"324","Tetracentron_sinense","3"
"325","Tetratheca_aphylla","3"
"326","Tetroncium_magellanicum","2"
"327","Thalictrum_minus","1"
"328","Theobroma_cacao","3"
"329","Thymelaea_hirsuta","2"
"330","Titanotrichum_oldhamii","1"
"331","Trachelium_caeruleum","1"
"332","Tragopogon_dubius","1"
"333","Tribulus_terrestris","1"
"334","Trichilia_emetica","2"
"335","Trillium_erectum","1"
"336","Trithuria_submersa","1"
"337","Trochocarpa_laurina","3"
"338","Tropaeolum_majus","1"
"339","Tropaeolum_tricolor","1"
"340","Turnera_ulmifolia","1"
"341","Typha_latifolia","2"
"342","Urtica_dioica","2"
"343","Vaccinium_uliginosum","3"
"344","Valeriana_officinalis","1"
"345","Vellozia_squamata","3"
"346","Verbascum_thapsus","1"
"347","Veronica_anagallis-aquatica","1"
"348","Viburnum_rufidulum","3"
"349","Viola_pubescens","1"
"350","Vitex_negundo","3"
"351","Vitis_labrusca","3"
"352","Viviania_marifolia","1"
"353","Vriesea_carinata","1"
"354","Warburgia_ugandensis","3"
"355","Wurmbea_biglandulosa","1"
"356","Xanthosoma_sagittifolium","1"
"357","Ximenia_americana","3"
"358","Zea_mays","2"
"359","Zelkova_serrata","2"
"360","Zostera_marina","1"
