"","NTaxDat","new_state.x","Climbing","SexualSystem","Lifespan","Mating","Pollination","Dispersal","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"45","Balanops pancheri","woody","non-climbing","dimorphic","long","outcrossing","abiotic","biotic","unisexual",NA,"none",NA,NA
"46","Bdallophytum americanum","herbaceous","non-climbing","dimorphic",NA,"outcrossing",NA,"biotic","unisexual","inferior","nectar","actinomorphic","bright"
"47","Begonia heracleifolia","herbaceous","non-climbing","monomorphic","long_short",NA,NA,"autonomous","bisexual","inferior",NA,"zygomorphic","bright"
"48","Bergeranthus multiceps","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual",NA,"nectar_pollen","actinomorphic","bright"
"49","Berteroa incana","herbaceous","non-climbing","monomorphic","long_short","outcrossing","biotic","abiotic","bisexual","superior","nectar","actinomorphic","bright"
"50","Bertholletia excelsa","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","inferior","nectar_pollen","zygomorphic","bright"
"51","Beta vulgaris","herbaceous","non-climbing","dimorphic_monomorphic","long_short","outcrossing","abiotic","abiotic_autonomous","bisexual","intermediate","none","actinomorphic","dull"
"52","Bixa orellana","woody","non-climbing","monomorphic","long","mixed_outcrossing","biotic","biotic","bisexual","superior","pollen","actinomorphic","bright"
"53","Borago officinalis","herbaceous","non-climbing","monomorphic","short",NA,"biotic","biotic","bisexual","superior","nectar","actinomorphic","bright"
"54","Brasenia schreberi","herbaceous","non-climbing","monomorphic","long",NA,"abiotic","abiotic","bisexual","superior","none","actinomorphic","bright_dull"
"55","Bretschneidera sinensis","woody","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual","superior","nectar","zygomorphic","bright"
"56","Bruguiera gymnorhiza","woody","non-climbing","monomorphic","long","mixed","biotic","abiotic","bisexual","inferior","nectar","actinomorphic","bright_dull"
"57","Buddleja davidii","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","nectar","actinomorphic","bright"
"58","Bursera simaruba","woody","non-climbing","dimorphic_monomorphic","long","outcrossing","biotic","biotic","bisexual_unisexual",NA,"nectar","actinomorphic","dull"
"59","Butomus umbellatus","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","abiotic_autonomous_biotic","bisexual","superior","nectar","actinomorphic","bright"
"60","Buxus balearica","woody","non-climbing","monomorphic","long",NA,"abiotic_biotic","autonomous_biotic","unisexual",NA,"nectar_none",NA,NA
"61","Byrsonima crassifolia","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","superior","other","zygomorphic","bright"
"62","Cabomba caroliniana","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior","nectar_pollen","actinomorphic","bright"
"63","Calceolaria purpurea","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual",NA,"other","zygomorphic","bright"
"64","Camellia sinensis","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior",NA,"actinomorphic","bright"
"65","Canacomyrica monticola","woody","non-climbing","dimorphic","long","outcrossing","abiotic","biotic","unisexual","inferior","none",NA,NA
"66","Canna indica","herbaceous","non-climbing","monomorphic","long","selfing","biotic","autonomous","bisexual","inferior","nectar","other","bright"
"67","Cannabis sativa","herbaceous","non-climbing","dimorphic_monomorphic","short","outcrossing","abiotic","autonomous_biotic","unisexual","superior","none","actinomorphic","bright_dull"
"68","Capparis zeylanica","woody","non-climbing","monomorphic","long",NA,NA,"biotic","bisexual",NA,NA,"actinomorphic","bright"
"69","Cardiocrinum cordatum","herbaceous","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual",NA,"nectar","zygomorphic","bright_dull"
"70","Carex laxiflora","herbaceous","non-climbing","monomorphic","long",NA,"abiotic",NA,"unisexual","superior","none",NA,"dull"
"71","Carica papaya","woody","non-climbing","dimorphic","long","outcrossing_selfing","autonomous_biotic","biotic","unisexual","superior","nectar_none_pollen","actinomorphic","bright"
"72","Caryocar brasiliense","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","intermediate","nectar","actinomorphic","bright"
"73","Catalpa speciosa","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","nectar","zygomorphic","bright"
"74","Catharanthus roseus","woody","non-climbing","monomorphic","long",NA,"biotic","autonomous_biotic","bisexual",NA,"nectar","actinomorphic","bright"
"75","Caulophyllum thalictroides","herbaceous","non-climbing","monomorphic","long","mixed","biotic","biotic","bisexual","superior",NA,"actinomorphic","bright"
"76","Centroplacus glaucinus","woody","non-climbing","dimorphic","long","outcrossing",NA,NA,"unisexual",NA,NA,"actinomorphic","bright"
"77","Ceratophyllum demersum","herbaceous","non-climbing","monomorphic","long","mixed","abiotic","biotic","unisexual",NA,"none_pollen",NA,"dull"
"78","Cercidiphyllum japonicum","woody","non-climbing","dimorphic","long","outcrossing","abiotic","abiotic","unisexual","superior","none",NA,"dull"
"79","Chimaphila umbellata","woody","non-climbing","monomorphic","long",NA,"biotic","autonomous","bisexual","superior","nectar_pollen","actinomorphic","bright"
"80","Chimonanthus praecox","woody","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual","superior","nectar_pollen","actinomorphic","bright"
"81","Chloranthus spicatus","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual",NA,"other",NA,"dull"
"82","Chorispora tenella","herbaceous","non-climbing","monomorphic","short","selfing","biotic","abiotic","bisexual","superior",NA,"actinomorphic","bright"
"83","Cinnamomum camphora","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","superior",NA,"actinomorphic","bright_dull"
"84","Cirsium pitcheri","herbaceous","non-climbing",NA,"long_short",NA,"biotic","abiotic",NA,"inferior",NA,"zygomorphic","bright"
"85","Clarkia xantiana","herbaceous","non-climbing","monomorphic","short",NA,"biotic","autonomous","bisexual","inferior",NA,"zygomorphic","bright"
"86","Claytonia virginica","herbaceous","non-climbing","monomorphic","long",NA,"biotic","autonomous_biotic","bisexual","superior","nectar","actinomorphic","bright"
"87","Cleistesiopsis bifaria","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual","inferior","pollen","zygomorphic","bright_dull"
"88","Clethra alnifolia","woody","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","superior",NA,"actinomorphic","bright"
"89","Clutia pulchella","woody","non-climbing","dimorphic","long","outcrossing",NA,"autonomous_biotic","unisexual",NA,NA,"actinomorphic","bright"
"90","Cobaea scandens","woody","climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","nectar","actinomorphic","bright"
"91","Cochlospermum vitifolium","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","pollen","actinomorphic","bright"
"92","Coffea arabica","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","inferior","nectar_pollen","actinomorphic","bright"
"93","Combretum leprosum","woody","climbing_non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","inferior","nectar_other","actinomorphic","bright"
"94","Commelina communis","herbaceous","non-climbing","monomorphic","short",NA,"biotic","autonomous","bisexual_unisexual","superior","pollen","zygomorphic","bright"
"95","Cordyline australis","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior",NA,"actinomorphic","bright"
"96","Coriaria myrtifolia","woody","non-climbing","monomorphic","long",NA,"abiotic","biotic","bisexual_unisexual","superior","none","actinomorphic","dull"
"97","Coriaria ruscifolia","woody","non-climbing","monomorphic","long",NA,"abiotic","abiotic","bisexual","superior","none","actinomorphic","bright_dull"
"98","Cornus florida","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","inferior",NA,"actinomorphic","bright_dull"
"99","Corokia cotoneaster","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","inferior","nectar_other","actinomorphic","bright"
"100","Corrigiola litoralis","herbaceous","non-climbing","monomorphic","short",NA,"biotic","abiotic_autonomous","bisexual","intermediate",NA,"actinomorphic","bright"
"101","Costus woodsonii","herbaceous","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","inferior","nectar_pollen","zygomorphic","bright"
"102","Cucurbita pepo","herbaceous","climbing","monomorphic","short",NA,"biotic","abiotic","unisexual","inferior","nectar","actinomorphic","bright"
"103","Cupaniopsis anacardioides","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","unisexual","superior","nectar_pollen","other","bright_dull"
