"","NTaxDat","new_state.x","Climbing","SexualSystem","Lifespan","Mating","Pollination","Dispersal","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"194","Malesherbia linearifolia","herbaceous","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual","superior",NA,"actinomorphic","bright"
"195","Malpighia emarginata","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","superior","other","zygomorphic","bright"
"196","Manihot esculenta","herbaceous","non-climbing","monomorphic","long",NA,"biotic","biotic","unisexual","superior",NA,"actinomorphic","bright"
"197","Manilkara zapota","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior",NA,"actinomorphic","bright"
"198","Marathrum rubrum","herbaceous","non-climbing","monomorphic","short",NA,"abiotic","abiotic","bisexual","superior","none","actinomorphic","bright_dull"
"199","Mayaca fluviatilis","herbaceous","non-climbing","monomorphic","long","selfing","autonomous","abiotic","bisexual","superior",NA,"actinomorphic","bright"
"200","Mazus pumilus","herbaceous","non-climbing","monomorphic","short","selfing","biotic","abiotic","bisexual","superior","pollen","zygomorphic","bright"
"201","Medicago sativa","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual","superior","nectar_pollen","zygomorphic","bright"
"202","Melocactus curvispinus","herbaceous","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","inferior","nectar","actinomorphic","bright"
"203","Menispermum canadense","herbaceous_woody","climbing","dimorphic","long","outcrossing","biotic","biotic","unisexual","superior",NA,"actinomorphic",NA
"204","Menyanthes trifoliata","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","nectar","actinomorphic","bright"
"205","Miconia affinis","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","intermediate",NA,"actinomorphic","bright"
"206","Mirabilis jalapa","herbaceous","non-climbing","monomorphic","long_short","selfing","biotic","autonomous","bisexual","superior","nectar","actinomorphic","bright_dull"
"207","Misodendrum linearifolium","woody","non-climbing","dimorphic",NA,"outcrossing",NA,"abiotic","unisexual","inferior",NA,"actinomorphic","dull"
"208","Mollugo verticillata","herbaceous","non-climbing","monomorphic","short",NA,"biotic","autonomous","bisexual","superior","nectar_pollen","actinomorphic","bright"
"209","Monotropa hypopitys","herbaceous","non-climbing","monomorphic","long","mixed","biotic","autonomous","bisexual","superior","nectar","actinomorphic","bright"
"210","Montinia caryophyllacea","woody","non-climbing","dimorphic",NA,"outcrossing",NA,"autonomous","unisexual","inferior",NA,"actinomorphic",NA
"211","Moringa oleifera","woody","non-climbing","monomorphic","long",NA,"biotic","autonomous","bisexual","superior",NA,"zygomorphic","bright"
"212","Myriophyllum sibiricum","herbaceous","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual_unisexual","inferior",NA,"actinomorphic","bright"
"213","Myristica fragrans","woody","non-climbing","dimorphic_monomorphic","long","outcrossing","biotic","biotic","unisexual","superior","pollen","actinomorphic","bright"
"214","Myrothamnus moschata","woody","non-climbing","dimorphic",NA,"outcrossing",NA,NA,"unisexual","superior",NA,NA,NA
"215","Myrtus communis","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual",NA,NA,"actinomorphic","bright"
"216","Narthecium ossifragum","herbaceous","non-climbing","monomorphic","long",NA,"biotic","autonomous","bisexual_unisexual","superior",NA,"actinomorphic","bright"
"217","Nelumbo lutea","herbaceous","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","superior","other_pollen","actinomorphic","bright"
"218","Nelumbo nucifera","herbaceous","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","superior","other_pollen","actinomorphic","bright"
"219","Nemesia strumosa","herbaceous","non-climbing","monomorphic","short","outcrossing",NA,"abiotic","bisexual","superior",NA,"actinomorphic","bright"
"220","Nepenthes macfarlanei","woody","climbing","dimorphic","long","outcrossing","abiotic_biotic","abiotic","unisexual",NA,"nectar_none","actinomorphic",NA
"221","Nicotiana tabacum","herbaceous","non-climbing","monomorphic","long_short",NA,"biotic","autonomous","bisexual","superior","nectar","actinomorphic_zygomorphic","bright"
"222","Nolana humifusa","herbaceous","non-climbing","monomorphic","short","outcrossing","biotic","biotic","bisexual","superior","nectar_pollen","actinomorphic","bright"
"223","Nothapodytes nimmoniana","woody","non-climbing","dimorphic","long","mixed","biotic","biotic","bisexual_unisexual",NA,"nectar_pollen",NA,"bright"
"224","Nothofagus dombeyi","woody","non-climbing","monomorphic","long","outcrossing","abiotic","abiotic","unisexual",NA,"none",NA,NA
"225","Nuphar advena","herbaceous","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","superior","pollen","actinomorphic","bright"
"226","Nymphaea odorata","herbaceous","non-climbing","monomorphic","long",NA,"biotic","abiotic_biotic","bisexual","intermediate","nectar","actinomorphic_other","bright"
"227","Nymphoides peltata","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","nectar_pollen","actinomorphic","bright"
"228","Nyssa ogeche","woody","non-climbing","dimorphic","long","outcrossing","biotic","biotic","unisexual","inferior",NA,"actinomorphic","bright"
"229","Ochroma pyramidale","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","nectar","actinomorphic_other","bright_dull"
"230","Octoknema borealis","woody","non-climbing","dimorphic","long","outcrossing",NA,NA,"unisexual",NA,NA,"actinomorphic",NA
"231","Octomeles sumatrana","woody","non-climbing","dimorphic","long","outcrossing",NA,"abiotic","unisexual","inferior",NA,"actinomorphic",NA
"232","Olea europaea","woody","non-climbing","monomorphic","long","outcrossing","abiotic","biotic","bisexual_unisexual","superior","none","actinomorphic","bright_dull"
"233","Oryza sativa","herbaceous","non-climbing","monomorphic","short",NA,"abiotic","autonomous","bisexual","superior","none","zygomorphic","dull"
"234","Ottelia acuminata","herbaceous","non-climbing","dimorphic","long","outcrossing","biotic","abiotic","unisexual","superior",NA,NA,"bright"
"235","Oxalis corniculata","herbaceous","non-climbing","monomorphic","long_short","selfing","biotic","autonomous","bisexual","superior","nectar_pollen","actinomorphic","bright"
"236","Paeonia californica","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual","superior","nectar","actinomorphic","bright"
"237","Panax quinquefolius","herbaceous","non-climbing","monomorphic","long","mixed","biotic","biotic","bisexual_unisexual","inferior",NA,"actinomorphic","dull"
"238","Pandanus tectorius","woody","non-climbing","dimorphic","long","outcrossing","abiotic_biotic","abiotic_biotic","unisexual","superior","none",NA,"bright_dull"
"239","Pennantia corymbosa","woody","non-climbing","dimorphic","long","outcrossing","biotic","biotic","unisexual","superior",NA,"actinomorphic","bright_dull"
"240","Peritoma arborea","woody","non-climbing","monomorphic","long_short",NA,"biotic",NA,"bisexual","superior",NA,"zygomorphic","bright"
"241","Perrottetia ovata","woody","non-climbing","dimorphic","long","outcrossing",NA,NA,"unisexual","superior",NA,NA,NA
"242","Petrosavia sakuraii","herbaceous","non-climbing","monomorphic","long","selfing","biotic",NA,"bisexual","intermediate","nectar","actinomorphic","bright"
"243","Petunia axillaris","herbaceous","non-climbing","monomorphic","short","outcrossing","biotic","autonomous","bisexual","superior",NA,"actinomorphic","bright"
"244","Peumus boldus","woody","non-climbing","dimorphic","long","outcrossing","biotic","biotic","unisexual","superior",NA,"actinomorphic",NA
"245","Phelline comosa","woody","non-climbing","dimorphic","long","outcrossing",NA,NA,"unisexual","superior",NA,"actinomorphic","bright"
"246","Phoenix dactylifera","woody","non-climbing","dimorphic","long","outcrossing","abiotic_biotic","biotic","unisexual","superior","none","actinomorphic","bright_dull"
"247","Phormium tenax","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","intermediate_superior","nectar","zygomorphic","bright"
"248","Phragmites australis","herbaceous","non-climbing","monomorphic","long","outcrossing","abiotic","abiotic","bisexual_unisexual","superior","none",NA,"dull"
"249","Phryma leptostachya","herbaceous","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual","superior",NA,"zygomorphic","bright"
"250","Phyllanthus niruri","herbaceous","non-climbing","monomorphic","short","outcrossing",NA,"abiotic","unisexual","superior",NA,"actinomorphic","bright"
"251","Physena madagascariensis","woody","non-climbing","dimorphic","long","outcrossing","abiotic",NA,"unisexual","superior","none","actinomorphic","dull"
"252","Picramnia polyantha","woody","non-climbing","dimorphic","long","outcrossing",NA,"biotic","unisexual","superior","nectar","actinomorphic","bright"
"253","Pinguicula alpina","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual",NA,NA,NA,"bright"
"254","Piper amalago","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual",NA,NA,"actinomorphic","bright"
"255","Piper arboreum","woody","non-climbing","monomorphic","long","outcrossing","abiotic_biotic","biotic","unisexual",NA,"none","actinomorphic","bright"
"256","Pitcairnia albiflos","herbaceous","non-climbing","monomorphic","long","outcrossing_selfing","biotic",NA,"bisexual","intermediate","nectar","actinomorphic","bright"
"257","Pittosporum dasycaulon","woody","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual_unisexual","superior","pollen","zygomorphic","bright"
"258","Plantago lanceolata","herbaceous","non-climbing","dimorphic","long","outcrossing","abiotic_biotic","autonomous","bisexual_unisexual","superior","none_pollen","actinomorphic","bright_dull"
"259","Platea latifolia","woody","non-climbing","dimorphic","long","outcrossing",NA,"biotic","unisexual","superior",NA,"actinomorphic","dull"
"260","Plocosperma buxifolium","woody","non-climbing","dimorphic","long","outcrossing",NA,"biotic","unisexual","superior",NA,"zygomorphic","bright"
"261","Plumbago auriculata","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior","nectar","actinomorphic","bright"
"262","Podophyllum peltatum","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior",NA,"actinomorphic","bright"
"263","Poeppigia procera","woody","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual","superior","pollen","actinomorphic",NA
"264","Polycarpon tetraphyllum","herbaceous","non-climbing","monomorphic","short",NA,"biotic","biotic","bisexual","superior",NA,"actinomorphic","bright"
"265","Polygala lewtonii","herbaceous","non-climbing","monomorphic","long","mixed","biotic","biotic","bisexual","superior","nectar","zygomorphic","bright"
"266","Populus alba","woody","non-climbing","dimorphic","long","outcrossing","abiotic","abiotic","unisexual","superior","none","actinomorphic","dull"
"267","Portulaca oleracea","herbaceous","non-climbing","monomorphic","short","selfing","biotic","biotic","bisexual","intermediate",NA,"actinomorphic","bright"
"268","Posidonia australis","herbaceous","non-climbing","monomorphic","long",NA,"abiotic","abiotic","bisexual","superior","none",NA,"dull"
"269","Posoqueria latifolia","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","inferior","nectar","zygomorphic","bright"
"270","Potamogeton berchtoldii","herbaceous","non-climbing","monomorphic","long_short",NA,"abiotic","abiotic","unisexual",NA,"none",NA,"dull"
"271","Primula sieboldii","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual","superior","nectar","actinomorphic","bright"
"272","Prionotes cerinthoides","herbaceous","climbing","monomorphic","long",NA,"biotic",NA,"bisexual","superior","nectar","actinomorphic","bright"
"273","Prunus persica","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior","nectar","actinomorphic","bright"
"274","Putranjiva roxburghii","woody","non-climbing","dimorphic","long","outcrossing","abiotic",NA,"unisexual","superior","none","actinomorphic","bright_dull"
"275","Qualea grandiflora","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior",NA,"zygomorphic","bright"
"276","Quercus rubra","woody","non-climbing","monomorphic","long",NA,"abiotic","biotic","unisexual","inferior","none","actinomorphic","dull"
"277","Quinchamalium chilense","herbaceous","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual","inferior","nectar","actinomorphic","bright"
"278","Quintinia hyehenensis","woody","non-climbing","dimorphic","long","outcrossing",NA,NA,"unisexual","inferior",NA,NA,"bright"
"279","Ranunculus acris","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior","nectar_pollen","actinomorphic","bright"
"280","Ravenala madagascariensis","woody","non-climbing","monomorphic","long","mixed","biotic","biotic","bisexual","inferior","nectar_pollen","zygomorphic","bright"
"281","Reseda lutea","herbaceous","non-climbing","dimorphic","long_short","outcrossing","biotic","biotic","bisexual","superior",NA,"zygomorphic","bright_dull"
"282","Rhexia virginica","herbaceous","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual",NA,NA,"actinomorphic","bright"
"283","Rhizophora stylosa","woody","non-climbing","monomorphic","long",NA,"abiotic","abiotic","bisexual","inferior","none","actinomorphic","bright_dull"
"284","Ribes aureum","woody","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual","inferior","nectar","actinomorphic","bright"
"285","Roridula dentata","woody","non-climbing","monomorphic","long",NA,"autonomous_biotic","autonomous","bisexual","superior","none","actinomorphic","bright_dull"
"286","Roridula gorgonias","herbaceous_woody","non-climbing","monomorphic","long",NA,"autonomous_biotic","autonomous","bisexual","intermediate","none","actinomorphic","bright_dull"
"287","Roupala montana","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","nectar","actinomorphic","bright"
"288","Rourea induta","woody","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual",NA,NA,NA,NA
"289","Ruellia ciliatiflora","herbaceous_woody","non-climbing","monomorphic","long","mixed","biotic",NA,"bisexual",NA,NA,"zygomorphic","bright"
"290","Ruta graveolens","woody","non-climbing","monomorphic","long",NA,"biotic","autonomous","bisexual","superior","nectar_pollen","actinomorphic","bright"
"291","Sagina procumbens","herbaceous","non-climbing","monomorphic","long","selfing","autonomous_biotic","autonomous","bisexual","superior","nectar","actinomorphic","dull"
"292","Sagittaria latifolia","herbaceous","non-climbing","dimorphic_monomorphic","long","outcrossing","biotic","abiotic","unisexual","superior",NA,"actinomorphic","bright"
"293","Salpiglossis sinuata","herbaceous","non-climbing","monomorphic","short","outcrossing","autonomous_biotic","autonomous","bisexual","superior",NA,"zygomorphic","bright"
"294","Santalum spicatum","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","inferior","nectar_other","actinomorphic","bright_dull"
"295","Sarracenia purpurea","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual","superior","nectar","actinomorphic","bright_dull"
"296","Sauvagesia rhodoleuca","woody","non-climbing","monomorphic","long",NA,NA,"abiotic","bisexual","superior",NA,NA,"bright"
"297","Saxifraga cernua","herbaceous","non-climbing","dimorphic_monomorphic","long","outcrossing","biotic","abiotic_biotic","bisexual","intermediate","nectar","actinomorphic","bright"
"298","Scaevola montana","woody","non-climbing","monomorphic",NA,"outcrossing","biotic","biotic","bisexual",NA,"nectar",NA,"bright"
"299","Schinus molle","woody","non-climbing","dimorphic","long","outcrossing","biotic","abiotic_biotic","unisexual","superior",NA,"actinomorphic","bright_dull"
"300","Schisandra chinensis","herbaceous","climbing","monomorphic","long",NA,"biotic",NA,"unisexual","superior",NA,"actinomorphic","bright"
"301","Schizanthus grahamii","herbaceous","non-climbing","monomorphic","short",NA,"biotic",NA,"bisexual","superior",NA,"zygomorphic","bright"
"302","Scleranthus annuus","herbaceous","non-climbing","dimorphic_monomorphic","short","outcrossing_selfing","autonomous_biotic","autonomous","bisexual","superior","nectar_none","actinomorphic","bright_dull"
"303","Senecio vulgaris","herbaceous","non-climbing","monomorphic","short",NA,"biotic","abiotic","bisexual","inferior",NA,"actinomorphic","bright"
"304","Sesamum indicum","herbaceous","non-climbing","monomorphic","short","mixed","biotic","autonomous","bisexual","superior","nectar","zygomorphic","bright"
"305","Sextonia rubra","woody","non-climbing","monomorphic","long",NA,"biotic","autonomous_biotic","bisexual","superior","other","actinomorphic","bright"
"306","Silene vulgaris","herbaceous","non-climbing","dimorphic","long",NA,"biotic","abiotic","bisexual_unisexual","superior","nectar_other","actinomorphic_zygomorphic","bright"
"307","Simmondsia chinensis","woody","non-climbing","dimorphic","long","outcrossing","abiotic","biotic","unisexual","superior","none","actinomorphic","bright_dull"
"308","Sinojackia xylocarpa","woody","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual","intermediate",NA,"actinomorphic","bright"
"309","Solanum dulcamara","herbaceous","climbing_non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","superior","pollen","actinomorphic","bright"
"310","Souroubea guianensis","woody","climbing","monomorphic",NA,"outcrossing","biotic","biotic","bisexual",NA,"nectar_other",NA,"bright"
"311","Spergularia marina","herbaceous","non-climbing","monomorphic","short",NA,"autonomous","abiotic","bisexual","superior","nectar","actinomorphic","bright_dull"
"312","Spigelia marilandica","herbaceous","non-climbing","monomorphic","long",NA,"biotic","autonomous","bisexual","superior",NA,"actinomorphic","bright_dull"
"313","Spiranthes cernua","herbaceous","non-climbing","monomorphic","long","outcrossing_selfing","autonomous_biotic","abiotic","bisexual","inferior",NA,"zygomorphic","bright_dull"
"314","Spondias tuberosa","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual",NA,NA,"actinomorphic","bright"
"315","Staphylea trifolia","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","nectar_pollen","actinomorphic","bright_dull"
"316","Stellaria media","herbaceous","non-climbing","monomorphic","long_short","selfing","autonomous_biotic","autonomous","bisexual","superior","nectar","actinomorphic","bright_dull"
"317","Sterculia apetala","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual_unisexual","superior",NA,"actinomorphic","bright_dull"
"318","Stylidium graminifolium","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual","inferior",NA,"zygomorphic","bright"
"319","Swietenia macrophylla","woody","non-climbing","monomorphic","long",NA,"biotic","abiotic","unisexual","superior",NA,"actinomorphic","bright_dull"
"320","Syringa vulgaris","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","superior","nectar_pollen","actinomorphic","bright"
"321","Tacca chantrieri","herbaceous","non-climbing","monomorphic","long",NA,"autonomous_biotic","biotic","bisexual","inferior",NA,"actinomorphic","bright_dull"
"322","Tacca leontopetaloides","herbaceous","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual","inferior",NA,"actinomorphic","bright_dull"
"323","Talinum paniculatum","herbaceous","non-climbing","monomorphic","long",NA,"biotic","autonomous","bisexual","superior",NA,"actinomorphic","bright"
"324","Tectona grandis","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","superior","nectar","actinomorphic","bright"
"325","Ternstroemia crassifolia","woody","non-climbing",NA,"long","outcrossing","biotic","biotic",NA,NA,NA,NA,NA
"326","Tetracentron sinense","woody","non-climbing","monomorphic","long","mixed","abiotic_biotic","abiotic","bisexual","intermediate","nectar_none_pollen","actinomorphic","bright_dull"
"327","Tetratheca aphylla","woody","non-climbing","monomorphic","long",NA,"biotic","autonomous_biotic","bisexual","superior","pollen",NA,"bright"
"328","Tetroncium magellanicum","herbaceous","non-climbing","dimorphic","long","outcrossing","abiotic","biotic","unisexual","superior","none","other","bright"
"329","Thalictrum minus","herbaceous","non-climbing","monomorphic","long",NA,"abiotic_biotic","autonomous","bisexual","superior","none_pollen","actinomorphic","bright_dull"
"330","Theobroma cacao","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior","nectar","actinomorphic","bright"
"331","Thymelaea hirsuta","woody","non-climbing","dimorphic_monomorphic","long","outcrossing","abiotic_biotic","biotic","unisexual","superior","none","actinomorphic","dull"
"332","Titanotrichum oldhamii","herbaceous","non-climbing","monomorphic","long","mixed_outcrossing","biotic",NA,"bisexual","superior",NA,"zygomorphic","bright"
"333","Trachelium caeruleum","herbaceous","non-climbing","monomorphic","long",NA,"biotic","autonomous","bisexual","inferior","nectar_pollen","actinomorphic","bright"
"334","Tragopogon dubius","herbaceous","non-climbing","monomorphic","short","selfing","biotic","abiotic_biotic","bisexual","inferior",NA,"zygomorphic","bright"
"335","Tribulus terrestris","herbaceous","non-climbing","monomorphic","short",NA,"biotic","biotic","bisexual","superior","nectar_pollen","actinomorphic","bright"
"336","Trichilia emetica","woody","non-climbing","dimorphic","long","outcrossing","biotic","biotic","unisexual","superior",NA,"actinomorphic",NA
"337","Trillium erectum","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior",NA,"actinomorphic","bright_dull"
"338","Trithuria submersa","herbaceous","non-climbing","monomorphic","short","selfing","abiotic","autonomous","unisexual","superior","none","actinomorphic","bright"
"339","Trochocarpa laurina","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic_biotic","bisexual","superior",NA,"actinomorphic","bright"
"340","Tropaeolum majus","herbaceous","climbing_non-climbing","monomorphic","long_short",NA,"biotic","abiotic","bisexual","superior","nectar_pollen","zygomorphic","bright"
"341","Tropaeolum tricolor","herbaceous","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual","superior",NA,"zygomorphic","bright"
"342","Turnera ulmifolia","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","superior",NA,"actinomorphic","bright"
"343","Typha latifolia","herbaceous","non-climbing","monomorphic","long",NA,"abiotic","abiotic","unisexual","superior","none",NA,"dull"
"344","Urtica dioica","herbaceous","non-climbing","dimorphic","long","outcrossing","abiotic","biotic","unisexual","superior","none","actinomorphic_other","dull"
"345","Vaccinium uliginosum","woody","non-climbing","monomorphic","long","outcrossing_selfing","biotic","biotic","bisexual","inferior","nectar","actinomorphic","bright_dull"
"346","Valeriana officinalis","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","inferior","nectar_pollen","other","bright"
"347","Vellozia squamata","woody","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual",NA,NA,"actinomorphic","bright"
"348","Verbascum thapsus","herbaceous","non-climbing","monomorphic","short",NA,"biotic","biotic","bisexual","superior","nectar_pollen","zygomorphic","bright"
"349","Veronica anagallis-aquatica","herbaceous","non-climbing","monomorphic","long","selfing","abiotic_biotic","abiotic","bisexual","superior","none","zygomorphic","bright"
"350","Viburnum rufidulum","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","inferior","pollen","actinomorphic","bright"
"351","Viola pubescens","herbaceous","non-climbing","monomorphic","long","mixed","autonomous_biotic","autonomous_biotic","bisexual","superior",NA,"zygomorphic","bright"
"352","Vitex negundo","woody","non-climbing","monomorphic","long",NA,"biotic",NA,"bisexual",NA,"nectar","zygomorphic","bright"
"353","Vitis labrusca","woody","climbing","monomorphic","long",NA,"biotic","biotic","bisexual","superior",NA,"actinomorphic","dull"
"354","Viviania marifolia","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","abiotic_biotic","bisexual","superior","nectar","actinomorphic","bright"
"355","Vriesea carinata","herbaceous","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","superior",NA,"actinomorphic_zygomorphic","bright"
"356","Warburgia ugandensis","woody","non-climbing","monomorphic","long",NA,"biotic","biotic","bisexual","superior",NA,"actinomorphic","bright_dull"
"357","Wurmbea biglandulosa","herbaceous","non-climbing","dimorphic_monomorphic","long",NA,"biotic","autonomous","bisexual_unisexual","superior","nectar","actinomorphic","bright"
"358","Xanthosoma sagittifolium","herbaceous","non-climbing","monomorphic","long",NA,"biotic","autonomous_biotic","unisexual","superior","other",NA,"bright"
"359","Ximenia americana","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic_biotic","bisexual","superior",NA,"actinomorphic","bright_dull"
"360","Zea mays","herbaceous","non-climbing","monomorphic","short",NA,"abiotic","biotic","unisexual","superior","none",NA,"dull"
"361","Zelkova serrata","woody","non-climbing","monomorphic","long",NA,"abiotic","abiotic","bisexual_unisexual","superior","none",NA,"dull"
"362","Zostera marina","herbaceous","non-climbing","monomorphic","long",NA,"abiotic","abiotic","unisexual",NA,"none",NA,"dull"
