"","NTaxDat","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non-climbing","Aquatic_aquatic","Aquatic_non-aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","FlowerSex_bisexual","FlowerSex_unisexual","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"143","Geranium sanguineum",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"144","Gerbera jamesonii",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"145","Gesneria cuneifolia",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,NA,NA,NA,1,0,0,0,0,0,1,1,0
"146","Gomortega keule",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,1
"147","Gonocaryum litorale",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"148","Gossypium hirsutum",0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"149","Grewia occidentalis",0,1,0,1,0,1,0,1,NA,NA,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"150","Griselinia racemosa",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,0,0,1,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,NA,NA
"151","Gyrocarpus americanus",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1
"152","Hamamelis virginiana",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
"153","Hanguana malayana",1,0,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"154","Haumania danckelmaniana",0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"155","Hedychium gardnerianum",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"156","Helianthus annuus",1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0
"157","Heliconia irrasa",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,NA,NA,NA,1,0
"158","Herniaria glabra",1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
"159","Hevea brasiliensis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,NA,NA,NA,NA,1,0,0,NA,NA
"160","Hirtella physophora",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,0,0,1,0,0,1,1,0
"161","Hordeum bulbosum",1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
"162","Hydnocarpus heterophyllus",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Hydrastis canadensis",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"164","Hydrocotyle vulgaris",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,1,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"165","Hydrophyllum capitatum",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"166","Hypericum perforatum",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0
"167","Hypolytrum pulchrum",1,0,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Ilex opaca",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"169","Impatiens capensis",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
"170","Ipomoea alba",1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"171","Iris versicolor",1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"172","Irvingbaileya australis",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"173","Juglans mandshurica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,NA,NA,NA,0,1
"174","Jumellea fragrans",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,1,1,0
"175","Juncus effusus",1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
"176","Kalanchoe daigremontiana",1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0
"177","Kalmia latifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"178","Kielmeyera regalis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,NA,NA,NA,0,0,0,1,1,0,0,1,0
"179","Kirengeshoma palmata",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"180","Kirkia wilmsii",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"181","Lactoris fernandeziana",0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1
"182","Lantana camara",0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"183","Lapageria rosea",0,1,1,0,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0
"184","Larrea tridentata",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,NA,NA,NA,1,0,0,1,1,0,0,1,0
"185","Lemna minor",1,0,0,1,1,0,0,1,0,1,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,1
"186","Lepidobotrys staudtii",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,1,0,0,1,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"187","Limnanthes douglasii",1,0,0,1,0,1,1,0,0,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"188","Linum perenne",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"189","Liparis loeselii",1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
"190","Liriodendron chinense",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
"191","Loasa heterophylla",1,0,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,0,1,0,0,1,0
"192","Lobelia angulata",1,0,0,1,0,1,1,0,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,0,0,0,0,1,1,0
"193","Ludwigia adscendens",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"194","Lythrum salicaria",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"195","Malesherbia linearifolia",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"196","Malpighia emarginata",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
"197","Manihot esculenta",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,0,1,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"198","Manilkara zapota",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"199","Marathrum rubrum",1,0,0,1,1,0,0,1,0,1,NA,NA,NA,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1
"200","Mayaca fluviatilis",1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"201","Mazus pumilus",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
"202","Medicago sativa",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0
"203","Melocactus curvispinus",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
"204","Menispermum canadense",1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"205","Menyanthes trifoliata",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"206","Miconia affinis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0
"207","Mirabilis jalapa",1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
"208","Misodendrum linearifolium",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,1,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,0,1
"209","Mollugo verticillata",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"210","Monotropa hypopitys",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"211","Montinia caryophyllacea",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,0,1,0,0,1,0,1,1,0,0,NA,NA,NA,NA,1,0,0,NA,NA
"212","Moringa oleifera",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"213","Myriophyllum sibiricum",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"214","Myristica fragrans",0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0
"215","Myrothamnus moschata",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Myrtus communis",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
"217","Narthecium ossifragum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"218","Nelumbo lutea",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
"219","Nelumbo nucifera",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
"220","Nemesia strumosa",1,0,0,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"221","Nepenthes macfarlanei",0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,NA,NA,NA,1,1,0,0,1,0,0,NA,NA
"222","Nicotiana tabacum",1,0,0,1,0,1,0,1,1,1,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0
"223","Nolana humifusa",1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"224","Nothapodytes nimmoniana",0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,NA,NA,NA,1,0,0,1,NA,NA,NA,1,0
"225","Nothofagus dombeyi",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA
"226","Nuphar advena",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0
"227","Nymphaea odorata",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0
"228","Nymphoides peltata",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"229","Nyssa ogeche",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"230","Ochroma pyramidale",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1
"231","Octoknema borealis",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA
"232","Octomeles sumatrana",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,1,0,0,1,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,NA,NA
"233","Olea europaea",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1
"234","Oryza sativa",1,0,0,1,1,0,0,1,0,1,NA,NA,NA,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1
"235","Ottelia acuminata",1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,0
"236","Oxalis corniculata",1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"237","Paeonia californica",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"238","Panax quinquefolius",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,NA,NA,NA,NA,1,0,0,0,1
"239","Pandanus tectorius",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,NA,NA,NA,1,1
"240","Pennantia corymbosa",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"241","Perrottetia ovata",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Petrosavia sakuraii",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,1,0,0,1,0
"243","Petunia axillaris",1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"244","Peumus boldus",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"245","Phelline comosa",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"246","Phoenix dactylifera",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1
"247","Phormium tenax",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0
"248","Phragmites australis",1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,NA,NA,NA,0,1
"249","Phryma leptostachya",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"250","Phyllanthus niruri",1,0,0,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"251","Physena madagascariensis",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,0,0,1,0,0,0,1
"252","Picramnia polyantha",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
"253","Pinguicula alpina",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"254","Piper amalago",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
"255","Piper arboreum",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,NA,NA,NA,0,1,0,0,1,0,0,1,0
"256","Pitcairnia albiflos",1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,1,0,0,1,0
"257","Pittosporum dasycaulon",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0
"258","Plantago lanceolata",1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1
"259","Platea latifolia",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,0,1
"260","Plocosperma buxifolium",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"261","Plumbago auriculata",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"262","Podophyllum peltatum",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"263","Poeppigia procera",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,0,0,NA,NA
"264","Polycarpon tetraphyllum",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"265","Polygala lewtonii",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
"266","Populus alba",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
"267","Portulaca oleracea",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0
"268","Posidonia australis",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,NA,NA,NA,0,1
"269","Posoqueria latifolia",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
"270","Potamogeton berchtoldii",1,0,0,1,1,0,0,1,1,1,NA,NA,NA,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,0,1,0,0,NA,NA,NA,0,1
"271","Primula sieboldii",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"272","Prionotes cerinthoides",1,0,1,0,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"273","Prunus persica",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"274","Putranjiva roxburghii",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,0,0,1,0,0,1,1
"275","Qualea grandiflora",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"276","Quercus rubra",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
"277","Quinchamalium chilense",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,0,1,0,0,1,0
"278","Quintinia hyehenensis",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0
"279","Rafflesia keithii",NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,NA,NA,NA,NA,1,0,0,1,1
"280","Ranunculus acris",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"281","Ravenala madagascariensis",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
"282","Reseda lutea",1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,1
"283","Rhexia virginica",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
"284","Rhizophora stylosa",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1
"285","Ribes aureum",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,0,1,0,0,1,0
"286","Roridula dentata",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1
"287","Roridula gorgonias",1,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1
"288","Roupala montana",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"289","Rourea induta",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","Ruellia ciliatiflora",1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0
"291","Ruta graveolens",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"292","Sagina procumbens",1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
"293","Sagittaria latifolia",1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"294","Salpiglossis sinuata",1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"295","Santalum spicatum",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1
"296","Sarracenia purpurea",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
