"","NTaxDat","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non-climbing","Aquatic_aquatic","Aquatic_non-aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","FlowerSex_bisexual","FlowerSex_unisexual","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"33","Aquilegia canadensis",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"34","Arabidopsis thaliana",1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0
"35","Aralidium pinnatifidum",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"36","Arctostaphylos uva-ursi",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"37","Arum maculatum",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1
"38","Asparagus officinalis",1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1
"39","Astelia alpina",1,0,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
"40","Audouinia capitata",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
"41","Avicennia marina",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"42","Azima tetracantha",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,1
"43","Bagassa guianensis",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA
"44","Balanophora laxiflora",1,0,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,0,0,1,NA,NA
"45","Balanops pancheri",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA
"46","Bdallophytum americanum",1,0,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0
"47","Begonia heracleifolia",1,0,0,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"48","Bergeranthus multiceps",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,0,0,1,1,0,0,1,0
"49","Berteroa incana",1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"50","Bertholletia excelsa",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
"51","Beta vulgaris",1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1
"52","Bixa orellana",0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0
"53","Borago officinalis",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"54","Brasenia schreberi",1,0,0,1,1,1,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1
"55","Bretschneidera sinensis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
"56","Bruguiera gymnorhiza",0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1
"57","Buddleja davidii",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"58","Bursera simaruba",0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,NA,NA,NA,1,0,0,0,1,0,0,0,1
"59","Butomus umbellatus",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"60","Buxus balearica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,1,0,1,1,0,1,0,1,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,NA
"61","Byrsonima crassifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0
"62","Cabomba caroliniana",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"63","Calceolaria purpurea",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,0,1,0,0,0,1,1,0
"64","Camellia sinensis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"65","Canacomyrica monticola",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA
"66","Canna indica",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0
"67","Cannabis sativa",1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
"68","Capparis zeylanica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
"69","Cardiocrinum cordatum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,NA,NA,NA,1,0,0,0,0,0,1,1,1
"70","Carex laxiflora",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1
"71","Carica papaya",0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0
"72","Caryocar brasiliense",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
"73","Catalpa speciosa",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
"74","Catharanthus roseus",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,1,0,1,1,0,NA,NA,NA,1,0,0,0,1,0,0,1,0
"75","Caulophyllum thalictroides",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"76","Centroplacus glaucinus",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
"77","Ceratophyllum demersum",1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,NA,NA,NA,0,1,0,1,NA,NA,NA,0,1
"78","Cercidiphyllum japonicum",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1
"79","Chimaphila umbellata",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"80","Chimonanthus praecox",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
