,NDat,NTaxDat,NChrDat,NRefDat,NCstDat,Simple,ValDat,MinDat,MaxDat,NotesDat,NDacDat,NRankDat,NDqsDat,NUsrcrDat,DcrDat,NUsrupDat,DupDat,DeleteDat,NUsrdelDat,DdelDat,PseudoDat,HistoryDat
2386,268782,Plantago lanceolata,4. Plant sexual system (D1),Van Damme & Van Delden 1982 (Heredity),4. Plant sexual system (D1): (4) gynodioecious,bisexual,NA,NA,NA,,,,NA,Charlotte Prieu,27-Mar-13,Hervé Sauquet,07-Jan-20,FALSE,NA,NA,FALSE,"[As of 3/06/2014] Plantago lanceolata / 100. Sex (D1): (P) functionally unisexual gynodioecious, structurally bisexual [Van Damme and Van Delden 1982, Charlotte Prieu, 27/03/2013]
[Automatically duplicated from original record and rescored by Hervé Sauque"
3228,280887,Plantago lanceolata,4. Plant sexual system (D1),Bertin and Newman 1993 (BotRev),4. Plant sexual system (D1): (4) gynodioecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,NA,Sylvain Glémin,19-May-20,,,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 19/05/2020] Plantago lanceolata / 4. Plant sexual system (D1): (4) gynodioecious [Bertin and Newman 1993, Sylvain Glémin, 19/05/2020]"
9210,450511,Reseda lutea,4. Plant sexual system (D1),Tela Botanica 2023 (website),4. Plant sexual system (D1): (4) gynodioecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,NA,Sylvain Glémin,04-May-23,Sylvain Glémin,04-May-23,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 4/05/2023] Reseda lutea / 4. Plant sexual system (D1): (0) bisexual [Tela Botanica 2023, Sylvain Glémin, 4/05/2023]
[Updated by Sylvain Glémin on 4/05/2023] Reseda lutea / 4. Plant sexual system (D1): (4) gynodioecious [Tela"
6741,347528,Sagittaria latifolia,4. Plant sexual system (D1),Dorken & Barrett 2004 (article),4. Plant sexual system (D1): (1) monoecious,NA,NA,NA,NA,doi:10.1098/rspb.2003.2580,explicit from the text (described as such),species,3,Johanne Cros,13-Oct-21,,,FALSE,NA,NA,FALSE,"[Created by Johanne Cros on 13/10/2021] Sagittaria latifolia / 4. Plant sexual system (D1): (1) monoecious [Dorken, M. E.; Barrett 2003, Johanne Cros, 13/10/2021] {doi:10.1098/rspb.2003.2580}"
6742,347529,Sagittaria latifolia,4. Plant sexual system (D1),Dorken & Barrett 2004 (article),4. Plant sexual system (D1): (2) dioecious,NA,NA,NA,NA,doi:10.1098/rspb.2003.2580,explicit from the text (described as such),species,3,Johanne Cros,13-Oct-21,,,FALSE,NA,NA,FALSE,"[Created by Johanne Cros on 13/10/2021] Sagittaria latifolia / 4. Plant sexual system (D1): (2) dioecious [Dorken, M. E.; Barrett 2003, Johanne Cros, 13/10/2021] {doi:10.1098/rspb.2003.2580}"
3239,280899,Saxifraga cernua,4. Plant sexual system (D1),Bertin and Newman 1993 (BotRev),4. Plant sexual system (D1): (3) gynomonoecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,NA,Sylvain Glémin,19-May-20,,,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 19/05/2020] Saxifraga cernua / 4. Plant sexual system (D1): (3) gynomonoecious [Bertin and Newman 1993, Sylvain Glémin, 19/05/2020]"
5310,320910,Saxifraga cernua,4. Plant sexual system (D1),Molau and Prentice 1992 (Jecol),4. Plant sexual system (D1): (6) androdioecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,NA,Sylvain Glémin,27-Apr-21,,,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 27/04/2021] Saxifraga cernua / 4. Plant sexual system (D1): (6) androdioecious [Molau and Prentice 1992, Sylvain Glémin, 27/04/2021]"
5319,320920,Saxifraga cernua,4. Plant sexual system (D1),Brochmann and Håpnes 2001 (BJLS),4. Plant sexual system (D1): (0) bisexual,bisexual,NA,NA,NA,In Svalbard populations,explicit from the text (described as such),species,NA,Sylvain Glémin,27-Apr-21,,,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 27/04/2021] Saxifraga cernua / 4. Plant sexual system (D1): (0) bisexual [Brochmann and Håpnes 2001, Sylvain Glémin, 27/04/2021] {In Svalbard populations}"
5555,321498,Scleranthus annuus,4. Plant sexual system (D1),Svensson 1990 (AmJBot),4. Plant sexual system (D1): (0) bisexual,bisexual,NA,NA,NA,,seen explicitly on the illustration,species,3,Marcos Méndez Iglesias,04-May-21,,,FALSE,NA,NA,FALSE,"[Created by Marcos Méndez Iglesias on 4/05/2021] Scleranthus annuus / 4. Plant sexual system (D1): (0) bisexual [Svensson 1990, Marcos Méndez Iglesias, 4/05/2021]"
9025,450271,Scleranthus annuus,4. Plant sexual system (D1),Oliveira & Gibbs 2000 (Flora),4. Plant sexual system (D1): (2) dioecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,NA,Sylvain Glémin,26-Apr-23,,,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 26/04/2023] Scleranthus annuus / 4. Plant sexual system (D1): (2) dioecious [Oliveira & Gibbs 2000, Sylvain Glémin, 26/04/2023]"
