"Genus","Species","SI_status"
"Lapsana","communis","SC"
"Platysace","commutata","SC"
"Protea","compacta","SC"
"Dendrobium","compactum","SI"
"Calandrinia","compressa","SC"
"Platysace","compressa","SC"
"Ornithopus","compressus","SC"
"Hardenbergia","comptonia","SI"
"Cardamine","concatenata","SC"
"Drymonia","conchocalyx","SC"
"Acacia","concinna","SI"
"Byrsonima","concinna","SC"
"Turnera","concinna","SI"
"Erysimum","concinnum","SI"
"Stomatochaeta","condensata","SC"
"Townsendia","condensata","SI"
"Restrepia","condorensis","SI"
"Hyptis","conferta","PSI"
"Marantochloa","conferta","SC"
"Eriophyllum","confertiflorum","PSI"
"Epilobium","confertifolium","SC"
"Chamaecrista","confertiformis","SC"
"Chamaecrista","confertiformus","SC"
"Stylidium","confluens","SI"
"Saintpaulia","confusa","SC"
"Quidproquo","confusum","SI"
"Solanum","confusum","SI"
"Eriophyllum","congdonii","SC"
"Leucheria","congesta","PSI"
"Sonchus","congestus","SI"
"Solanum","conglobatum","SI"
"Silene","conica","SC"
"Bulbostylis","conifera","SI"
"Lotus","conimbricensis","SC"
"Paspalum","conjugatum","SC"
"Lasthenia","conjugens","SI"
"Lipochaeta","connata","SC"
"Solanum","conocarpum","SI"
"Tetramolopium","consanguineum","SC"
"Lupinus","consentinii","SC"
"Gibasis","consobrina","SC"
"Delphinium","consolida","SI"
"Boechera","constancei","SI"
"Trifolium","constantinopolitanum","SC"
"Acacia","constricta","PSI"
"Cakile","constricta","SC"
"Medicago","constricta","SC"
"Pseudopiptadenia","contorta","PSI"
"Jaltomata","contumacensis","SC"
"Ageratum","conyzoides","SC"
"Acacia","cookii","SI"
"Lycium","cooperi","SI"
"Sinningia","cooperi","SC"
"Vitex","cooperi","SI"
"Pitcairnia","corcovadensis","SC"
"Neottia","cordata","PSI"
"Scalesia","cordata","SC"
"Centella","cordifolia","SC"
"Mascagnia","cordifolia","SI"
"Nicotiana","cordifolia","SC"
"Shorea","cordifolia","SI"
"Tiarella","cordifolia","SI"
"Aster","cordifolius","SI"
"Encyclia","cordigera","SC"
"Solanum","cordovense","SC"
"Caesalpinia","coriaria","PSI"
"Erica","corifolia","SI"
"Syzygium","cormiflorum","PSI"
"Solanum","corneliomuelleri","SI"
"Solanum","corneliomulleri","SI"
"Oxalis","corniculata","SC"
"Lotus","corniculatus","PSI"
"Rudgea","cornifolia","SI"
"Acacia","cornigera","SI"
"Angelonia","cornigera","SI"
"Chiloglottis","cornuta","SC"
"Malvastrum","coromandelianum","SC"
"Glebionis","coronaria","SI"
"Silene","coronaria","SC"
"Hedysarum","coronarium","PSI"
"Tococa","coronata","SI"
"Agoseris","coronopifolia","SC"
"Cotula","coronopifolia","SC"
"Heliophila","coronopifolia","SC"
"Oenothera","coronopifolia","SI"
"Tolpis","coronopifolia","SC"
"Senecio","coronopodiphyllus","PSI"
"Lepidium","coronopus","SC"
"Hedysarum","cororium","PSI"
"Medicago","corota","SC"
"Witheringia","correana","SI"
"Arachis","correnti","SC"
"Solanum","corymbiflorum","SI"
"Corymborkis","corymbis","PSI"
"Bauhinia","corymbosa","PSI"
"Cardamine","corymbosa","SC"
"Casearia","corymbosa","SI"
"Centaurea","corymbosa","PSI"
"Draba","corymbosa","SC"
"Espeletiopsis","corymbosa","PSI"
"Melochia","corymbosa","SI"
"Nicotiana","corymbosa","SC"
"Senna","corymbosa","SC"
"Physodium","corymbosum","SI"
"Solanum","corymbosum","SC"
"Vaccinium","corymbosum","PSI"
"Tristerix","corymbosus","SC"
"Bidens","cosmoides","SC"
"Hylocereus","costaricensis","SI"
"Lonchocarpus","costaricensis","PSI"
"Psychotria","costularia","PSI"
"Anthemis","cotula","SI"
"Guaiacum","coulteri","PSI"
"Malacothrix","coulteri","SC"
"Hymenaea","courbaril","PSI"
"Grindelia","covasii","SI"
"Enceliopsis","covillei","SI"
"Boechera","crandallii","SC"
"Byrsonima","crassifolia","PSI"
"Draba","crassifolia","SC"
"Gilia","crassifolia","SC"
"Physalis","crassifolia","SI"
"Ternstroemia","crassifolia","SI"
"Tradescantia","crassifolia","SC"
"Stylidium","crassifolium","PSI"
"Nematanthus","crassifolius","PSI"
"Sonchus","crassifolius","SI"
"Ficus","crassinervis","SC"
"Piper","crassinervium","SI"
"Anaxagorea","crassipetala","PSI"
"Tolpis","crassiuscula","SI"
"Tradescantia","crassula","SI"
"Astragalus","cremnophylax","PSI"
"Zuvanda","crenulata","SI"
"Dendrobium","crepidatum","SC"
"Ebenus","cretica","SC"
"Cyclamen","creticum","PSI"
"Carthamus","creticus","SC"
"Pleurophyllum","criniferum","SC"
"Solanum","crinitum","SC"
"Oncidium","crispum","SI"
"Solanum","crispum","SI"
"Caesalpinia","crista","PSI"
"Erythrina","crista-galli","PSI"
"Onobrychis","crista-galli","SC"
"Anoda","cristata","SC"
"Cyanotis","cristata","SI"
"Hakea","cristata","SI"
"Iris","cristata","PSI"
"Cynosorus","cristatus","SC"
"Lilium","croceum","SI"
"Trachymene","croniniana","SC"
"Flaveria","cronquistii","SI"
"Stylidium","crossocephalum","SI"
"Prockia","crucis","SI"
"Senecio","cruentus","SI"
"Lotononis","crumani","SC"
"Dendrobium","crumenatum","SI"
"Crataegus","crus-galli","SC"
"Dendrobium","crystallinum","PSI"
"Broughtonia","cubensis","PSI"
"Erythrina","cubensis","PSI"
"Rhexia","cubensis","SI"
"Lens","culinaris","SC"
"Lonchocarpus","cultratus","SI"
"Hypericum","cumulicola","SC"
"Cuatresia","cuneata","SI"
"Lespedeza","cuneata","SC"
"Desmodium","cuneatum","SC"
"Calotis","cuneifolia","SI"
"Draba","cuneifolia","SC"
"Gesneria","cuneifolia","SC"
"Larrea","cuneifolia","SC"
"Ligaria","cuneifolia","PSI"
"Rubus","cuneifolius","SI"
"Turnera","cuneiformis","SC"
"Crotalaria","cunninghamii","PSI"
"Dendrobium","cunninghamii","PSI"
"Gastrodia","cunninghamii","SI"
"Senecio","cunninghamii","SI"
"Gastrodia","cunninghanmii","SC"
"Restrepia","cuprea","SI"
"Asclepias","curassavica","SC"
"Jatropha","curcas","SC"
"Carthamus","curdicus","SC"
"Aster","curtus","PSI"
"Melocactus","curvispinus","PSI"
"Bauhinia","curvula","PSI"
"Helianthus","cusickii","SI"
"Phlox","cuspidata","SC"
"Vicia","cuspidata","SC"
"Solidago","cutleri","SC"
"Streptanthus","cutleri","SI"
"Commelina","cyanea","SI"
"Solanum","cyaneopurpureum","SC"
"Iochroma","cyaneum","SI"
"Rhododendron","cyanocarpum","PSI"
"Trachymene","cyanopetala","SC"
"Centaurea","cyanus","SI"
"Coreopsis","cyclocarpa","SI"
"Enterolobium","cyclocarpum","PSI"
"Liatris","cylindracea","SI"
"Ferocactus","cylindraceus","PSI"
"Pectis","cylindrica","SC"
"Astragalus","cymbicarpos","SC"
"Haworthia","cymbiformis","PSI"
"Amphilophium","cynanchoides","SI"
"Dolichandra","cynanchoides","PSI"
"Euphorbia","cyparissias","SI"
"Scleria","cyperina","PSI"
"Vicia","cypria","SC"
"Lespedeza","cystoides","SC"
"Rhynchosia","cystoides","SC"
"Chamaecrista","cytisoides","PSI"
"Phoenix","dactylifera","SI"
"Buchloë","dactyloides","SC"
"Kalanchoe","daigremontiana","SC"
"Dendrobium","dalbertsii","SC"
"Fragaria","daltoniana","SC"
"Asteriscus","daltonii","SI"
"Macrotyloma","daltonii","SC"
"Nigella","damascena","SI"
"Alyssum","damascenum","SC"
"Astragalus","damascenus","SC"
"Haumania","danckelmaniana","SI"
"Cochlearia","danica","SC"
"Jaltomata","darcyana","SC"
"Arachis","dardani","SC"
"Vaccinium","darrowii","PSI"
"Vicia","dasycarpa","SC"
"Pittosporum","dasycaulon","SI"
"Tillandsia","dasyliriifolia","SC"
"Solanum","dasyphyllum","SC"
"Leandra","dasytricha","SC"
"Trifolium","dasyurum","SC"
"Lespedeza","daurica","SC"
"Lilium","dauricum","SI"
"Solanum","davisense","SC"
"Dombeya","de-lislei","SI"
"Acacia","dealbata","PSI"
"Aeschynomene","deamii","SC"
"Helianthus","debilis","PSI"
"Lasthenia","debilis","SI"
"Roscoea","debilis","SC"
"Stellaria","debilis","SC"
"Stylosanthes","debilis","SC"
"Phytolacca","decandra","SC"
"Caesalpinia","decapetala","SC"
"Helianthus","decapetalus","SI"
"Mauranthemum","decipiens","SI"
"Microseris","decipiens","SC"
"Arachis","decora","SC"
"Geoffroea","decorticans","PSI"
"Triodia","decumbens","SC"
"Acacia","decurrens","SC"
"Mucuna","deeringiana","SC"
"Brassica","deflexa","SI"
"Platysace","deflexa","SI"
"Solanum","deflexum","SC"
"Dendrobium","delacourii","SC"
"Paeonia","delavayi","PSI"
"Vriesea","delicatula","SC"
"Coreopsis","delphiniifolia","SI"
"Ambrosia","deltoidea","SI"
"Balsamorhiza","deltoidea","SI"
"Oenothera","deltoides","PSI"
"Ceratophyllum","demersum","SC"
"Palicourea","demissa","SI"
"Solanum","demissum","SC"
"Hemerocallis","demortieri","SI"
"Inga","densiflora","PSI"
"Prescottia","densiflora","PSI"
"Siphoneugena","densiflora","SI"
"Dendrobium","densiflorum","SC"
"Lepidium","densiflorum","SC"
"Brunfelsia","densifolia","SI"
"Encelia","densifolia","SI"
"Pulsera","densifolia","PSI"
"Eriastrum","densifolium","SI"
"Paysonia","densipila","SI"
"Cordia","dentata","SI"
"Jaltomata","dentata","SC"
"Roridula","dentata","SC"
"Carthamus","dentatus","SI"
"Melilotus","dentatus","PSI"
"Aeschynomene","denticulata","SC"
"Medicago","denticulata","SC"
"Lotus","denticulatus","SC"
"Dendrobium","denudans","SI"
"Cirrhaea","dependens","SC"
"Aphelandra","deppeana","PSI"
"Rhodanthemum","depressum","SI"
"Helianthus","deserticola","SI"
"Alyssum","desertorum","SC"
"Crotalaria","desertorum","SC"
"Brassica","desnottesii","SI"
"Chamaecrista","desvauxii","PSI"
"Solanum","desvauxii","SC"
"Mimosa","detinens","PSI"
"Dendrobium","devonianum","SI"
"Hydrocotyle","diantha","SC"
"Bellucia","dichotoma","SI"
"Lagophylla","dichotoma","SI"
"Rhynchanthera","dichotoma","SC"
"Desmodium","dichotomum","SC"
"Stylidium","dichotomum","SI"
"Homalocarpus","dichotomus","SC"
"Biscutella","didyma","SC"
"Senna","didymobotrya","PSI"
"Stephanomeria","diegensis","SI"
"Stylidium","dielsianum","SI"
"Commelina","diffusa","PSI"
"Gorteria","diffusa","SI"
"Chiliotrichum","diffusum","SI"
"Eriosema","diffusum","SC"
"Trifolium","diffusum","SC"
"Corydalis","digitata","SI"
"Ipomea","digitata","SI"
"Hyptis","dilatata","PSI"
"Maianthemum","dilatatum","SI"
"Solanum","dimidiatum","SI"
"Pectocarya","dimorpha","SC"
"Thalictrum","dioicum","SI"
"Vicia","dionysiensis","SC"
"Chamaecrista","diphylla","SC"
"Zornia","diphylla","SC"
"Solanum","diphyllum","SC"
"Hyparrhenia","diplandra","SC"
"Solanum","diploconos","SI"
"Emilia","discifolia","SI"
"Bidens","discoidea","SC"
"Layia","discoidea","SI"
"Matricaria","discoidea","SC"
"Datura","discolor","SC"
"Desmodium","discolor","SC"
"Helianthus","discolor","SI"
"Miconia","discolor","SI"
"Potentilla","discolor","SC"
"Rhoeo","discolor","SC"
"Desmodium","discolor_x_pabulare","SC"
"Vicia","disperma","SC"
"Cotula","dispersa","SC"
"Cristaria","dissecta","SC"
"Ranunculus","dissectifolius","PSI"
"Cirsium","dissectum","SI"
"Madia","dissitiflora","SC"
"Billbergia","distachia","PSI"
"Gasteria","disticha","PSI"
"Shorea","disticha","SI"
"Tritonia","disticha","PSI"
"Aechmea","distichantha","SC"
"Abeliophyllum","distichum","SI"
"Dendrobium","disticum","SI"
"Desmodium","distortum","SC"
"Solanum","ditrichum","SC"
"Thermopsis","divaricarpa","SC"
"Oncidium","divaricatum","SI"
"Stylidium","divaricatum","SI"
"Symphyotrichum","divaricatum","SI"
"Aster","divaricatus","SI"
"Carthamus","divaricatus","SI"
"Erigeron","divaricatus","SC"
"Helianthus","divaricatus","SI"
"Jaltomata","diversa","SC"
"Solanum","diversiflorum","SI"
"Leucaena","diversifolia","SC"
"Solanum","diversifolium","SI"
"Dendrobium","dixanthum","SC"
"Agelanthus","djurensis","SC"
"Miconia","dodecandra","SC"
"Medicago","doliata","SC"
"Simsia","dombeyana","SC"
"Nothofagus","dombeyi","PSI"
"Roseodendron","donnell-smithii","SI"
"Tabebuia","donnell-smithii","SI"
"Chaenactis","douglasii","SC"
"Coreopsis","douglasii","SI"
"Microseris","douglasii","SC"
"Silene","douglasii","PSI"
"Solanum","douglasii","SC"
"Lepidium","draba","SI"
"Velloziela","dracocephaloides","SC"
"Protea","dracomontana","SC"
"Dierama","dracomontanum","PSI"
"Dendrobium","draconis","PSI"
"Brassica","drepanensis","SI"
"Aster","drummondii","SI"
"Blennospora","drummondii","SC"
"Phlox","drummondii","SI"
"Solidago","drummondii","SI"
"Galactia","dubia","SC"
"Lipochaeta","dubia","SC"
"Trifolium","dubium","SC"
"Tragopogon","dubius","SC"
"Solanum","dulcamara","SC"
"Pithecellobium","dulce","SC"
"Phaseolus","dumosus","PSI"
"Taraxacum","duplidens","SI"
"Topobea","durandiana","SC"
"Arachis","duranensis","SC"
"Calibrachoa","dusenii","SI"
"Capsicum","dusenii","SC"
"Brunfelsia","dwyeri","SI"
"Eugenia","dysenterica","SC"
"Medicago","dzawakhetica","SC"
"Aster","eatonii","SI"
"Bidens","eatonii","SC"
"Senecio","eboracensis","SC"
"Silybum","eburneum","SC"
"Solanum","eburneum","SI"
"Caesalpinia","echinata","SI"
"Tabernaemontana","echinata","SI"
"Solanum","echinatum","SC"
"Trifolium","echinatum","SC"
"Zornia","echinocarpa","SC"
"Alternanthera","echinocephala","SC"
"Helminthotheca","echioides","SI"
"Picris","echioides","PSI"
"Caesalpinia","echita","PSI"
"Stylidium","ecorne","SC"
"Jalcophila","ecuadorensis","SC"
"Cakile","edentula","SC"
"Amphicarpaea","edgeworthii","SC"
"Passiflora","edmundoi","SI"
"Astragalus","edulis","SC"
"Casimiroa","edulis","SC"
"Inga","edulis","PSI"
"Lotus","edulis","SC"
"Passiflora","edulis","SI"
"Rhynchosia","edulis","SC"
"Tradescantia","edwardsiana","SC"
"Potentilla","egedei","SC"
"Ipomea","eggersiana","SI"
"Helianthus","eggertii","SI"
"Calibrachoa","eglandulata","SI"
"Stylidium","eglandulosum","PSI"
"Solanum","ehrenbergii","SI"
"Trachymene","elachocarpa","SC"
"Solanum","elaeagnifolium","PSI"
"Cordia","elaeagnoides","PSI"
"Cordia","elaegnoides","PSI"
"Castilla","elastica","SC"
"Ficus","elastica","SC"
"Cephaelis","elata","SI"
"Ecballium","elaterium","SC"
"Arrhenatherum","elatius","PSI"
"Pisum","elatius","SC"
"Delphinium","elatum","SI"
"Aeschynomene","elegans","SC"
"Calibrachoa","elegans","SI"
"Callisia","elegans","SC"
"Cyperus","elegans","SC"
"Goetzea","elegans","SI"
"Lilium","elegans","SI"
"Madia","elegans","SI"
"Melilotus","elegans","SC"
"Miconia","elegans","SI"
"Microseris","elegans","SC"
"Platypodium","elegans","SC"
"Zinnia","elegans","SI"
"Amyris","elemeifera","SC"
"Grindelia","eligulata","SI"
"Sobralia","elisabethae","SC"
"Dendrobium","ellipsophyllum","SI"
"Derris","elliptica","SC"
"Halenia","elliptica","SC"
"Vochysia","elliptica","PSI"
"Conospermum","ellipticum","SI"
"Acnistus","ellipticus","SC"
"Galactia","elliptifoliola","SC"
"Hypericum","elodes","PSI"
"Brassica","elongata","SI"
"Cattleya","elongata","SC"
"Abrotanella","emarginata","PSI"
"Atamisquea","emarginata","SI"
"Stylidium","emarginatum","PSI"
"Pterodon","emarginatus","SC"
"Coronilla","emerus","PSI"
"Dyckia","encholirioides","PSI"
"Cichorium","endivia","SC"
"Oenothera","engelmannii","SI"
"Zygia","englesingii","SI"
"Oxalis","enneaphylla","SI"
"Solanum","ensifolium","SI"
"Cavalia","ensiformis","SC"
"Vriesea","ensiformis","SC"
"Astragalus","epiglottis","SC"
"Daviesia","epiphyllum","PSI"
"Casuarina","equisetifolia","SC"
"Commelina","erecta","SI"
"Potentilla","erecta","SC"
"Stylosanthes","erecta","SC"
"Tinantia","erecta","SI"
"Trillium","erectum","PSI"
"Bromus","erectus","SI"
"Solanum","erianthum","SC"
"Banksia","ericifolia","PSI"
"Calibrachoa","ericifolia","SI"
"Fumana","ericifolia","SC"
"Pectis","ericifolia","SC"
"Conospermum","ericifolium","SI"
"Aster","ericoides","SI"
"Brachyloma","ericoides","SI"
"Symphyotrichum","ericoides","SI"
"Hakea","erinacea","SC"
"Lonchocarpus","eriocarilis","PSI"
"Lonchocarpus","eriocarinalis","PSI"
"Calliandra","eriophylla","SI"
"Trifolium","eriosphaerum","SC"
"Caesalpinia","eriostachys","PSI"
"Vicia","eristalioides","SC"
"Dendrobium","erostelle","SI"
"Pachyrhizus","erosus","SC"
"Crinum","erubescens","PSI"
"Diplotaxis","erucoides","SI"
"Vicia","ervilia","SC"
"Macroptilium","erythroloma","SC"
"Taraxacum","erythrospermum","SI"
"Argyranthemum","escarrei","SI"
"Leucaena","esculenta","SI"
"Tylosema","esculentum","PSI"
"Nidularium","espiritosantense","PSI"
"Cambessedesia","espora","SC"
"Euphorbia","esula","PSI"
"Solanum","etuberosum","SC"
"Acradenia","euodiiformis","SC"
"Billbergia","euphemiae","SI"
"Chaetanthera","euphrasioides","SC"
"Trientalis","europaea","SI"
"Ulex","europaeus","SC"
"Vaccinium","euryanthum","PSI"
"Simsia","eurylepis","SC"
"Aeschynomene","evenia","SC"
"Asclepias","exaltata","SI"
"Calibrachoa","excellens","SI"
"Alphitonia","excelsa","SI"
"Opuntia","excelsa","SI"
"Senna","excelsa","SC"
"Nicotiana","excelsior","SC"
"Solanum","excisirhombeum","SC"
"Fuchsia","excorticata","SC"
"Leavenworthia","exigua","SC"
"Madia","exigua","SC"
"Stephanomeria","exigua","SI"
"Cuatresia","exiguiflora","SI"
"Solanum","exiguum","SI"
"Dendrobium","exile","SC"
"Helianthus","exilis","SC"
"Protea","eximia","PSI"
"Symphyotrichum","expansum","SC"
"Astragalus","exscapus","PSI"
"Petunia","exserta","SC"
"Lycium","exsertum","PSI"
"Vriesea","extensa","SC"
"Vicia","faba","PSI"
"Acianthera","fabiobarrosii","SI"
"Xanthoxylum","fagara","SC"
"Chamaecrista","fagonioides","SC"
"Aeschynomene","falcata","SC"
"Anadenanthera","falcata","SC"
"Andenthera","falcata","PSI"
"Coreopsis","falcata","SI"
"Erythrina","falcata","PSI"
"Euroschinus","falcata","SI"
"Glycine","falcata","SC"
"Aster","falcatus","SI"
"Boronia","falcifolia","PSI"
"Dendrobium","falconeri","SI"
"Restrepia","falkenbergii","SI"
"Miconia","fallax","PSI"
"Solanum","fallax","SI"
"Encelia","farinosa","SI"
"Dendrobium","farmeri","SI"
"Seseli","farrenyi","PSI"
"Rhododendron","farrerae","PSI"
"Govenia","fasciata","PSI"
"Aeschynomene","fascicularis","SC"
"Gagea","fascicularis","SC"
"Cassia","fasciculata","SC"
"Chamaecrista","fasciculata","SC"
"Commelina","fasciculata","SI"
"Deinandra","fasciculata","SI"
"Microlicia","fasciculata","PSI"
"Cestrum","fasciculatum","SC"
"Grindelia","fastigiata","SI"
"Pachycladon","fastigiata","SC"
"Arctotis","fastuosa","SI"
"Sonchus","fauces-orci","SI"
"Palicourea","faxlucens","SI"
"Boechera","fecunda","SC"
"Solanum","felinum","SC"
"Asplundia","fendleri","PSI"
"Malacothrix","fendleri","SI"
"Physaria","fendleri","SI"
"Vriesea","fenestralis","SC"
"Braya","fernaldii","SC"
"Solanum","fernandezianum","SC"
"Turnera","fernandezii","SI"
"Lycium","ferocissimum","SI"
"Agave","ferox","SI"
"Solanum","ferox","SC"
"Libidibia","ferrea","PSI"
"Mesua","ferrea","PSI"
"Miconia","ferruginata","PSI"
"Vochysia","ferruginea","SC"
"Alysicarpus","ferrugineus","SC"
"Pachyrhizus","ferrugineus","SC"
"Calycanthus","fertilis","SC"
"Bidens","ferulifolia","SI"
"Opuntia","ficus-indica","PSI"
"Lotus","filicaulis","SC"
"Sibara","filifolia","SC"
"Argyranthemum","filifolium","SC"
"Desmodium","filiforme","SC"
"Tetramolopium","filiforme","SC"
"Physaria","filiformis","SI"
"Astragalus","filipes","SC"
"Holozonia","filipes","SI"
"Marantochloa","filipes","SC"
"Trigonella","filipes","SC"
"Aeschynomene","filosa","SC"
"Coelogyne","fimbriata","SI"
"Dendrobium","fimbriatum","SI"
"Psidium","firmum","SC"
"Medicago","fischeria","SC"
"Ariocarpus","fissuratus","SI"
"Ipomea","fistulosa","PSI"
"Draba","fladnizensis","SC"
"Solanum","flahaultii","SC"
"Pitcairnia","flammea","PSI"
"Hemerocallis","flava","SI"
"Prockia","flava","PSI"
"Sarracenia","flava","SC"
"Carthamus","flavescens","SC"
"Alepis","flavida","SC"
"Cyrtopodium","flavum","SC"
"Hymenosporum","flavum","SI"
"Senecio","flavus","SC"
"Thaumatococcis","flavus","SC"
"Cardamine","flexuosa","SC"
"Chamaecrista","flexuosa","SC"
"Cynophalla","flexuosa","PSI"
"Deschampsia","flexuosa","SI"
"Prosopis","flexuosa","SI"
"Capsicum","flexuosum","SC"
"Malacothrix","floccifera","SI"
"Espeletia","floccosa","SI"
"Ruilopezia","floccosa","SI"
"Bredemeyera","floribunda","SI"
"Centradenia","floribunda","SC"
"Lespedeza","floribunda","SC"
"Waterhousea","floribunda","SI"
"Monochaetum","floribundum","SC"
"Thyrsanthenum","floribundum","SC"
"Cornus","florida","SI"
"Coreopsis","floridana","SI"
"Flaveria","floridana","SI"
"Helianthus","floridanus","SI"
"Cercidium","floridum","SI"
"Townsendia","florifer","PSI"
"Aeschynomene","fluitans","SC"
"Tradescantia","fluminensis","SI"
"Mourera","fluviatilis","SC"
"Eucalyptus","foecunda","SI"
"Trigonella","foenum-graecum","SC"
"Anagyris","foetida","SC"
"Crepis","foetida","PSI"
"Paederia","foetida","SI"
"Passiflora","foetida","PSI"
"Simsia","foetida","SI"
"Giliastrum","foetidum","SI"
"Helleborus","foetidus","SI"
"Aster","foliaceus","SI"
"Aeschynomene","foliolosa","SC"
"Crepis","foliosa","SI"
"Malacothrix","foliosa","PSI"
"Montia","fontana","SC"
"Scrophularia","fontqueri","SI"
"Bidens","forbesii","SC"
"Bauhinia","forficata","PSI"
"Nicotiana","forgetiana","SI"
"Dryandra","formosa","SC"
"Lilium","formosanum","SC"
"Dendrobium","formosum","SI"
"Nematanthus","fornix","PSI"
"Nicotiana","forsteri","SC"
"Solanum","forsteri","SC"
"Emilia","fosbergii","SC"
"Portea","fosteriana","SI"
"Trimezia","fosteriana","PSI"
"Potentilla","fragarioides","SC"
"Trifolium","fragiferum","SI"
"Solanum","fragile","SC"
"Ainsliaea","fragrans","SC"
"Callisia","fragrans","SC"
"Canistrum","fragrans","SC"
"Clitoria","fragrans","SC"
"Dracaena","fragrans","SC"
"Nicotiana","fragrans","SC"
"Dicymbe","frater","PSI"
"Dicymbe","fraterna","SI"
"Tibouchina","fraterna","SC"
"Macroptilium","fraternum","SC"
"Solanum","fraxinifolium","SI"
"Calycadenia","fremonti","SI"
"Calycadenia","fremontii","SI"
"Layia","fremontii","SI"
"Lepidium","fremontii","SI"
"Lycium","fremontii","PSI"
"Tibouchina","frigidula","SC"
"Bidens","frondosa","SC"
"Gaylussacia","frondosa","SI"
"Symphyotrichum","frondosum","SC"
"Abutilon","fructicosum","SC"
"Xanthosia","fructiculosa","SC"
"Solanum","fructu-tecto","SC"
"Capsicum","frutescences","SC"
"Argyranthemum","frutescens","SI"
"Biscutella","frutescens","SI"
"Capsicum","frutescens","SC"
"Encelia","frutescens","SI"
"Sinapidendron","frutescens","SC"
"Jasminum","fruticans","SI"
"Potentilla","fruticosa","SI"
"Stylosanthes","fruticosa","SC"
"Desmanthus","fruticosus","SC"
"Gomphocarpus","fruticosus","SC"
"Brassica","fruticulosa","SI"
"Simsia","fruticulosa","SI"
"Iochroma","fuchsioides","SI"
"Arnica","fulgens","SI"
"Lobelia","fulgens","SI"
"Rudbeckia","fulgida","SI"
"Eriocnema","fulva","PSI"
"Hemerocallis","fulva","SI"
"Pisum","fulvum","SC"
"Pisum","fulvum var. amphicarpum","SC"
"Draba","funiculosa","SC"
"Evodianthus","funifer","PSI"
"Eurybia","furcata","SI"
"Acacia","furcatispi","SI"
"Solanum","furcatum","SC"
"Aster","furcatus","PSI"
"Erythrina","fusca","SC"
"Siderasis","fuscata","SC"
"Cavalia","fusiformis","SC"
"Mertensia","fusiformis","SI"
"Megraphrynium","gabonense","SC"
"Layia","gaillardioides","SI"
"Calopogonium","galactioides","SC"
"Justicia","galapagana","SC"
"Solanum","galapagense","SC"
"Nolana","galapagensis","SC"
"Peperomia","galapagensis","SC"
"Capsicum","galapagoensis","SC"
"Passiflora","galbana","SI"
"Vicia","galeata","SC"
"Vicia","galilaea","SC"
"Logfia","gallica","SC"
"Rosa","gallica","PSI"
"Silene","gallica","SC"
"Erucastrum","gallicum","SC"
"Desmodium","gangeticum","SC"
"Chlaenosciadium","gardneri","SC"
"Solanum","gardneri","SI"
"Byrsonima","gardneriana","SI"
"Hedychium","gardnerianum","SC"
"Piper","gaudichaudianum","PSI"
"Senecio","gawlerensis","SI"
"Rhodanthemum","gayanum","SI"
"Pyrrhopappus","geiseri","SC"
"Nymphoides","geminata","SC"
"Tillandsia","geminiflora","PSI"
"Cakile","geniculata","SC"
"Cymbispatha","geniculata","SI"
"Gibasis","geniculata","SI"
"Prunus","geniculata","SI"
"Setaria","geniculata","SC"
"Vriesea","geniculata","SC"
"Acacia","gentlei","SI"
"Rubus","geoides","SC"
"Macroptilium","geophilum","SC"
"Avicennia","germinans","SC"
"Iochroma","gesnerioides","SI"
"Macroptilium","gibbosifolium","SC"
"Passiflora","gibertii","PSI"
"Dendrobium","gibsonii","SI"
"Coreopsis","gigantea","SI"
"Solidago","gigantea","SI"
"Caulophyllum","giganteum","SI"
"Solanum","giganteum","SC"
"Bromus","giganteus","SC"
"Helianthus","giganteus","PSI"
"Sinningia","gigantifolia","SC"
"Pithecellobium","gigantifolium","PSI"
"Caesalpinia","gilliesi","SC"
"Caesalpinia","gilliesii","PSI"
"Braya","glabella","SC"
"Draba","glabella","SC"
"Erigeron","glabellus","SI"
"Chromolaena","glaberrima","SI"
"Lasthenia","glaberrima","SC"
"Eupatorium","glaberrimum","SI"
"Bauhinia","glabra","PSI"
"Hypochaeris","glabra","SC"
"Malpighia","glabra","PSI"
"Spartina","glabra","SC"
"Turritis","glabra","SC"
"Zornia","glabra","SC"
"Hydrocotyle","glabrata","SC"
"Lasthenia","glabrata","SI"
"Malacothrix","glabrata","SI"
"Piper","glabratum","SI"
"Solanum","glabrescens","SI"
"Tolpis","glabrescens","SC"
"Desmodium","glabrum","SC"
"Biscutella","glacialis","SI"
"Cardamine","glacialis","SC"
"Cavalia","gladiata","SI"
"Coreopsis","gladiata","SI"
"Trigonella","gladiata","SC"
"Vriesea","gladioliflora","SC"
"Impatiens","glandulifera","SC"
"Trifolium","glanduliferum","SI"
"Betula","glandulosa","SI"
"Hirtella","glandulosa","SI"
"Indigofera","glandulosa","PSI"
"Layia","glandulosa","SI"
"Prosopis","glandulosa","SC"
"Tripogandra","glandulosa","SI"
"Solanum","glandulosipilosum","SC"
"Bauhinia","glauca","PSI"
"Casuarina","glauca","SC"
"Diplotaxis","glauca","SI"
"Gnidia","glauca","SC"
"Nicotiana","glauca","PSI"
"Reseda","glauca","SC"
"Simaruba","glauca","SC"
"Cryptocarya","glaucescens","PSI"
"Galactia","glaucescens","SC"
"Persoonia","glaucescens","SI"
"Silene","glaucifolia","SC"
