species,sexmorphs,flowersex,symmetry,pollination,habit,lifespan,flowersize,ovaryposition,numberofovules,numberofstamens,outcrossingrate,poratio,matingsystem,,,,,,,,,,,,
Brasenia schreberi,mono,bisexual,actinomorphic,abiotic,herb,long,1.7,superior,24,26,0.63,9619,intermediate,,,,,,,,,,,,
Bretschneidera sinensis,mono,bisexual,zygomorphic,biotic,woody,long,3.5,superior,6,8,0.67,14516.5,intermediate,,,,,,,,,,,,
Bruguiera gymnorhiza,mono,bisexual,actinomorphic,biotic,woody,long,3.1,inferior,9,23,0.85,300000,outcrossing,,,,,,,,,,,,
Buddleja davidii,mono,bisexual,actinomorphic,biotic,woody,long,NA,superior,NA,4,0.93,106.6,outcrossing,,,,,,,,,,,,
Bursera simaruba,di,polymorphic,actinomorphic,biotic,woody,long,0.6,NA,NA,10,NA,NA,NA,,,,,,,,,,,,
Butomus umbellatus,mono,bisexual,actinomorphic,biotic,herb,long,2.3,superior,300,9,NA,NA,outcrossing,,,,,,,,,,,,
Byrsonima crassifolia,mono,bisexual,zygomorphic,biotic,woody,long,1.2,superior,3,10,0.06,NA,selfing,,,,,,,,,,,,
Cabomba caroliniana,mono,bisexual,actinomorphic,biotic,herb,long,1.7,superior,9,6,NA,62,NA,,,,,,,,,,,,
Calceolaria purpurea,mono,bisexual,zygomorphic,biotic,herb,long,1.3,NA,NA,2,NA,NA,outcrossing,,,,,,,,,,,,
Camellia sinensis,mono,bisexual,actinomorphic,biotic,woody,long,2.8,superior,12,100,NA,NA,outcrossing,,,,,,,,,,,,
Canacomyrica monticola,di,unisexual,NA,NA,woody,long,NA,inferior,1,6,NA,NA,outcrossing,,,,,,,,,,,,
Canna indica,mono,bisexual,NA,biotic,herb,long,6,inferior,NA,1,NA,NA,NA,,,,,,,,,,,,
Cardiocrinum cordatum,mono,bisexual,NA,biotic,herb,long,15,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
Carica papaya,di,unisexual,actinomorphic,biotic,woody,long,4,superior,4995,10,NA,NA,outcrossing,,,,,,,,,,,,
Caryocar brasiliense,mono,bisexual,actinomorphic,biotic,woody,long,6,intermediate/variable,NA,NA,NA,NA,NA,,,,,,,,,,,,
Catalpa speciosa,mono,bisexual,zygomorphic,biotic,woody,long,5.5,superior,1998,2,NA,NA,outcrossing,,,,,,,,,,,,
Catharanthus roseus,mono,bisexual,actinomorphic,biotic,woody,long,4.5,NA,NA,5,0.63,NA,intermediate,,,,,,,,,,,,
Caulophyllum thalictroides,mono,bisexual,actinomorphic,biotic,herb,long,0.9,superior,2,6,NA,4103.8,outcrossing,,,,,,,,,,,,
Centroplacus glaucinus,di,unisexual,NA,NA,woody,long,NA,NA,6,5,NA,NA,outcrossing,,,,,,,,,,,,
Ceratophyllum demersum,mono,unisexual,NA,abiotic,herb,long,0.1,NA,1,1,NA,NA,NA,,,,,,,,,,,,
Cercidiphyllum japonicum,di,unisexual,zygomorphic,NA,woody,long,NA,superior,21,29,NA,NA,outcrossing,,,,,,,,,,,,
Chimaphila umbellata,mono,bisexual,actinomorphic,biotic,woody,long,1.4,superior,9999,10,0.96,32,outcrossing,,,,,,,,,,,,
Chimonanthus praecox,mono,bisexual,actinomorphic,biotic,woody,long,2.8,superior,18,7,0.54,2847,intermediate,,,,,,,,,,,,
Chorispora tenella,mono,bisexual,actinomorphic,biotic,herb,short,8.2,superior,32,6,NA,NA,selfing,,,,,,,,,,,,
Cinnamomum camphora,mono,bisexual,actinomorphic,biotic,woody,long,0.2,superior,1,9,1,NA,outcrossing,,,,,,,,,,,,
Clarkia xantiana,mono,bisexual,zygomorphic,biotic,herb,short,3.5,inferior,2000,8,0.79,84.5,intermediate,,,,,,,,,,,,
Claytonia virginica,mono,bisexual,actinomorphic,biotic,herb,long,0.9,superior,6,5,NA,NA,NA,,,,,,,,,,,,
Clethra alnifolia,mono,bisexual,actinomorphic,biotic,woody,long,0.6,superior,120,10,NA,NA,NA,,,,,,,,,,,,
Clutia pulchella,di,unisexual,NA,NA,woody,long,NA,NA,3,5,NA,NA,outcrossing,,,,,,,,,,,,
Cobaea scandens,mono,bisexual,actinomorphic,biotic,woody,long,5.8,superior,2997,5,NA,415.5,NA,,,,,,,,,,,,
Cochlospermum vitifolium,mono,bisexual,actinomorphic,biotic,woody,long,11,superior,1175,175,NA,NA,outcrossing,,,,,,,,,,,,
Coffea arabica,mono,bisexual,actinomorphic,biotic,woody,long,3,inferior,NA,5,0.69,NA,intermediate,,,,,,,,,,,,
Combretum leprosum,mono,bisexual,actinomorphic,biotic,woody,long,1,inferior,8,8,NA,NA,outcrossing,,,,,,,,,,,,
Commelina communis,mono,polymorphic,zygomorphic,NA,herb,short,1.3,superior,NA,3,NA,NA,NA,,,,,,,,,,,,
Cordyline australis,mono,bisexual,actinomorphic,biotic,woody,long,NA,superior,NA,6,NA,NA,outcrossing,,,,,,,,,,,,
Coriaria myrtifolia,mono,polymorphic,actinomorphic,abiotic,woody,long,NA,superior,5,10,NA,NA,NA,,,,,,,,,,,,
Coriaria ruscifolia,mono,bisexual,actinomorphic,abiotic,woody,long,0.3,superior,8,10,NA,NA,NA,,,,,,,,,,,,
Cornus florida,mono,bisexual,actinomorphic,NA,woody,long,1.5,inferior,NA,4,NA,NA,NA,,,,,,,,,,,,
Corrigiola litoralis,mono,bisexual,actinomorphic,biotic,herb,short,0.2,intermediate/variable,NA,5,0.11,NA,selfing,,,,,,,,,,,,
Cucurbita pepo,mono,unisexual,actinomorphic,biotic,herb,short,1,inferior,9999,3,NA,317,NA,,,,,,,,,,,,
Cupaniopsis anacardioides,mono,unisexual,NA,biotic,woody,long,0.8,superior,3,8,NA,39811,NA,,,,,,,,,,,,
Curculigo latifolia,mono,polymorphic,NA,NA,NA,long,1.3,inferior,NA,6,NA,NA,outcrossing,,,,,,,,,,,,
Cuscuta cuspidata,mono,bisexual,actinomorphic,NA,herb,short,2,superior,4,5,NA,1164,NA,,,,,,,,,,,,
Cuttsia viburnea,NA,bisexual,actinomorphic,NA,woody,long,1,superior,2505,5,NA,NA,outcrossing,,,,,,,,,,,,
Cyclanthus bipartitus,mono,unisexual,NA,biotic,woody,long,NA,NA,NA,6,NA,NA,intermediate,,,,,,,,,,,,
Cymodocea nodosa,mono,unisexual,NA,abiotic,herb,long,NA,NA,2,2,NA,NA,NA,,,,,,,,,,,,
Cypripedium calceolus,mono,bisexual,zygomorphic,biotic,herb,long,7.8,inferior,4500,2,0.88,NA,outcrossing,,,,,,,,,,,,
Cyrilla racemiflora,mono,bisexual,actinomorphic,biotic,woody,long,0.5,superior,4,5,NA,NA,NA,,,,,,,,,,,,
Dalechampia spathulata,mono,unisexual,zygomorphic,biotic,woody,NA,NA,NA,NA,20,NA,NA,NA,,,,,,,,,,,,
Dalzellia ceylanica,mono,bisexual,actinomorphic,NA,herb,NA,NA,superior,NA,3,NA,14.1,NA,,,,,,,,,,,,
Daphniphyllum macropodum,di,unisexual,NA,NA,woody,long,NA,superior,4,9,NA,NA,outcrossing,,,,,,,,,,,,
Datisca glomerata,di,polymorphic,NA,abiotic,herb,long,0.7,inferior,NA,8,0.79,NA,intermediate,,,,,,,,,,,,
Davilla kunthii,mono,bisexual,actinomorphic,biotic,herb,NA,NA,intermediate/variable,2,70,NA,NA,outcrossing,,,,,,,,,,,,
Denhamia celastroides,mono,bisexual,actinomorphic,NA,woody,long,NA,superior,NA,5,NA,NA,NA,,,,,,,,,,,,
Diapensia lapponica,mono,bisexual,actinomorphic,biotic,woody,long,1.1,superior,240,5,0.36,1997.5,intermediate,,,,,,,,,,,,
Diospyros australis,di,unisexual,NA,NA,woody,long,NA,superior,NA,NA,NA,NA,outcrossing,,,,,,,,,,,,
Dipterocarpus tempehes,mono,bisexual,NA,biotic,woody,long,4.2,NA,NA,30,NA,NA,outcrossing,,,,,,,,,,,,
Discaria americana,mono,bisexual,NA,biotic,woody,long,0.6,intermediate/variable,NA,NA,NA,NA,outcrossing,,,,,,,,,,,,
Drosophyllum lusitanicum,mono,bisexual,actinomorphic,biotic,woody,long,2.7,superior,105,10,NA,687,outcrossing,,,,,,,,,,,,
Dryas octopetala,mono,bisexual,actinomorphic,biotic,woody,long,3,superior,NA,164,0.36,631,intermediate,,,,,,,,,,,,
Durio zibethinus,mono,bisexual,actinomorphic,biotic,woody,long,5.5,superior,30,60,NA,NA,intermediate,,,,,,,,,,,,
Eichhornia crassipes,mono,bisexual,zygomorphic,biotic,herb,short,6,superior,NA,6,NA,NA,outcrossing,,,,,,,,,,,,
Eriocaulon parkeri,mono,unisexual,NA,NA,herb,long,0.2,superior,NA,4,NA,NA,NA,,,,,,,,,,,,
Eriogonum arborescens,mono,bisexual,NA,NA,woody,long,NA,NA,3,9,NA,NA,NA,,,,,,,,,,,,
Eschscholzia californica,mono,bisexual,NA,biotic,herb,short,4,superior,NA,20,NA,NA,NA,,,,,,,,,,,,
Eupomatia bennettii,mono,bisexual,NA,biotic,woody,long,3.5,inferior,NA,9,NA,NA,intermediate,,,,,,,,,,,,
Eupomatia laurina,mono,bisexual,actinomorphic,biotic,woody,long,2.9,NA,287,60,NA,NA,intermediate,,,,,,,,,,,,
Fagus grandifolia,mono,unisexual,actinomorphic,abiotic,woody,long,NA,inferior,6,11,1,NA,outcrossing,,,,,,,,,,,,
Ficaria verna,mono,bisexual,actinomorphic,biotic,herb,long,3.2,superior,16,23,NA,NA,outcrossing,,,,,,,,,,,,
Filipendula vulgaris,mono,bisexual,actinomorphic,mixed,herb,long,NA,superior,18,25,0.92,NA,outcrossing,,,,,,,,,,,,
Floerkea proserpinacoides,mono,bisexual,actinomorphic,NA,herb,short,2.8,superior,3,5,NA,NA,NA,,,,,,,,,,,,
Galium aparine,mono,bisexual,actinomorphic,biotic,herb,short,1.8,inferior,2,4,NA,316,NA,,,,,,,,,,,,
Gentiana saponaria,mono,bisexual,actinomorphic,biotic,herb,long,3.8,superior,NA,5,NA,NA,NA,,,,,,,,,,,,
Geranium sanguineum,mono,bisexual,actinomorphic,biotic,herb,long,3.1,superior,10,10,NA,NA,NA,,,,,,,,,,,,
Gomortega keule,mono,bisexual,actinomorphic,biotic,woody,long,0.6,inferior,2,9,0.67,NA,intermediate,,,,,,,,,,,,
Gonocaryum litorale,di,unisexual,actinomorphic,NA,woody,long,0.6,superior,4,5,NA,NA,outcrossing,,,,,,,,,,,,
Gossypium hirsutum,mono,bisexual,actinomorphic,biotic,woody,short,7,superior,40,80,0.2,608,intermediate,,,,,,,,,,,,
Grewia occidentalis,mono,bisexual,actinomorphic,biotic,woody,NA,3,superior,4,538,NA,8303.5,outcrossing,,,,,,,,,,,,
Griselinia racemosa,di,unisexual,actinomorphic,NA,herb,NA,NA,inferior,NA,5,NA,NA,outcrossing,,,,,,,,,,,,
Gyrocarpus americanus,mono,polymorphic,actinomorphic,abiotic,woody,long,0.2,inferior,1,4,NA,16124.5,NA,,,,,,,,,,,,
Hamamelis virginiana,mono,bisexual,actinomorphic,biotic,woody,long,NA,intermediate/variable,2,4,NA,11798.3,outcrossing,,,,,,,,,,,,
Hanguana malayana,di,unisexual,actinomorphic,NA,herb,long,NA,superior,3,6,NA,NA,outcrossing,,,,,,,,,,,,
Hedychium gardnerianum,mono,bisexual,zygomorphic,NA,herb,long,NA,inferior,NA,1,NA,NA,NA,,,,,,,,,,,,
Helianthus annuus,mono,bisexual,NA,biotic,herb,short,2.2,inferior,2,5,0.75,NA,intermediate,,,,,,,,,,,,
Heliconia irrasa,mono,bisexual,NA,biotic,herb,long,NA,inferior,NA,5,NA,NA,NA,,,,,,,,,,,,
Herniaria glabra,mono,bisexual,actinomorphic,biotic,herb,short,0.2,superior,NA,5,NA,NA,NA,,,,,,,,,,,,
Hevea brasiliensis,mono,unisexual,actinomorphic,biotic,woody,long,0.5,intermediate/variable,3,10,0.64,NA,intermediate,,,,,,,,,,,,
Hirtella physophora,mono,bisexual,zygomorphic,biotic,woody,long,2,NA,NA,7,NA,5,outcrossing,,,,,,,,,,,,
Hordeum bulbosum,mono,bisexual,NA,abiotic,herb,long,NA,superior,2,3,NA,NA,outcrossing,,,,,,,,,,,,
Hydnocarpus heterophylla,di,unisexual,NA,NA,NA,NA,1.6,superior,3996,26,NA,NA,outcrossing,,,,,,,,,,,,
Hydrastis canadensis,mono,bisexual,actinomorphic,biotic,herb,long,1.3,superior,33,54,NA,NA,NA,,,,,,,,,,,,
Hydrocotyle vulgaris,mono,bisexual,actinomorphic,biotic,herb,long,NA,inferior,NA,5,NA,NA,NA,,,,,,,,,,,,
Hydrophyllum capitatum,mono,bisexual,actinomorphic,biotic,herb,long,0.7,superior,NA,5,NA,NA,intermediate,,,,,,,,,,,,
